Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color,-1117
-1117,-1117,,,,-1070,,,,,"サムエルはサウルに油をそそぎ、イスラエルの王とする
サム一 10:24。使徒 13:21",,,,,,,
ｰ1070,ｰ1070,,,,-1037,,,,,"ダビデは全イスラエルの王となる。 
サム二 5:3-7",,,,,,,
-1037,-1037,,,,-997,,,,,"ソロモン
王一 1:39; 2:12",,,,,,,
-997,-997,,,,-997,,,,,"レハベアムはソロモンの跡を継ぐ。 
王一 11:43",,,,,,,
-997,-997,,,,-976頃,,,,,"ヤラベアム
王一12:19，20",,,,,,,
-976,-976,,,,-975,,,,,"ナダブ
王一 14:20",,,,,,,
-975頃,-975頃,,,,-952頃,,,,,"バアシャ
王一 15:33",,,,,,,
-952頃,-952頃,,,,-951頃,,,,,"エラ
王一 16:8",,,,,,,
-951,-951,,,,-951,,,,,"ジムリ（七日間）
王一 16:15",,,,,,,
-951,-951,,,,-947,,,,,"オムリとティブニ
王一 16:21",,,,,,,
-947,-947,,,,-940,,,,,"オムリは単独で支配する
 王一 16:22，23",,,,,,,
-940,-940,,,,-920,,,,,"アハブ
王一 16:29",,,,,,,
-919,-919,,,,-917,,,,,"アハジヤは単独の王となる 
王一 22:51，52",,,,,,,
-917,-917,,,,-905,,,,,"イスラエルのエホラムは単独の王となる 
王二 3:1",,,,,,,
-905,-905,,,,-876,,,,,"エヒウ
王二 9:24，27; 10:36",,,,,,,
-876,-876,,,,-862,,,,,エホアハズ,,,,,,,
-862,-862,,,,-859,,,,,エホアハズとエホアシュ,,,,,,,
-859,-859,,,,-844,,,,,"エホアシュはイスラエルの単独の王となる
 王二 13:10",,,,,,,
-844,-844,,,,-803頃,,,,,"ヤラベアム2世
王二 14:23",,,,,,,
-792,-792,,,,-791,,,,,"ゼカリヤはイスラエルの王として支配する（6か月）
王二 15:8",,,,,,,
-791,-791,,,,-791,,,,,"シャルム 
王二 15:13",,,,,,,
-791,-791,,,,-780,,,,,"メナヘム
王15：17",,,,,,,
-780,-780,,,,-778,,,,,"ペカフヤ
王二 15:23",,,,,,,
-778,-778,,,,-758,,,,,"ペカハ
王二 15:27",,,,,,,
-758,-758,,,,-740,,,,,"イスラエルの最後の王ホシェア
王二 15:30",,,,,,,
ユダの王,-1077,,,,-1070,,,,,"ダビデはヘブロンでユダの王となる 
サム二 2:4",,,,,,,
ユダの王,-997,,,,-980,,,,,レハベアム,,,,,,,
ユダの王,-980　　,,,,-978,,,,,"アビヤム（アビヤ）
王一 15:1，2",,,,,,,
ユダの王,-978,,,,-937,,,,,"アサ
王一 15:9，10",,,,,,,
ユダの王,-936,,,,-913,,,,,"エホシャファト
王一 22:41，42",,,,,,,
ユダの王,-913,,,,-906頃,,,,," ユダのエホラムはエホシャファトと共同の『王となる』
王二 8:16，17「エホシャファトがまだユダの王だった時，エホシャファト王の子エホラムがユダの王になった。」",,,,,,,
ユダの王,-906頃,,,,-905頃,,,,,"アハジヤ
王二 8:25，26",,,,,,,
ユダの王,-905頃,,,,-898,,,,,"女王アタリヤはユダの王座をさん奪 する
王二 11:1-3
",,,,,,,
ユダの王,-898,,,,-858,,,,,"エホアシュ
王二 12:1",,,,,,,
ユダの王,-858,,,,-829,,,,,"アマジヤ
王二 14:1，2",,,,,,,
ユダの王,-829,,,,-777,,,,,"ウジヤ（アザリヤ）
王二 15:1，2",,,,,,,
ユダの王,-777,,,,-761,,,,,"ヨタム
王二 15:32，33",,,,,,,
ユダの王,-761,,,,-745,,,,,"アハズ
王二 16:1，",,,,,,,
ユダの王,-745,,,,-716,,,,,"ヒゼキヤ
王二 18:1，2",,,,,,,
ユダの王,-716,,,,-661,,,,,"マナセ
王二 21:1",,,,,,,
ユダの王,-661,,,,-659,,,,,"アモン
王二 21:19",,,,,,,
ユダの王,-659,,,,-628,,,,,"ヨシヤ
王二 22:1",,,,,,,
ユダの王,-628,,,,-628,,,,,"エホアハズ
王二 23:31",,,,,,,
ユダの王,-628,,,,-618,,,,,"エホヤキム
王二 23:36",,,,,,,
ユダの王,-618,,,,-617,,,,,"エホヤキン
王二 24:6，8",,,,,,,
ユダの王,-617,,,,-607,,,,,"ゼデキヤはユダの王とされる 。ダビデの家系の地上での最後の王。
王二 24:12-18",,,,,,,
