Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
テスト１,1950,１,１,,1950,12,30,,,テスト,,,,,,
テスト２,1950,2,30,,1950,12,30,,,テスト,,,,,,
テスト3,1950,3,30,,,,,,,テスト,,,,,,
タッキー＆翼,2018,9,10,,,,,,,解散,,https://web.archive.org/web/20180913040104/https://www.johnnys-net.jp/page?id=text&dataId=1585&artist=11,https://haru-journal.com/wp-content/uploads/2018/12/%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88-83.png,,,
今井翼,2010,2,24,,,,,,,デビューシングル　BACKBORN　発売日,,,http://supalove.com/wp-content/uploads/2010/06/backborrn.jpg,,,
滝沢秀明,2009,1,7,,,,,,,デビューシングル　愛・革命　発売日,,,https://s.mxmcdn.net/images-storage/albums/2/5/3/5/0/8/30805352_350_350.jpg,,,
タッキー＆翼,2002,9,11,,,,,,,デビューアルバム『Hatachi』,,,https://www.suruga-ya.jp/database/pics/game/220012546.jpg,,,
今井翼,1995,4,23,,,,,,,入所日,,,,,,
滝沢秀明,1995,4,23,,,,,,,入所日,,,,,,
今井翼,2007,10,3,,2007,10,28,,,World's wing 翼 Premium　2007　東京公演,東京　日生劇場,,https://stage-image.corich.jp/img_stage/l/290/stage2909_1.jpg?950811,,,
今井翼,2007,8,4,,2007,8,28,,,"World's Wing 翼 Premium 2007
大阪松竹座 新築開場10周年記念",,,,,,
今井翼,2008,8,6,,2008,8,16,,,World's Wing 翼 Premium 2008　大阪松竹座,,,https://stage-image.corich.jp/img_stage/l/652/stage6528_1.jpg,,,
今井翼,2008,10,3,,2008,10,28,,,World's Wing 翼 Premium 2008　日生劇場,,,,,,
