Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Alto Saxophone,1920,8,29,,1955,3,12,,,Charlie Parker,,,,,,
Alto Saxophone,1924,2,2,,1982,7,22,,,Sonny Stitt,,,,,,
Alto Saxophone,1924,11,25,,1977,5,30,,,Paul Desmond,,,,,,
Alto Saxophone,1925,11,28,,1983,3,14,,,Gigi Gryce,,,,,,
Alto Saxophone,1925,9,1,,1982,6,15,,,Art Pepper,,,,,,
Alto Saxophone,1926,11,1,,now,,,,,Lou Donaldson,,,,,,
Alto Saxophone,1926,9,3,,1957,12,29,,,Ernie Henry,,,,,,
Alto Saxophone,1927,10,13,,now,,,,,Lee Konitz,,,,,,
Alto Saxophone,1928,9,15,,1975,8,8,,,Cannonball Adderley,,,,,,
Alto Saxophone,1928,6,20,,1964,6,29,,,Eric Dolphy,,,,,,
Alto Saxophone,1929,9,17,,1992,12,19,,,Curtis Peagler,,,,,,
Alto Saxophone,1931,5,17,,2006,3,31,,,Jackie Mclean,,,,,,
Alto Saxophone,1931,11,2,,2015,9,29,,,Phil Woods,,,,,,
Alto Saxophone,1931,1,3,,1993,7,12,,,John Jenkins,,,,,,
Alto Saxophone,1932,12,17,,1981,3,20,,,Sonny Red,,,,,,
Alto Saxophone,1932,8,29,,now,,,,,Jerry Dodgion,,,,,,
Alto Saxophone,1936,5,25,,now,,,,,Gary Foster,,,,,,
Alto Saxophone,1939,7,24,,now,,,,,Charles Mcpherson,,,,,,
出来事,1960,,,,,,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
出来事,1746,,,,,,,,,ライデン瓶,,,,,,
出来事,1775,,,,,,,,,ボルタの電気盆,,,,,,
出来事,1752,,,,,,,,,フランクリンの凧,,,,,,
出来事,1789,,,,,,,,,クーロンの法則,,,,,,
出来事,1850,,,,,,,,,ガウスの法則,,,,,,
出来事,1850,,,,,,,,,ウェーバの法則,,,,,,
出来事,1791,,,,,,,,,カルバーニの生物電気仮説,,,,,,
出来事,1799,,,,,,,,,ボルタの電池,,,,,,
出来事,1836,,,,,,,,,ダニエル電池,,,,,,
出来事,1800,,,,,,,,,カーライルの水の電気分解,,,,,,
出来事,1821,,,,,,,,,ゼーベック効果,,,,,,
出来事,1834,,,,,,,,,ペルチェ効果,,,,,,
出来事,1826,,,,,,,,,オームの法則,,,,,,
出来事,1845,,,,,,,,,キルヒホッフの法則,,,,,,
出来事,1820,,,,,,,,,エルステッドの発見,,,,,,
