Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
J.アダムズ,1987,,,,,,,,,中国のニクソン,英語,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E3%81%AE%E3%83%8B%E3%82%AF%E3%82%BD%E3%83%B3,,,,
J.シュトラウス2世,1874,,,,,,,,,こうもり,ドイツ語,https://ja.wikipedia.org/wiki/%E3%81%93%E3%81%86%E3%82%82%E3%82%8A_(%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%83%E3%82%BF),,,,
J.シュトラウス2世,1899,,,,,,,,,ウィーン気質,ドイツ語,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%B3%E6%B0%97%E8%B3%AA_(%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%83%E3%82%BF),,,,
R.シュトラウス,1905,,,,,,,,,サロメ,ドイツ語,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%AD%E3%83%A1_(%E3%82%AA%E3%83%9A%E3%83%A9),,,,
R.シュトラウス,1909,,,,,,,,,エレクトラ,ドイツ語,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%A9_(%E3%83%AA%E3%83%92%E3%83%A3%E3%83%AB%E3%83%88%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9),,,,
R.シュトラウス,1911,,,,,,,,,ばらの騎士,ドイツ語,https://ja.wikipedia.org/wiki/%E3%81%B0%E3%82%89%E3%81%AE%E9%A8%8E%E5%A3%AB,,,,
R.シュトラウス,1912,,,,,,,,,ナクソス島のアリアドネ,ドイツ語,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%AF%E3%82%BD%E3%82%B9%E5%B3%B6%E3%81%AE%E3%82%A2%E3%83%AA%E3%82%A2%E3%83%89%E3%83%8D,,,,
R.シュトラウス,1932,,,,,,,,,アラベラ,ドイツ語,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%83%99%E3%83%A9_(%E3%82%AA%E3%83%9A%E3%83%A9),,,,
ウェーバー,1821,,,,,,,,,魔弾の射手,ドイツ語,https://ja.wikipedia.org/wiki/%E9%AD%94%E5%BC%BE%E3%81%AE%E5%B0%84%E6%89%8B,,,,
ヴェルディ,1842,,,,,,,,,ナブッコ,イタリア語,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%96%E3%83%83%E3%82%B3,,,,
ヴェルディ,1844,,,,,,,,,エルナーニ,イタリア語,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%8A%E3%83%BC%E3%83%8B,,,,
ヴェルディ,1847,,,,,,,,,マクベス,イタリア語,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%AF%E3%83%99%E3%82%B9_(%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%87%E3%82%A3),,,,
ヴェルディ,1849,,,,,,,,,ルイザ・ミラー,イタリア語,https://ja.wikipedia.org/wiki/%E3%83%AB%E3%82%A4%E3%82%B6%E3%83%BB%E3%83%9F%E3%83%A9%E3%83%BC,,,,
ヴェルディ,1851,,,,,,,,,リゴレット,イタリア語,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%82%B4%E3%83%AC%E3%83%83%E3%83%88,,,,
ヴェルディ,1853,,,,,,,,,椿姫,イタリア語,https://ja.wikipedia.org/wiki/%E6%A4%BF%E5%A7%AB_(%E3%82%AA%E3%83%9A%E3%83%A9),,,,
ヴェルディ,1853,,,,,,,,,イル・トロヴァトーレ,イタリア語,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%AB%E3%83%BB%E3%83%88%E3%83%AD%E3%83%B4%E3%82%A1%E3%83%88%E3%83%BC%E3%83%AC,,,,
ヴェルディ,1857,,,,,,,,,シモン・ボッカネグラ,イタリア語,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A2%E3%83%B3%E3%83%BB%E3%83%9C%E3%83%83%E3%82%AB%E3%83%8D%E3%82%B0%E3%83%A9,,,,
ヴェルディ,1859,,,,,,,,,仮面舞踏会,イタリア語,https://ja.wikipedia.org/wiki/%E4%BB%AE%E9%9D%A2%E8%88%9E%E8%B8%8F%E4%BC%9A_(%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%87%E3%82%A3),,,,
ヴェルディ,1862,,,,,,,,,運命の力,イタリア語,https://ja.wikipedia.org/wiki/%E9%81%8B%E5%91%BD%E3%81%AE%E5%8A%9B,,,,
ヴェルディ,1867,,,,,,,,,ドン・カルロ,イタリア語,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%AB%E3%83%AD,,,,
ヴェルディ,1871,,,,,,,,,アイーダ,イタリア語,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%BC%E3%83%80,,,,
