Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,Image URL,Image Credit,Type,Color
Live,1989,12,28,,1989,12,31,,"12/28,12/31",ロンドンブーツナイト,"12/28＠渋谷Lamama
1.LOVERS ON BACK STREET
2.Chelsea Girl
3.HANG ONTO YOURSELF
4.SUCK OF LIFE
5.毛皮のコートのブルース

12/31＠大宮フリークス
1.LOVERS ON BACK STREET
2.Chelsea Girl
3.HANG ONTO YOURSELF
4.SUCK OF LIFE
5.毛皮のコートのブルース",,,point,
Live,1990,1,6,,,,,,1/6,＠渋谷エッグマン,,,,,
Live,1990,1,15,,,,,,1/15,＠目黒鹿鳴館,,,,,
Live,1990,1,29,,,,,,1/29,＠大宮フリークス,,,,,
Live,1990,3,11,,,,,,3/11,＠目黒LIVE  STATION,,,,,
Live,1990,4,1,,,,,,4/1,@渋谷Lamama,,,,,
Live,1990,4,13,,,,,,4/13,＠横浜7th AVENUE,,,,,
Live,1990,4,30,,,,,,4/30,＠大宮フリークス,,,,,
Live,1990,5,11,,,,,,5/11,＠渋谷Lamama,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
Live,1990,6,5,,,,,,6/5,@目黒LIVE STATION,,,,,
Live,1990,6,23,,,,,,6/23,@渋谷エッグマン,,,,,
Live,1990,6,27,,,,,,6/27,＠渋谷Lamama,,,,,
Live,1990,7,9,,,,,,7/9,＠目黒LIVE  STATION,,,,,
Live,1990,7,28,,,,,,7/28,＠横浜7th AVENUE,,,,,
Live,1990,8,2,,,,,,8/2,＠新宿LOFT,,,,,
Live,1990,8,16,,,,,,8/16,＠大宮フリークス,,,,,
Live,1990,8,28,,,,,,8/28,＠渋谷Lamama,,,,,
Live,1990,9,10,,,,,,9/10,＠新宿LOFT,,,,,
Live,1990,9,27,,,,,,9/27,＠横浜7th AVENUE,,,,,
Live,1990,10,6,,,,,,10/6,＠目黒鹿鳴館,,,,,
Live,1990,10,29,,,,,,10/29,＠渋谷Lamama,,,,,
Live,1990,11,11,,1990,12,3,,11/11-12/3,1st TOUR,"11/11@大宮フリークス
11/13＠京都BIG BANG
11/14@大阪難波ロケッツ
11/16＠名古屋ミュージックファーム
11/26＠新宿LOFT
12/3＠横浜7th AVENUE",,,box,
Live,1990,12,28,,,,,,12/28,ロンドンブーツナイト＠渋谷Lamama,,,,,
Live,1991,1,19,,,,,,1/19,＠渋谷Lamama,,,,,
Live,1991,1,30,,,,,,1/30,＠大宮フリークス,,,,,
Live,1991,2,8,,,,,,2/8,＠横浜7th AVENUE,,,,,
Live,1991,2,17,,,,,,2/17,＠新宿LOFT,,,,,
Live,1991,3,2,,1991,3,21,,"3/2,3/21",ロンドンブーツナイト＠BAUS THEATER,"3/2＠BAUS TEATER
3/21@渋谷Lamama",,,point,
Live,1991,4,7,,1991,4,19,,"4/7,4/8,4/19",ロンドンブーツナイトツアー,"4/7@名古屋ELL
4/8＠大阪amホール
4/19＠渋谷Lamama",,,point,
Live,1991,5,26,,1991,7,3,,"5/26,5/30,6/15,7/3",CLUB TOKIWAZA,"5/26@浅草常盤座
5/30＠渋谷Lamama
6/15＠渋谷Lamama
7/3＠大宮フリークス",,,point,
Live,1991,7,21,,,,,,7/21,CD発売記念ワンマン＠渋谷Lamama,,,,,
Live,1991,7,30,,1991,8,31,,7/30-8/31,CD発売記念ツアー,"7/30＠大阪難波ロケッツ
7/31＠広島ウッディーストリート
8/1＠博多Be-1
8/2＠大分TOPS
8/4＠大阪W'OHOL
8/5＠神戸チキンジョージ
8/6＠京都BIG BANG
8/7＠名古屋ELL
8/10＠本八幡ROUTE14
8/18＠横浜7th AVENUE
8/24@川崎クラブチッタ
8/31＠大宮フリークス",,,box,
Live,1991,9,16,,,,,,9/16,MARC BOLAN追悼＠川崎クラブチッタ,,,,,
Live,1991,9,21,,1991,10,21,,9/21-10/21,THE SUBJECTIVE LATE SHOW,"9/21@渋谷Lamama
10/9＠渋谷Lamama
10/21＠大宮フリークス",,,box,
Live,1991,11,7,,1991,12,14,,11/7-12/14,4th TOUR,"11/7@名古屋ELL
11/8＠大阪難波ロケッツ
11/16＠渋谷Lamama
12/14@渋谷Lamama",,,box,
Live,1991,12,28,,1991,12,31,,"12/28,12/31",ロンドンブーツナイト,"12/28@渋谷Lamama
12/31＠渋谷Lamama",,,point,
Live,1992,3,25,,1992,4,21,,3/25-4/21,TOUR 1992 FIRST,"3/25@名古屋ELL
3/27＠京都MUSE HALL
3/29＠博多Be-1
3/30＠広島ウッディーストリート
4/1＠大阪難波ロケッツ
4/3＠大阪エキスポランド催物ホール
4/14＠渋谷CLUB QUATTRO
4/21＠大宮フリークス",,,box,
Live,1992,5,21,,,,,,5/21,SELFLOVE CONCOUR@渋谷Lamama,,,,,
Live,1992,6,20,,,,,,6/20,La.mama10La.mama10周年記念イベント＠渋谷公会堂,,,,,
Live,1992,7,22,,1992,7,30,,7/22-7/30,1992 RADICAL HYSTERY TOUR,"7/22@大阪amホール
7/24＠広島ウッディーストリート
7/25＠博多Be-1
7/27＠名古屋ELL
7/30＠渋谷ON AIR",,,box,
Live,1992,8,9,,1992,11,4,,8/9-11-4,1992 RADICAL HYSTERY TOUR #2,"8/9@金沢POP HILL'92
8/11＠品川寺田倉庫F号
8/22＠大宮フリークス
8/31＠大阪MODAホール
9/24＠市川CLUB GIO
9/28＠横浜CLUB 24
10/24＠東京日清パワーステーション
10/31＠東京明治学院大学 白金祭
11/3＠名古屋名城大学 天白祭
11/4＠京都MUSE HALL",,,box,
Live,1992,12,24,,1993,1,26,,12/24-1/26,PLAY DAN'T WORRY“ボインでぶっとばせ！”,"12/24＠名古屋ELL
12/26＠広島ウッディーストリート
12/27＠博多Be-1
12/29＠大阪amホール
12/31＠渋谷ラママ
12/31＠横浜ベイサイドクラブ
1/26＠東京日清パワーステーション",,,box,
Live,1993,2,20,,,,,,2/20,SATURDAY NIGHT R&R SHOW'93@東京日清パワーステーション,,,,,
Live,1993,3,23,,1993,4,9,,3/23-4/9,EXPERIENCE MOVIE ROAD SHOW,"3/23@名古屋ELL
3/25＠広島ウッディーストリート
3/26＠長崎FM長崎サテライトスタジオ「STUDIO M」
3/27＠博多DRUM Be-1
3/29@大阪W'OHOL
4/2＠仙台BEEBベースメントシアター
4/3＠仙台NHK STUDIO
4/5＠札幌ペニーレイン24
4/9＠東京日清パワーステーション",,,box,
Live,1993,6,10,,1993,6,19,,6/10-6/19,Life Time SCREEN～追憶の銀幕～,"6/10＠名古屋CLUB QUATTRO
6/11@大阪W'OHOL
6/19＠東京日本青年館 大ホール",,,box,
Live,1993,8,3,,1993,8,17,,8/3-8/17,THREE DOG NIGHT,"8/3＠東京日清パワーステーション
8/10＠東京日清パワーステーション
8/17＠東京日清パワーステーション",,,box,
Live,1993,8,30,,,,,,8/30,マガジンバトル＠渋谷ON AIR,,,,,
Live,1993,9,2,,1993,9,6,,9/2-9/6,マリーの悪戯,"9/2＠広島並木ジャンクション
9/3＠博多Be-1
9/5＠大阪W'OHOL
9/6＠名古屋CLUB QUATTRO
",,,box,
Live,1993,10,31,,1993,11,3,,"10/31,11/3",NACK5 GO ROCK@東京日比谷野外音楽堂,"10/31@東京日比谷野外音楽堂
11/3＠東京上智大学 ソフィア祭",,,point,
Live,1993,11,20,,1993,11,24,,11/20-11/24,Hello My Lovers“蟻地獄で逢いましょう”,"11/20@大阪W'OHOL
11/21＠名古屋CLUB QUATTRO
11/24＠東京中野サンプラザホール",,,box,
Live,1993,12,31,,,,,,12/31,TVK LIVE GAGA SPECIAL'93@東京渋谷公会堂,,,,,
Live,1993,12,31,,,,,,12/31,SECRET MUSICIAN'S PARTY@渋谷ON AIR WEST,,,,,
Live,1994,1,26,,,,,,1/26,TRIAD SENSATION@東京日清パワーステーション,,,,,
Live,1994,3,19,,1994,4,13,,3/19-4/13,"TOUR'94 ""JAGUAR HARD PAIN""","3/19＠広島NEOPOLIS HALL
3/21＠長崎ncc&スタジオ
3/22@博多DRUM Be-1
3/24@大阪国際交流センター
3/25@名古屋ダイヤモンドホール
3/29@東京中野サンプラザホール
3/30@東京中野サンプラザホール
4/8@新潟ジャンクボックス
4/9@仙台BEEBベースメントシアター
4/11@青森クォーター
4/13@札幌ペニーレーン24",,,box,
Live,1994,5,1,,,,,,5/1,LOVE ROCKS'94@豊田白浜公園,,,,,
Live,1994,5,15,,,,,,5/15,"RONSON,PLAY DON'T WORRY IN HEAVEN@東京日清パワーステーション",,,,,
