Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
クンデラ,1929,4,1,,,,,,,ミラン・クンデラ,モラヴィアのブルノ生まれc,https://ja.wikipedia.org/wiki/ミラン・クンデラ,,,,
クンデラ作品,1963,,,,,,,,,『微笑を誘う愛の物語』,チェコ語,,,,,
クンデラ作品,1967,,,,,,,,,『冗談』,チェコ語,,,,,
チェコ社会,1968,1,,,1968,8,,,,「プラハの春」,改革への支持を表明したことによって、ワルシャワ条約機構軍による軍事介入の後、次第に創作活動の場を失い、著作は発禁処分となった。,https://ja.wikipedia.org/wiki/プラハの春,,,,
クンデラ作品,1984,,,,,,,,,『存在の耐えられない軽さ』,フランス語,,,,,
クンデラ,1979,,,,,,,,,チェコ国籍剥奪,,,,,,
クンデラ,1981,,,,,,,,,フランス市民権取得,,,,,,
クンデラ,1975,,,,,,,,,レンヌ大学の客員教授に招聘,,,,,,
マルケス,1928,3,6,,2014,4,17,,,マルケス,,,,,,
チェコ社会,1968,8,20,,,,,,,チェコ事件,ソ連率いるワルシャワ条約機構軍が国境を突破し侵攻。チェコスロバキア全土を占領下に置いた。,,,,,
チェコ社会,1989,,,,,,,,,ビロード革命,1989年11月17日、ビロード革命により共産党体制が崩壊した。大統領にハヴェルが、連邦議会議長には、ドゥプチェクが就任した。,,,,,
チェコ社会,1948,,,,1989,,,,,共産党体制,,,,,,
チェコ社会,1939,,,,1945,,,,,ナチス・ドイツ占領期,,,,,,
チェコ社会,1945,,,,1948,,,,,共産化への道,,,,,,
チェコ社会,1989,,,,1993,,,,,民主化から連邦解体へ,,,,,,
チェコ社会,1993,,,,2018,,,,,チェコ共和国時代,,,,,,
マルケス,1982,,,,,,,,,ノーベル文学賞受賞,,,,,,
マルケス,1947,,,,,,,,,コロンビア国立大学法学科に入学,,,,,,
ラテンアメリカ社会,1948,,,,,,,,,ボゴタ暴動が起こり学校が閉鎖,,,,,,
マルケス,1948,,,,,,,,,カルタヘナ大学へ移籍後中退,,,,,,
マルケス,1954,,,,,,,,,『エル・エスペクタドール』紙の記者としてボゴタへ戻る,,,,,,
マルケス,1955,,,,1959,,,,,ヨーロッパ在住,,,,,,
マルケス,1955,,,,,,,,,「映画実験センター」の映画監督コースで学ぶ,,,,,,
マルケス,1957,,,,,,,,,ベネズエラの首都カラカスの雑誌『エリーテ』にヨーロッパから記事を送り生活する,,,,,,
マルケス,1958,,,,,,,,,結婚するためコロンビアにいったん戻り、カラカスに移り住む,,,,,,
マルケス作品,1955,,,,,,,,,『落葉』,,,,,,
マルケス,1959,,,,1961,,,,,キューバ,,,,,,
ラテンアメリカ社会,1953,7,26,,1959,1,1,,,キューバ革命,バティスタ政権崩壊、社会主義国成立,,,,,
マルケス作品,1961,,,,,,,,,『大佐に手紙は来ない』,,,,,,
マルケス作品,1962,,,,,,,,,『悪い時』,,,,,,
マルケス作品,1962,,,,,,,,,『ママ・グランデの葬儀』,,,,,,
マルケス作品,1967,,,,,,,,,『百年の孤独』,,,,,,
マルケス作品,1975,,,,,,,,,『族長の秋』,,,,,,
マルケス,1961,,,,,,,,,メキシコ,,,,,,
マルケス作品,1981,,,,,,,,,『予告された殺人の記録』,,,,,,
