Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,41,,,,,,,,,マタイ,,,,,,
,60,,,,65,,,,,マルコ,,,,,,
,56,,,,58,,,,,ルカ,,,,,,
,98,,,,,,,,,ヨハネ,,,,,,
,61,,,,,,,,,使徒,,,,,,
,56,,,,,,,,,ローマ,,,,,,
,55,,,,,,,,,コリント第一,,,,,,
,55,,,,,,,,,コリント第二,,,,,,
,50,,,,52,,,,,ガラテア,,,,,,
,60,,,,61,,,,,エフェソス,,,,,,
,60,,,,61,,,,,フィリピ,,,,,,
,60,,,,61,,,,,コロサイ,,,,,,
,50,,,,,,,,,テサロニケ第一,,,,,,
,51,,,,,,,,,テサロニケ第二,,,,,,
,61,,,,64,,,,,テモテ第一,,,,,,
,65,,,,,,,,,テモテ第二,,,,,,
,61,,,,64,,,,,テトス,,,,,,
,60,,,,61,,,,,フィレモン,,,,,,
,61,,,,,,,,,ヘブライ,,,,,,
,62,,,,,,,,,ヤコブ,,,,,,
,62,,,,64,,,,,ペテロ第一,,,,,,
,64,,,,,,,,,ペテロ第二,,,,,,
,98,,,,,,,,,ヨハネ第一,,,,,,
,98,,,,,,,,,ヨハネ第二,,,,,,
,98,,,,,,,,,ヨハネ第三,,,,,,
,65,,,,,,,,,ユダ,,,,,,
,96,,,,,,,,,啓示,,,,,,
