Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Events,0079,1,3,,0080,1,1,,,一年戦争,,,,,,
Events,0079,1,3,,0079,1,10,,,一週間戦争,,,,,,
Events,0079,1,15,,0079,1,16,,,ルウム戦役,ジオン公国軍シャア・アズナブル中尉、戦艦5隻を撃沈。「赤い彗星」の異名をとる。,,,,,
Events,0079,1,3,7:20,,,,,,ジオン公国、地球連邦政府に宣戦を布告。,宣戦布告と同時に先制攻撃。月面都市グラナダを制圧。サイド1・2・4に対して毒ガス攻撃を敢行。,,,,,
Events,0079,1,4,,,,,,,ジオン公国、「ブリティッシュ作戦」発動。,サイド2「アイランド・イフィッシュ」を、地球連邦軍本部ジャブローに向けて落下させる。,,,,,
Events,0079,1,10,,,,,,,サイド2「アイランド・イフィッシュ」の一部、シドニーへ落下。,開戦からコロニー落下までを「一週間戦争」という。,,,,,
Events,0079,1,11,,,,,,,サイド6、中立を宣言。,1月17日とも。,,,,,
Events,0079,1,16,,,,,,,黒い三連星、地球連邦軍レビル将軍を拿捕。,,,,,,
E.F.S.F.,0079,1,22,,,,,,,レビル将軍奪還作戦を開始。,,,,,,
Events,0079,1,31,,,,,,,レビル将軍がジオン本国を脱出。「ジオンに兵なし」演説。,,,,,,
Events,0079,1,31,,,,,,,「南極条約」締結。,本来は休戦条約となる予定であったが、レビル将軍の演説の影響で戦時条約へと変更。,,,,,
E.F.S.F.,0079,2,,13,,,,,,「V作戦」立案。,,,,,,
Events,0079,3,1,,0079,3,18,,,ジオン公国軍、第1~3次降下作戦。,第2次降下作戦によりキャリフォルニア・ベース無血開城。第3次降下作戦によりオセアニア制圧。東南アジア方面では戦闘継続。,,,,,
E.F.S.F.,0079,4,1,,,,,,,「V作戦」発動。,,,,,,
ZEON,0079,5,17,,,,,,,宇宙要塞「ソロモン」機能開始。,,,,,,
ZEON,0079,6,,,,,,,,フラナガン機関を設立。,,,,,,
ZEON,0079,6,,,,,,,,本土防衛部隊の編成完了。,,,,,,
E.F.S.F.,0079,7,,,,,,,,極東方面軍第1機械化混成大隊を編成。,,,,,,
E.F.S.F.,0079,7,,,,,,,,「プロトタイプガンダム」ロールアウト。,,,,,,
E.F.S.F.,0079,7,,,,,,,,ビームライフル発明。,,,,,,
E.F.S.F.,0079,7,,,,,,,,エネルギーCAP技術確立。,,,,,,
Events,0079,7,,,,,,,,地球連邦軍欧州方面軍、ジオン公国軍に大敗。,,,,,,
E.F.S.F.,0079,8,,,,,,,,「ガンダムNT-1」開発開始。,,,,,,
E.F.S.F.,0079,9,15,,,,,,,戦艦ホワイトベース、新型MS受領のためサイド7へ向かう。,,,,,,
W.B.隊,0079,9,15,,,,,,,サイド7に向けてジャブローを出港。,,,,,,
W.B.隊,0079,9,18,,,,,,,サイド7を出港。,第2話「ガンダム破壊命令」。,,,,,
W.B.隊,0079,9,18,,,,,,,シャア少佐指揮下のザク2機をガンダムが撃破。,,,,,,
W.B.隊,0079,9,18,,,,,,,サイド7、1バンチに入港。,第1話「ガンダム大地に立つ」。,,,,,
Events,0079,9,18,,,,,,,サイド7にて史上初のMS戦。,,,,,,
W.B.隊,0079,9,20,,,,,,,ルナ2へ入港。,第4話「ルナツー脱出作戦」。,,,,,
W.B.隊,0079,9,22,,,,,,,ルナ2を脱出。,,,,,,
W.B.隊,0079,9,23,,,,,,,カリフォルニアへ降下、ジオン公国軍ガルマ隊と交戦。,第6話「ガルマ出撃す」。南米へ向かうことを諦め西進。,,,,,
W.B.隊,0079,9,23,,,,,,,大気圏へ突入。,第5話「大気圏突入」。南米ジャブローへ向かうはずが、シャア隊の攻撃により北米へと進路変更。,,,,,
W.B.隊,0079,10,1,,,,,,,マチルダ隊から補給を受ける。,,,,,,
W.B.隊,0079,10,4,,,,,,,シアトルにてガルマ隊を撃破。,第10話「ガルマ散る」。,,,,,
Events,0079,10,4,,,,,,,ジオン公国軍ガルマ・ザビ大佐死亡。,,,,,,
Events,0079,10,6,,,,,,,ジオン公国、ガルマ・ザビの国葬を行う。ギレン・ザビ演説。,,,,,,
W.B.隊,0079,10,6,,,,,,,太平洋を横断、ランバ・ラル隊の強襲を受ける。,第12話「ジオンの脅威」。,,,,,
08小隊,0079,10,6,,,,,,,シロー・アマダ少尉、ボールに登場し出撃、一時行方不明に。,,,,,,
W.B.隊,0079,10,7,,,,,,,アムロ、故郷の日本で母と断絶。,第13話「再会、母よ」。,,,,,
W.B.隊,0079,10,10,,,,,,,モンゴル付近に到着。,,,,,,
E.F.S.F.,0079,10,11,,,,,,,レビル将軍、オデッサ作戦に備え戦力を招集。,,,,,,
ZEON,0079,10,30,,,,,,,マッドアングラー隊を結成。,,,,,,
W.B.隊,0079,11,2,,,,,,,レビル将軍より、カスピ海を越えるよう指令。,,,,,,
W.B.隊,0079,11,5,,,,,,,カスピ海付近にてランバ・ラル隊を撃破。,第20話「死闘！ホワイトベース」。,,,,,
ZEON,0079,11,5,,,,,,,ランバ・ラル大尉死亡。,,,,,,
W.B.隊,0079,11,6,,,,,,,マ・クベの攻撃を受け、ホワイトベース中破,第22話「マ・クベ包囲網を破れ！」。,,,,,
W.B.隊,0079,11,6,,,,,,,ランバ・ラル隊残党を撃破、リュウ・ホセイ死亡。,第21話「激闘は憎しみ深く」。,,,,,
W.B.隊,0079,11,7,,,,,,,マチルダ隊よりGファイターを受領。,第23話「マチルダ救出作戦」。,,,,,
W.B.隊,0079,11,7,,,,,,,黒い三連星と交戦、これを撃破。,第24話「迫撃　トリプル・ドム」。,,,,,
Events,0079,11,7,,,,,,,地球連邦軍、「オデッサ作戦」発動。,,,,,,
W.B.隊,0079,11,9,,,,,,,ジオン公国軍マ・クベ大佐が水爆を使用するも、これをガンダムが阻止。,第25話「オデッサの激闘」。,,,,,
Events,0079,11,7,,0079,11,10,,,オデッサの戦い,,,,,,
Events,0079,11,10,,,,,,,ジオン公国軍、オデッサ鉱山地帯を放棄。,,,,,,
