Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
和暦,1926,,,,,,,,,昭和元年,,,,,,
和暦,1927,,,,,,,,,昭和2年,,,,,,
和暦,1928,,,,,,,,,昭和3年,,,,,,
和暦,1929,,,,,,,,,昭和4年,,,,,,
和暦,1930,,,,,,,,,昭和5年,,,,,,
和暦,1931,,,,,,,,,昭和6年,,,,,,
和暦,1932,,,,,,,,,昭和7年,,,,,,
和暦,1933,,,,,,,,,昭和8年,,,,,,
和暦,1934,,,,,,,,,昭和9年,,,,,,
和暦,1935,,,,,,,,,昭和10年,,,,,,
和暦,1936,,,,,,,,,昭和11年,,,,,,
和暦,1937,,,,,,,,,昭和12年,,,,,,
和暦,1938,,,,,,,,,昭和13年,,,,,,
和暦,1939,,,,,,,,,昭和14年,,,,,,
和暦,1940,,,,,,,,,昭和15年,,,,,,
和暦,1941,,,,,,,,,昭和16年,,,,,,
和暦,1942,,,,,,,,,昭和17年,,,,,,
和暦,1943,,,,,,,,,昭和18年,,,,,,
和暦,1944,,,,,,,,,昭和19年,,,,,,
和暦,1945,,,,,,,,,昭和20年,,,,,,
和暦,1946,,,,,,,,,昭和21年,,,,,,
和暦,1947,,,,,,,,,昭和22年,,,,,,
和暦,1948,,,,,,,,,昭和23年,,,,,,
和暦,1949,,,,,,,,,昭和24年,,,,,,
和暦,1950,,,,,,,,,昭和25年,,,,,,
和暦,1951,,,,,,,,,昭和26年,,,,,,
和暦,1952,,,,,,,,,昭和27年,,,,,,
和暦,1953,,,,,,,,,昭和28年,,,,,,
和暦,1954,,,,,,,,,昭和29年,,,,,,
和暦,1955,,,,,,,,,昭和30年,,,,,,
和暦,1956,,,,,,,,,昭和31年,,,,,,
和暦,1957,,,,,,,,,昭和32年,,,,,,
和暦,1958,,,,,,,,,昭和33年,,,,,,
和暦,1959,,,,,,,,,昭和34年,,,,,,
和暦,1960,,,,,,,,,昭和35年,,,,,,
和暦,1961,,,,,,,,,昭和36年,,,,,,
和暦,1962,,,,,,,,,昭和37年,,,,,,
和暦,1963,,,,,,,,,昭和38年,,,,,,
和暦,1964,,,,,,,,,昭和39年,,,,,,
和暦,1965,,,,,,,,,昭和40年,,,,,,
和暦,1966,,,,,,,,,昭和41年,,,,,,
和暦,1967,,,,,,,,,昭和42年,,,,,,
和暦,1968,,,,,,,,,昭和43年,,,,,,
和暦,1969,,,,,,,,,昭和44年,,,,,,
和暦,1970,,,,,,,,,昭和45年,,,,,,
和暦,1971,,,,,,,,,昭和46年,,,,,,
和暦,1972,,,,,,,,,昭和47年,,,,,,
和暦,1973,,,,,,,,,昭和48年,,,,,,
和暦,1974,,,,,,,,,昭和49年,,,,,,
和暦,1975,,,,,,,,,昭和50年,,,,,,
和暦,1976,,,,,,,,,昭和51年,,,,,,
和暦,1977,,,,,,,,,昭和52年,,,,,,
和暦,1978,,,,,,,,,昭和53年,,,,,,
和暦,1979,,,,,,,,,昭和54年,,,,,,
和暦,1980,,,,,,,,,昭和55年,,,,,,
和暦,1981,,,,,,,,,昭和56年,,,,,,
和暦,1982,,,,,,,,,昭和57年,,,,,,
和暦,1983,,,,,,,,,昭和58年,,,,,,
和暦,1984,,,,,,,,,昭和59年,,,,,,
和暦,1985,,,,,,,,,昭和60年,,,,,,
和暦,1986,,,,,,,,,昭和61年,,,,,,
和暦,1987,,,,,,,,,昭和62年,,,,,,
和暦,1988,,,,,,,,,昭和63年,,,,,,
出来事,1926,,,,,,,,,大正天皇崩御,,,,,,
出来事,1927,,,,,,,,,世界かぜが大流行／金融恐慌始まる,,,,,,
出来事,1928,,,,,,,,,大相撲ラジオ実況中継放送開始／初の男子普通選挙実施,,,,,,
出来事,1929,,,,,,,,,上野松坂屋にエレベーターガール登場／世界恐慌始まる,,,,,,
出来事,1930,,,,,,,,,,,,,,,
出来事,1931,,,,,,,,,リンドバーグ夫妻来日／満州事変勃発,,,,,,
出来事,1932,,,,,,,,,満州国建国宣言／チャップリン来日五・一五事件／白木屋百貨店火災,,,,,,
出来事,1933,,,,,,,,,五・一五事件／白木屋百貨店火災,,,,,,
出来事,1934,,,,,,,,,渋谷駅に忠犬ハチ公像完成／東北地方大凶作,,,,,,
出来事,1935,,,,,,,,,ベーブ・ルースら14名来日,,,,,,
出来事,1936,,,,,,,,,日本職業野球連盟結成／二・二六事件,,,,,,
