Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
バンド,2006,4,,,,,,,,バンド結成,,,,,,
バンド,2012,11,25,,,,,,,藤井(Gt)正式加入,fireloopの自主企画,,,,,
リリース,2014,4,6,,,,,,,3rdミニアルバム「この恋は呪い」,,,,,,
リリース,2014,12,7,,,,,,,シングル「Mixtape」,,,,,,
リリース,2016,5,11,,,,,,,"1stアルバム「CRAZY, STUPID, LOVE」",,,,,,
リリース,2017,6,7,,,,,,, 4thミニアルバム「MISS YOU」,,,,,,
リリース,2018,6,6,,,,,,,両A面シングル「FREAKS & GEEKS / THE GREAT ESCAPE」,,,,,,
リリース,2013,11,15,,,,,,,スプリット「penかapple」,,,,,,
MINAMI WHEEL,2008,10,,,,,,,,@FANJ twice,,,,,,
MINAMI WHEEL,2012,10,,,,,,,,@SOMA,,,,,,
MINAMI WHEEL,2014,10,,,,,,,,@SOCORE FACTORY,,,,,,
MINAMI WHEEL,2015,10,,,,,,,,@VARON,,,,,,
MINAMI WHEEL,2016,10,,,,,,,,@SUNHALL,,,,,,
MINAMI WHEEL,2017,10,,,,,,,,@JANUS,,,,,,
MINAMI WHEEL,2018,10,,,,,,,,@BIGCAT,,,,,,
ワンマン,2014,4,6,,,,,,,@扇町 para-dice,,,,,,
ワンマン,2015,12,20,,,,,,,@天王寺 fireloop,,,,,,
ワンマン,2017,6,10,,,,,,,@梅田 Shangri-La,,,,,,
ワンマン,2017,6,17,,,,,,,@渋谷 WWW X,,,,,,
ワンマン,2018,6,9,,,,,,,@名古屋 CLUB ROCK'N'ROLL,,,,,,
ワンマン,2018,10,28,,,,,,,@梅田バナナホール,,,,,,
その他,2011,11,29,,,,,,,eo Music Try 2011 ポッキー賞,,,,,,
その他,2015,11,28,,,,,,,eo Music Try 2015 審査員特別賞,,,,,,
