Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
民間空港の歴史,1920,,,,1959,,,,,クロイドン飛行場,,,,,,
民間空港の歴史,1929,,,,1946,,,,,グレート・ウエスト飛行場,,,,,,
民間空港の歴史,1946,,,,1966,,,,,ロンドン空港,,,,,,
ヒースロー空港,1966,,,,,,,,,ヒースロー空港に改名,,,,,,
ヒースロー空港,1968,,,,2015,,,,,ターミナル1,,,,,,
ヒースロー空港,1955,,,,2014,,,,,旧ターミナル2,,,,,,
ヒースロー空港,2014,,,,2019,,,,,ターミナル2（フェーズ1）,,,,,,
ヒースロー空港,2019,,,,now,,,,,ターミナル2（フェーズ2）,,,,,,
ヒースロー空港,1961,,,,now,,,,,ターミナル3,,,,,,
ヒースロー空港,1986,,,,now,,,,,ターミナル4,,,,,,
ヒースロー空港,2008,,,,now,,,,,ターミナル5,,,,,,
ヒースロー空港,1947,,,,now,,,,,第1・2・３滑走路,,,,,,
ヒースロー空港,1953,,,,,,,,,平行滑走路の延長,,,,,,
ヒースロー空港,1961,,,,,,,,,滑走路の延長,,,,,,
イギリスでの出来事,1965,,,,,,,,,英国空港公団設立,,,,,,
イギリスでの出来事,1965,,,,,,,,,空港公団法施行,,,,,,
イギリスでの出来事,1986,,,,,,,,,空港法制定,,,,,,
イギリスでの出来事,1977,,,,,,,,,地下鉄ピカデリー線乗り入れ,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
