Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
鴨川,1970,8,8,,1974,4,,,,★ チャッピー F 推定年齢5歳 *K1,WC ワシントン州,https://orcapod.fandom.com/wiki/Category:Chappy,,,,
鴨川,1970,8,8,,1974,7,,,,★ ジャンボ M 推定年齢9歳 *K2,WC ワシントン州,https://orcapod.fandom.com/wiki/Category:Jumbo,,,,
鴨川,1972,9,,,1972,9,,,,★ ZERO F? *K3,WC 網走港 オホーツク水族館へ移動,https://orcapod.fandom.com/wiki/Category:Zero,,,,
鴨川,1979,11,,,1983,10,,,,★ キング M 推定年齢5歳 *K4,WC アイスランド オンタリオマリンランド経由,https://orcapod.fandom.com/wiki/Category:King,,,,
鴨川,1979,11,,,1987,5,,,,★ カレン F 推定年齢9歳 *K5,WC アイスランド オンタリオマリンランド経由,https://orcapod.fandom.com/wiki/Category:Caren,,,,
鴨川,1979,,,,,,,,,★ no name adult F,WC アイスランド オンタリオマリンランド経由、輸送中に死亡,https://web.archive.org/web/20121030175434/http://www.zoocheck.com/campaigns_whaleswild_mlinventory.pdf,,,,
鴨川,1984,11,,,1987,9,,,,★ パティ F 推定年齢5歳 *K6,WC アイスランド,https://orcapod.fandom.com/wiki/Category:Patty,,,,
鴨川,1984,11,,,2011,10,,,,ビンゴ M *K7,WC アイスランド 名古屋へ貸与,https://orcapod.fandom.com/wiki/Category:Bingo,,,,
鴨川,1987,10,,,1997,10,7,,,★ マギー F 推定年齢13歳 *K8,WC アイスランド,http://www.jca.apc.org/~orca/data.html,,,,
鴨川,1987,10,,,2011,10,,,,ステラ F *K9,WC アイスランド 名古屋へ貸与,https://orcapod.fandom.com/wiki/Category:Stella,,,,
鴨川,1987,10,,,2012,12,20,,,★ オスカー M 推定年齢27歳 *K10,WC アイスランド,https://orcapod.fandom.com/wiki/Category:Oscar,,,,
鴨川,1987,10,,,1991,7,,,,★ ブッバ（Prince） M 推定年齢6歳 *K11,WC アイスランド 1989年4月 香港オーシャンパークへ移動,https://orcapod.fandom.com/wiki/Category:Prince,,,,
鴨川,1995,3,3,,,,,,,★ マギーの子 F *K12,CB マギー×ビンゴ,https://orcapod.fandom.com/wiki/Category:Maggie%27s_Calf,,,,
鴨川,1997,10,5,,,,,,,★ マギーの子 F 死産 *K13,CB マギー×ビンゴ,https://orcapod.fandom.com/wiki/Category:Maggie%27s_Stillborn_(1997),,,,
鴨川,1998,1,11,,now,,,,,ラビー F *K14,CB ステラ×ビンゴ,http://www.kamogawa-seaworld.jp/research/sakamata/pdf/no90.pdf,,,,
鴨川,2008,10,13,,2015,12,,,,アース M *K15,CB ラビー×オスカー 名古屋へ売却,http://www.kamogawa-seaworld.jp/release/release_2015/release_20151209.html,,,,
鴨川,2012,7,19,,now,,,,,ルーナ F *K16,CB ラビー×オスカー,http://www.kamogawa-seaworld.jp/release/release_2012/release_20120720.html,,,,
鴨川,2001,2,8,,now,,,,,ララ F *K17,CB ステラ×ビンゴ,https://orcapod.fandom.com/wiki/Category:Lara,,,,
鴨川,2003,5,31,,2006,4,26,,,★ サラ F 2歳10ヶ月 *K18,CB ステラ×ビンゴ,https://orcapod.fandom.com/wiki/Category:Sarah,,,,
鴨川,2006,2,25,,2011,10,,,,ラン F *K19,CB ステラ×ビンゴ 名古屋へ貸与,https://orcapod.fandom.com/wiki/Category:Ran_2,,,,
鴨川,2015,12,,,now,,,,,ラン F *K19,CB ステラ×ビンゴ 名古屋から返却,http://www.kamogawa-seaworld.jp/release/release_2015/release_20151209.html,,,,
太地,1978,,,,,,,,,★ no name adult M *T1,WC 太地 生存日数5日,http://www.jca.apc.org/~orca/data.html,,,,
太地,1979,2,,,1979,5,,,,★ no name adult F *T2,WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1979,2,26,,1982,6,,,,★ タイM 推定年齢13歳＋  *T3,WC 太地,https://orcapod.fandom.com/wiki/Category:Tai,,,,
太地,1982,2,,,1982,6,,,,★ no name adult M *T4,WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1982,2,,,1982,6,,,,☆ ベンケイ？calf M 同年6月以降消息不明  *T5,WC 太地,http://www.jca.apc.org/~orca/data.html,,,,
太地,1985,10,,,2010,6,17,,,ナミ F *T6N1,WC 太地 名古屋へ売却,https://orcapod.fandom.com/wiki/Category:Nami,,,,
太地,1997,2,7,,2003,10,,,,クー M *T7,WC 太地 名古屋へ貸与,https://orcapod.fandom.com/wiki/Category:Ku,,,,
名古屋,2003,10,,,2008,9,19,,,★ クー M 推定18歳 *T7,WC 太地 太地くじら博から貸与,http://www.shikoku-np.co.jp/national/life_topic/20031029000101,,,,
名古屋,2010,6,18,,2011,1,14,,,★ ナミ F 推定28歳 *T6N1,WC 太地 太地くじら博から購入,https://web.archive.org/web/20110117042646/http://www.asahi.com/national/update/0114/NGY201101140031.html,,,,
