Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
イス人,2014,,,,2018,12,27,,,鹿上市の調査を始める,イス人が戸高に憑依しシシガミの調査を始める,,,,,
イス人,2014,,,,2016,4,3,,,戸高死亡,戸高に憑依,,,,,
イス人,2016,4,3,,,,,,,戸高死亡,戸高が死亡し立花あかねが憑依される,,,,,
イス人,2016,4,3,,2018,12,27,,,立花あかねに憑依,戸高が死亡に伴い立花あかねが憑依される,,,,,
イス人,2019,8,12,,now,,,,,帰還,鹿上市に戻る,,,,,
宇藤美咲,2014,,,,2016,4,3,,,戸高と交際,,,,,,
宇藤美咲,2016,4,3,,,,,,,戸高死亡、落ち込み始める,,,,,,
宇藤美咲,2016,6,7,,2018,2,19,,,夜宵園芸に通う,,,,,,
宇藤美咲,2018,2,19,,2019,7,27,,,月光草を栽培,,,,,,
宇藤美咲,2019,1,9,,,,,,,病院に訪れる,,,,,,
宇藤美咲,2019,2,2,,,,,,,月光草を摂食,,,,,,
宇藤美咲,2019,4,20,,,,,,,月光草を愛衣に見せる,,,,,,
宇藤美咲,2019,5,3,,,,,,,末期癌の宣告,,,,,,
宇藤美咲,2019,7,27,,,,,,,死亡,,,,,,
立花あかね,2016,1,20,,2016,4,1,,,引っ越し準備,,,,,,
立花あかね,2016,4,2,,,,,,,鹿上市に引っ越す,,,,,,
立花あかね,2016,4,3,,2018,12,27,,,イス人に憑依される,,,,,,
立花あかね,2018,12,27,,2019,8,12,,,元人格に戻る,,,,,,
立花あかね,2018,12,30,,now,,,,,入院,,,,,,
立花あかね,2019,1,9,,,,,,,美咲が病院を訪れる,よくわからないので困惑,,,,,
