Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
疫病,541,,,,756,,,,,ペスト,,,,,,
疫病,1331,,,,1855,,,,,ペスト,,,,,,
疫病,1855,,,,1960,,,,,ペスト,,,,,,
ルネサンス,700,,,,800,,,,,アラビアルネサンス ,7世紀には、ムハンマド（マホメット）によるイスラム教のもとでのアラビア半島統一が起きる。イスラム帝国が築かれるなか王朝がペルシャ系に替わり、首都バクダードにペルシャ文化が流入する。とくにムーゼイオン以来といわれるバクダードの研究機関「知恵の館」では、キリスト教異端者たちがペルシャで伝えてきたシリア語写本がアラビア語写本にされ、さらにはインドの数学や中国の技術文化まで吸収していく。この8世紀から9世紀までの動きを、「アラビア・ルネサンス」(伊藤）と呼ぶ。,,,,,
ルネサンス,700,,,,800,,,,,カロリング朝ルネサンス,フランク王国のカロリング朝・カール大帝のアーヘン宮廷を中心に、聖職者に正しいラテン語の知識を与えることなどを目的として始まった文化復興の運動。中世のゲルマン社会で衰退した古典文芸を復活させようとした面をとらえ、後のルネサンスの先駆けとして、カロリング＝ルネサンスと言われる。中心になったのはイギリス生まれの神学者でカール大帝に招かれたアルクィンである。,,,,,
ルネサンス,900,,,,1000,,,,,マケドニア朝ルネサンス,バシレイオス1世以下歴代のマケドニア王朝期（867年 - 1057年）の皇帝たちはローマ帝国の復興を目指して行政機構や法律を整備し、軍事面でもイスラム支配下にあった東地中海を回復、またブルガリアやロシアなど東欧地域へのキリスト教布教を進めた。こうしてマケドニア王朝時代に皇帝専制体制は頂点に達し、軍事･経済面で東ローマ帝国は繁栄の時代を迎え、その繁栄は文化面にも及んだ。この第２次黄金時代とよばれたマケドニア・ルネサンス時代はヘレニズム美術への回帰現象が起こり擬古典的な趣きが強くなる。それが、ルネサンスと呼ばれる所以である,,,,,
ルネサンス,1100,,,,1200,,,,,商業ルネサンス,ヨーロッパの貨幣経済が再び活発になるとともに商業が復興、それに伴って都市人口が増加し、都市も復活した。このような経済史上の動きを「商業ルネサンス（商業の復活）」と呼んだ,,,,,
ルネサンス,1100,,,,1200,,,,,１２世紀ルネサンス, １２世期ルネサンスは、十字軍運動によってビザンツやイスラームの文化に接したことで起きた。イスラームを経由してギリシアの文化や哲学の古典がヨーロッパにもっとも多く流入したのは、イベリア半島のトレドとシチリア島のパレルモをルートとしていた。また新しい思想や芸術を受けいれた背景には、封建制の確立、農業生産力の向上（三圃制農業など）、人口増加とそれに伴って貨幣経済の発展（商業の復活）と都市の勃興（および知識人の登場）などがある。  ,,,,,
ルネサンス,1200,,,,1300,,,,,パレオロゴス朝ルネサンス,"パレオロゴス朝時代政治・軍事・経済面での衰退に直面した東ローマ帝国の人々は、帝国の栄光を古代から継承してきた古代ギリシャ文化に求めた。哲学・文学・天文学・歴史などの研究が進み、古代ギリシャ・ローマの古典作品の注釈や写本の製作が隆盛を極めた。美術面でもそれまでの平面的な宗教画から、写実的な新しい画風が生まれ、モザイク画やフレスコ画の傑作が生まれた。これらの文化的興隆は後に「パレオロゴス朝ルネサンス」と呼ばれる。
",,,,,
ルネサンス,1300,,,,1563,,,,,イタリアルネサンス,,,,,,
ルネサンス,1520,,,,1600,,,,,マニエリスム,マニエリスム (伊: Manierismo ; 仏: Maniérisme ; 英: Mannerism) とはルネサンス後期の美術で、イタリアを中心にして見られる傾向を指す言葉である。マンネリズムの語源。美術史の区分としては、盛期ルネサンスとバロックの合間にあたる。イタリア語の「マニエラ（maniera：手法・様式）」に由来する言葉である[2][3]。ヴァザーリはこれに「自然を凌駕する行動の芸術的手法」という意味を与えた。,,,,,
ルネサンス,1450,,,,1600,,,,,北方ルネサンス,北方ルネサンスは、狭義には北ヨーロッパでのルネサンス運動を指し、広義ではイタリア以外でのヨーロッパにおけるルネサンス運動全体を指す美術史用語。1450年終わりになるまでイタリアでのルネサンス人文主義はイタリア以外のヨーロッパ諸外国にはほとんど影響を及ぼさなかったが、15世紀後半にはルネサンス運動は全ヨーロッパに波及した。その結果、「ドイツ・ルネサンス」、「フランス・ルネサンス」、「イングランド・ルネサンス」、「ネーデルラント・ルネサンス」、「ポーランド・ルネサンス」など、それぞれの国でルネサンスの影響を受けた多種多様な芸術運動が展開された。,,,,,
戦争,1337,,,,1453,,,,,百年戦争,"百年戦争（ひゃくねんせんそう、英語: Hundred Years' War、フランス語: Guerre de Cent Ans）は、フランス王国の王位継承およびイングランド王家がフランスに有する広大な領土をめぐり、フランス王国を治めるヴァロワ朝と、イングランド王国を治めるプランタジネット朝およびランカスター朝というフランス人王朝同士の争いに、フランスの領主たちが二派に分かれて戦った内戦である。国家という概念は薄い時代であり、封建諸侯の領地争いが重なったものであったが、戦争を経て次第に国家・国民としてのアイデンティティーが形成されるに至った。現在のフランスとイギリスの国境線が決定した戦争でもある。百年戦争は19世紀初期にフランスで用いられるようになった呼称で、イギリスでも19世紀後半に慣用されるようになった。

伝統的に1337年11月1日のエドワード3世によるフランスへの挑戦状送付から1453年10月19日のボルドー陥落までの116年間の対立状態を指すが、歴史家によっては、実際にギュイエンヌ、カンブレーにおいて戦闘が開始された1339年を開始年とする説もある。いずれにしても戦争状態は間欠的なもので、休戦が宣言された時期もあり、終始戦闘を行っていたというわけではない。だが戦争状態が続いていた。

両国とも自国で戦費を賄うことができなかった。フランスはジェノヴァ共和国に、イングランドはヴェネツィア共和国に、それぞれ外債を引き受けさせた。",,,,,
戦争,718,,,,1492,,,,,レコンキスタ,レコンキスタ（スペイン語: Reconquista）は、718年から1492年までに行われた、複数のキリスト教国家によるイベリア半島の再征服活動の総称である。 ウマイヤ朝による西ゴート王国の征服とそれに続くアストゥリアス王国の建国から始まり、1492年のグラナダ陥落によるナスル朝滅亡で終わる。,,,,,
戦争,1494,,,,1559,,,,,イタリア戦争,"イタリア戦争（イタリアせんそう、イタリア語: Guerre d'Italia、フランス語: Guerres d'Italie）、またはイタリア大戦争（イタリアだいせんそう、イタリア語: Grandi Guerre d'Italia）、ハプスブルク・ヴァロワ戦争（英: Habsburg–Valois Wars）、ルネサンス戦争（英: Renaissance Wars）は、16世紀に主にハプスブルク家（神聖ローマ帝国・スペイン）とヴァロワ家（フランス）がイタリアを巡って繰り広げた戦争である。教皇領、イタリアの都市国家（英語版）、ヴェネツィア共和国、西ヨーロッパのほとんどの国（イングランド、スコットランド、前出のフランス、スペイン、神聖ローマ帝国）も参戦した。戦争の期間は、本項では1494年から1559年としてはいるが、実際には戦争の期間や区分けは諸説あり、必ずしも一定しているわけではない。

ミラノ公国とナポリ王国の継承争いから始まったこの戦争は、やがて諸国を巻き込み、権力と領土を争うための戦争となり、数々の同盟、対抗同盟、裏切りが行われた",,,,,
