Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
ミュージアム,1998,,,,1999,,,,,第3次フェス,,,,,,
ミュージアム,1999,,,,,,,,,ワルツが転生,"第三次フェス終了後の祝勝会での襲撃でワルツが次元路に落ちる。
記憶を失い表世界へ",,,,,
ミュージアム,2000,,,,2001,,,,,王妃脱走,,,,,,
ミュージアム,2002,,,,2005,,,,,フェイス斥候侵略戦争,,,,,,
新SCT第1部,1999,4,,,2001,12,,,,新SCT第1部,そして季節は春に,,,,,
新SCT第2部,2002,1,,,2002,8,,,,新SCT第2部,永久の恋人,,,,,
新SCT第3部,2002,9,,,2005,3,,,,新SCT第3部,偽りの恋,,,,,
新SCT第4部,2005,4,,,,,,,,新SCT第4部,輪舞、再び,,,,,
新SCT第5部,,,,,,,,,,新SCT第5部,,,,,,
新SCT第1部,2000,4,,,,,,,,みぞれ高校1年,秋と協力して夜回りを始める,,,,,
新SCT第1部,2001,4,,,,,,,,みぞれ高校2年,紗織や夏苗と知り合う,,,,,
新SCT第2部,2002,8,,,,,,,,みぞれ高校3年(複象実験),複象実験に巻き込まれ廃人になる,,,,,
新SCT第3部,2003,3,,,,,,,,ハル 高校卒業,,,,,,
新SCT第3部,2004,5,,,,,,,,鈴 誘拐事件,,,,,,
新SCT第3部,2004,6,,,,,,,,リィン 召喚,,,,,,
新SCT第3部,2004,10,,,,,,,,紗織 死亡(19歳),,,,,,
新SCT第4部,2005,4,,,,,,,,ハル、再びミュージアムへ,,,,,,
