Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
社会,1914,,,,1918,,,,,WW1,,,,,,
社会,1939,,,,1945,,,,,WW2,,,,,,
社会,1945,,,,1991,,,,,Cold War,,,,,,
社会,1955,,,,1975,,,,,Vietnam War,,,,,,
芸術運動,1909,,,,1944,,,,,Futurism,,,,,,
芸術運動,1915,,,,1924,,,,,Dadaism,,,,,,
芸術運動,1954,,,,1963,,,,,NeoDada,,,,,,
芸術運動,1962,,,,1978,,,,,Fluxus,,,,,,
芸術運動,1968,,,,1972,,,,,Whole Earth Catalog,,,,,,
展覧会,1967,,,,,,,,,Montreal Expo,,,,,,
展覧会,1968,8,1,,1968,10,20,,,Cybernetic Serendipity(London),,,,,,
展覧会,1968,11,27,,1969,2,9,,,The Machine as Seen at the End of the Mechanical Age(MoMA),,,,,,
展覧会,1969,4,26,,1969,5,26,,,国際サイテック・アート展　エレクトロマジカ,,,,,,
展覧会,1970,3,15,,1970,9,13,,,OSAKA EXPO 70,,,,,,
展覧会,2003,4,11,,2003,6,29,,,E.A.T.──芸術と技術の実験(ICC),,,,,,
コンサート,1966,10,13,,1966,10,23,,,9 evenings,,http://www.fondation-langlois.org/html/e/selection.php?Selection=9EVO,,,,
コンサート,2012,8,26,,2012,9,8,,,14 evenings ,,http://archive.momat.go.jp/Honkan/14_evenings/index.html,,,,
団体,1919,,,,1933,,,,,Bauhaus,,,,,,
団体,1933,,,,1957,,,,,Black Mountain College,,,,,,
団体,1966,,,,,,,,,Experiments in Art and Technology,,http://www.fondation-langlois.org/html/e/page.php?NumPage=306,,,,
団体,1958,,,,1971,,,,,草月アートセンター,,,,,,
団体,1977,,,,2018,,,,,IRCAM,,,,,,
団体,1985,,,,2018,,,,,MIT Media Lab,,,,,,
団体,1990,,,,2018,,,,,NTT Inter Communication Center,,,,,,
団体,1991,,,,2001,,,,,キャノンアートラボ,,,,,,
団体,1997,,,,2018,,,,,ZKM,,,,,,
団体,2003,,,,2018,,,,,YCAM,,,,,,
技術,1857,,,,,,,,,Phonautograph(Scott),,,,,,
技術,1874,,,,,,,,,Ear phonautograph(Bell),,,,,,
技術,1876,,,,,,,,,Telephony (Bell),,,,,,
技術,1877,,,,,,,,,phonograph(Edison),,,,,,
技術,1836,,,,,,,,,Morse Telegraphy(Morse and Veil),,,,,,
技術,1904,,,,,,,,,Vacuum Tube Diode,,,,,,
技術,1945,,,,,,,,,ENIAC,,,,,,
技術,1948,,,,,,,,,Point-Contact Transistor,,,,,,
技術,1969,,,,,,,,,ARPANET,,,,,,
研究,1650,,,,,,,,,Musurgia Universalis(Kircher),Cat Organ and so on,,,,,
研究,1946,,,,1953,,,,,Macy Conferences,,,,,,
研究,1948,,,,,,,,,Infomation Theory(Shannon),,,,,,
研究,1950,,,,,,,,,The Human Use of Human Beings(Wiener),,,,,,
研究,1964,,,,,,,,,Understanding Media: The Extensions of Man(Mclluhan),,,,,,
研究,1967,,,,,,,,,Medium Is Massege(Mclluhan),,,,,,
研究,1971,,,,1973,,,,,Project Cybersin,,,,,,
研究,1999,,,,,,,,,"Gramophone, Film, Typewriter(Kittler)",,,,,,
研究,2001,,,,,,,,,The Language of New Media(Manovich),,,,,,
研究,2003,,,,,,,,,Microsound(Roads),,,,,,
研究,2003,,,,,,,,,The Audible Past(Sterne),,,,,,
研究,2005,,,,,,,,,FAB(Neil Gershenfeld),,,,,,
ツール,1957,,,,,,,,,MUSIC(Mathews),,,,,,
ツール,1996,,,,,,,,,Puredata(Puckette),,,,,,
ツール,1985,,,,,,,,,Patcher(Puckette),,,,,,
ツール,1986,,,,,,,,,CSound(),,,,,,
作品,1952,,,,,,,,,4'33''(Cage),,,,,,
作品,1956,,,,,,,,,Useless Machines(Munari),,,,,,
作品,1968,,,,,,,,,Cracklebox(Waisvisz),,,,,,
作品,1968,,,,,,,,,Rainforest 1(Tudor),,,,,,
作品,1969,,,,,,,,,I'm sitting in a room(Lucier),,,,,,
作品,1977,,,,,,,,,Music on a long Thin Wire(Lucier),,,,,,
作品,1980,,,,,,,,,YMO Techno Badge(Fujihata & et al),,,,,,
作品,1993,,,,,,,,,Edison Effects(Demarinis),,,,,,
作品,2004,,,,,,,,,1 bit Music(Perich),,,,,,
