Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
世紀,2001,,,,2100,,,,,21世紀,,,,,,
世紀,1901,,,,2000,,,,,20世紀,,,,,,
世紀,1801,,,,1900,,,,,19世紀,,,,,,
世紀,1701,,,,1800,,,,,18世紀,,,,,,
女権運動家,1748,,,,1793,,,,,オランプ・ド・グージュ（フランス）,「女性と女性市民の諸権利の宣言」,,,,,
女権運動家,1759,,,,1797,,,,,メアリ・ウルストンクラフト（イギリス）,『女性の権利の擁護-政治および道徳問題の批判を込めて』ルソーへの批判,,,,,
女権運動家,1793,,,,1880,,,,,ルクレシア・モット（アメリカ）,,,,,,
女権運動家,1815,,,,1902,,,,,エリザベス・ケイディ・スタントン（アメリカ）,アメリカ独立宣言→「所感宣言」,,,,,
女権運動家（日本）,1864,,,,1901,,,,,岸田俊子,,,,,,
女権運動家（日本）,1865,,,,1927,,,,,福田英子,婦人解放運動の先駆け,,,,,
女権運動家（日本）,1878,,,,1942,,,,,与謝野晶子,作家,,,,,
女権運動家（日本）,1886,,,,1971,,,,,平塚雷鳥,作家,,,,,
女権運動家（日本）,1890,,,,1980,,,,,山川菊栄,,,,,,
女権運動家（日本）,1893,,,,1981,,,,,市川房枝,,,,,,
女権運動家（日本）,1895,,,,1923,,,,,伊藤野枝,,,,,,
女権運動家（日本）,1895,,,,1997,,,,,奥むめお,,,,,,
女性学（日本）,1914,,,,2000,,,,,嶋津千利世,女性問題研究家,,,,,
女性学（世界）,1921,,,,2006,,,,,ベティ・フリーダン（アメリカ）,,,,,,
アーティスト,1921,,,,,,,,,富山妙子,,,,,,
女性学（世界）,1926,,,,2003,,,,,アマンダ・クロス（アメリカ）,ミステリー作家、イギリス・フェミニズム文学研究,,,,,
女性学（日本）,1929,,,,,,,,,竹中恵美子,,,,,,
女性学（日本）,1929,,,,,,,,,藤井治枝,女性問題研究家,,,,,
女性学（日本）,1929,,,,,,,,,水田珠枝,,,,,,
アーティスト,1929,,,,,,,,,草間弥生,,,,,,
女性学（世界）,1930,,,,,,,,,リュス・イリガライ（ベルギー）,フェミニズム、精神分析学,,,,,
アーティスト,1933,,,,,,,,,オノ・ヨーコ,,,,,,
女性学（世界）,1935,,,,,,,,,モニック・ウィティッグ（フランス）,,,,,,
女性学（世界）,1937,,,,,,,,,ジョアンナ・ラス,,,,,,
女性学（日本）,1937,,,,,,,,,水田宗子,比較文学者、詩人,,,,,
女性学（世界）,1938,,,,,,,,,ダイアナ・ラッセル（南アフリカ）,,,,,,
女性学（世界）,1939,,,,,,,,,ジャーメイン・グリア,,,,,,
女性学（日本）,1939,,,,,,,,,伊藤セツ,家政学,,,,,
女性学（日本）,1941,,,,,,,,,田嶋陽子,ラディカル・フェミニズム,,,,,
女性学（世界）,1941,,,,2013,,,,,ジーン・ベスキー・エルシュテイン（アメリカ）,,,,,,
女性学（日本）,1943,,,,,,,,,田中美津,日本におけるウーマンリブ運動の中心,,,,,
女性学（日本）,1944,,,,,,,,,戒能民江,法学者、家族法、法女性学,,,,,
女性学（日本）,1944,,,,,,,,,金井淑子,,,,,,
女性学（日本）,1944,,,,,,,,,深江誠子,社会学、性教育,,,,,
女性学（日本）,1944,,,,2000,,,,,渡辺和子,,,,,,
女性学（日本）,1944,,,,,,,,,船橋邦子,フェミニズム政治運動家,,,,,
女性学（世界）,1944,,,,,,,,,ナンシー・チョドロラ（アメリカ）,,,,,,
女性学（世界）,1944,,,,,,,,,ダナ・ハラウェイ（アメリカ）,,,,,,
女性学（日本）,1945,,,,2015,,,,,宮淑子,,,,,,
女性学（世界）,1946,,,,,,,,,アンドレア・ドウォーキン（アメリカ）,,,,,,
女性学（世界）,1946,,,,,,,,,キャサリン・マッキノン（アメリカ）,,,,,,
女性学（日本）,1947,,,,,,,,,槇村久子,,,,,,
女性学（日本）,1947,,,,,,,,,森川万智子,慰安婦問題研究,,,,,
女性学（世界）,1947,,,,,,,,,ナンシー・フレイザー（アメリカ）,,,,,,
女性学（日本）,1948,,,,,,,,,上野千鶴子,,,,,,
女性学（日本）,1948,,,,,,,,,国広陽子,社会学者,,,,,
女性学（日本）,1948,,,,,,,,,鳥居千代香,インド・イスラームの女性学,,,,,
女性学（日本）,1949,,,,,,,,,鈴木裕子,女性史研究家、慰安婦問題,,,,,
女性学（世界）,1949,,,,,,,,,アイリス・マリオンヤング（アメリカ）,,,,,,
女性学（世界）,1950,,,,,,,,,セイラ・ベンハビブ（トルコ）,,,,,,
美術評論家（日本）,1950,,,,,,,,,岡部あおみ,,,,,,
女性学（日本）,1952,,,,,,,,,江原由美子,,,,,,
女性学（日本）,1952,,,,,,,,,小倉千加子,,,,,,
女性学（世界）,1952,,,,,,,,,ベル・フックス,,,,,,
美術評論家（日本）,1955,,,,,,,,,小勝禮子,,,,,,
女性学（世界）,1955,,,,,,,,,チャンドラー・タルパデー（インド）,,,,,,
女性学（日本）,1956,,,,,,,,,北原恵,美術史学者、ジェンダー研究者,,,,,
美術評論家（日本）,1957,,,,,,,,,笠原美智子,,,,,,
女性学（日本）,1959,,,,,,,,,山下英愛,韓国女性学,,,,,
アーティスト,1959,,,,,,,,,嶋田美子,,,,,,
アーティスト,1967,,,,,,,,,やなぎみわ,,,,,,
女性学（日本）,1968,,,,,,,,,千田有紀,,,,,,
アーティスト,1970,,,,,,,,,岡田裕子,,,,,,
フェミニスト（日本）,1970,,,,,,,,,北原みのり,,,,,,
アーティスト,1972,,,,,,,,,塩田千春,,,,,,
アーティスト,1977,,,,,,,,,澤田知子,,,,,,
女性学（日本）,1985,,,,,,,,,井芹真紀子,フェミニズム・クィア理論、障害学,,,,,
フェミニスト（日本）,1987,,,,,,,,,石川優美,＃KuuToo,,,,,
フェミニスト（日本）,1989,,,,,,,,,伊藤詩織,ジャーナリスト　『ブラックボックス』,,,,,
フェミニスト（日本）,1990,,,,,,,,,石井リナ,BLAST（女性向けエンパワーメディア）代表,,,,,
出来事（世界）,1789,5,5,,1799,11,9,,,フランス革命,,,,,,
出来事（日本）,1869,,,,,,,,,"女性の関所自由通行可能化
津田真道（刑法官）が女子売買禁止の建白書を政府に提出",,,,,,
出来事（日本）,1871,,,,,,,,,岩倉使節団,津田梅子ら５人も派遣,,,,,
出来事（日本）,1872,,,,,,,,,芸娼妓解放令（人身売買禁止令）,マリアルス号事件がきっかけ,,,,,
出来事（日本）,1872,,,,,,,,,女学校ができる,,,,,,
出来事（日本）,1873,,,,,,,,,妻からの離婚訴訟可能化,,,,,,
出来事（日本）,1873,,,,,,,,,女子伝習所設立,,,,,,
出来事（日本）,1874,,,,,,,,,東京女子師範学校設立,,,,,,
出来事（日本）,1880,,,,,,,,,女性参政権が日本で初めて認められる,1878年楠瀬喜多の訴えにより高知県上町町会議において（戸主のみ）,,,,,
出来事（日本）,1885,,,,,,,,,文部大臣森有礼による「良妻賢母教育」こそ国是とすべきとの声明→「生徒教育法要項」を全国の女学校、女子高等学校に配布,,,,,,
