Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,(未実装) Image Credit,Type,(未実装) Color
上古,-6000,,,,-5500,,,,,黎明期,スィーラ降臨,,,,,
上古,-5500,,,,-5000,,,,,初期,最初の”言葉あるもの”フェルダノンが創造される,,,,,
上古,-5000,,,,-4500,,,,,中期,このころ、一部のフェルダノンが独自にマウ＝レに接触か？,,,,,
上古,,,,,,,,,,中期,エル＝フェルダノンの分化はじまる,,,,,
上古,-4500,,,,-4000,,,,,後期,スィーラ、フェルダノンの創造を禁呪とし、要請族と人間族を創造する。,,,,,
上古,,,,,,,,,,,,,,,,
中古,-4000,,,,-3500,,,,,黎明期,,,,,,
中古,-3500,,,,-3000,,,,,初期,,,,,,
中古,-3000,,,,-2500,,,,,中期,,,,,,
中古,-2500,,,,-2000,,,,,後期,,,,,,
新古,-2000,,,,-1500,,,,,黎明期,,,,,,
新古,-1500,,,,-1000,,,,,初期,,,,,,
新古,-1000,,,,-500,,,,,中期,,,,,,
新古,-500,,,,0,,,,,後期,,,,,,
イーヴォ歴,0,,,,now,,,,,ファラノウム建立,”頂の”エスティリオ、ファライゾンの創立王となる,,,,,
,0,,,,,,,,,「王の道」建設始まる,,,,,,
