Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
フロイト,1856,5,6,,1939,9,23,,,ジークムント・フロイト(Sigmund Freud),,,https://upload.wikimedia.org/wikipedia/commons/1/12/Sigmund_Freud_LIFE.jpg,,,blue
アドラー,1870,2,7,,1937,5,28,,,アルフレッド・アドラー（Alfred Adler）,,,https://upload.wikimedia.org/wikipedia/commons/3/33/AlfredAdler.jpg,,,
アドラー,1888,,,,1895,,,,,ウィーン大学医学部,,,,,,
アドラー,1897,,,,,,,,,ライザと結婚,,,,,,
アドラー,1902,,,,,,,,,フロイトと親交開始,,,,,,
アドラー,1907,,,,,,,,,処女作『器官劣等性の研究』,,,,,,
アドラー,1911,,,,,,,,,フロイトと別れる、個人心理学創始,,,,,,
アドラー,1935,,,,,,,,,アメリカ移住,,,,,,
ユング,1875,7,26,,1961,6,6,,,カール・グスタフ・ユング（Carl Gustav Jung）,,,"https://upload.wikimedia.org/wikipedia/commons/0/00/CGJung.jpg
",,,
ユング,1907,,,,,,,,,フロイトと親交開始,,,,,,
ユング,1914,,,,,,,,,フロイトと別れる,,,,,,
出来事,1770,,,,,,,,,産業革命始まる,,,,,,
出来事,1861,,,,,,,,,南北戦争,,,,,,
出来事,1870,,,,,,,,,帝国主義,,,,,,
出来事,1914,,,,1918,,,,,第一次世界大戦,,,,,,
出来事,1929,,,,,,,,,世界大恐慌,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
思想,1770,,,,1850,,,,,ドイツ観念論：カント、フィヒテ、シェリング、ヘーゲル,,,,,,
思想,1830,,,,now,,,,,実存主義：キルケゴール、ニーチェ,,,,,,
思想,1870,,,,now,,,,,プラグマティズム：パース、ジェイムズ、デューイ,,,,,,
思想,1880,,,,now,,,,,精神分析：フロイト、ユング、アドラー,,,,,,
