Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本語の出来事,1995,1,17,,,,,,,阪神淡路大震災,,,,,,
日本語の出来事,2011,3,11,,,,,,,東日本大震災,,,,,,
兵庫県（行政）,1999,,,,,,,,,外国人児童補助員事業開始,,,,,,
兵庫県（民間）,1997,4,,,,,,,,兵庫県県外教　設立,,,,,,
姫路市（行政）,2002,,,,,,,,,スタディーサポーター,,,,,,
姫路市（行政）,2001,,,,,,,,,姫路市国際交流センター設置,,,,,,
兵庫県（民間）,1997,7,27,,,,,,,兵庫日本語ボランティアネットワーク設立,,,,,,
小学校,1989,,,,now,,,,,W小学校、日本語指導の加配教員を設置,,,,,,
小学校,1992,,,,now,,,,,Y小、日本語指導の加配教員を設置,,,,,,
小学校,1995,4,,,now,,,,,X小、日本語指導加配教員,,,,,,
小学校,1995,,,,now,,,,,X小学校特設学級「ヴァンヴェ（バンべ）学級」開始,,,,,,
小学校,1998,3,,,,,,,,X小「ヴァンヴェ親の会」開始,,,,,,
小学校,1998,7,,,now,,,,,X小　ムーラン（獅子舞）の練習開始,,,,,,
,1999,,,,now,,,,,Y小　特設学級開始　ムーラン練習開始,,,,,,
中学校,2014,,,,now,,,,,X中学校にて放課後学習開始,,,,,,
補習教室,1999,10,,,now,,,,,子供たちのための補習教室開始（総合センターII）,,,,,,
HDU日本語ボランティア教室,1996,6,,,2004,3,,,,団地①集会所,,,,,,
HDU日本語ボランティア教室,1999,10,,,2002,3,,,,団地②集会所,,,,,,
HDU日本語ボランティア教室,2002,10,,,2015,3,,,,公民館（団地④付近）にて日本語教室を運営,,,,,,
日本語教室,1996,4,,,now,,,,,ハロー日本語（青年会館→国際交流センター）,,,,,,
日本語教室,1999,9,,,now,,,,,日本語教室「がんばろう日本語」開始（総合センターI）,,,,,,
日本語教室,2004,10,,,now,,,,,ベトナムin Himeji (市民センター）,,,,,,
日本語教室,2004,4,,,now,,,,,日本語サロン和日本語教室（団地③集会所）,,,,,,
日本語教室,2005,,,,now,,,,,NPO　姫路人権ネットワーク,,,,,,
ベトナム語教室,2007,,,,now,,,,,NPO　姫路人権ネットワーク,,,,,,
ネットワークの動き,2005,,,,now,,,,,ベトナム支援者懇話会,,,,,,
ネットワークの動き,2005,,,,now,,,,,日本語ベトナム語スピーチコンテスト（総合センターⅠ）,,,,,,
