Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
ゴジラシリーズ,1954,11,3,,,,,,,ゴジラ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1955,4,24,,,,,,,ゴジラの逆襲,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1962,8,11,,,,,,,キングコング対ゴジラ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1964,4,29,,,,,,,モスラ対ゴジラ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1964,12,20,,,,,,,三大怪獣 地球最大の決戦,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1965,12,19,,,,,,,怪獣大戦争,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1966,12,17,,,,,,,ゴジラ・エビラ・モスラ 南海の大決闘,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1967,12,16,,,,,,,怪獣島の決闘 ゴジラの息子,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1968,8,1,,,,,,,怪獣総進撃,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1969,12,20,,,,,,,ゴジラ・ミニラ・ガバラ オール怪獣大進撃,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1971,7,24,,,,,,,ゴジラ対ヘドラ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1972,3,12,,,,,,,地球攻撃命令 ゴジラ対ガイガン,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1973,3,17,,,,,,,ゴジラ対メガロ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1974,3,21,,,,,,,ゴジラ対メカゴジラ,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1975,3,15,,,,,,,メカゴジラの逆襲,昭和ゴジラシリーズ,,,,,
ゴジラシリーズ,1984,12,15,,,,,,,ゴジラ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1989,12,16,,,,,,,ゴジラvsビオランテ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1991,12,14,,,,,,,ゴジラvsキングギドラ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1992,12,12,,,,,,,ゴジラvsモスラ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1993,12,11,,,,,,,ゴジラvsメカゴジラ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1994,12,10,,,,,,,ゴジラvsスペースゴジラ,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1995,12,9,,,,,,,ゴジラvsデストロイア,平成ゴジラシリーズ（vsシリーズ）,,,,,
ゴジラシリーズ,1999,12,11,,,,,,,ゴジラ2000ミレニアム,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2000,12,16,,,,,,,ゴジラ×メガギラス G消滅作戦,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2001,12,15,,,,,,,ゴジラ・モスラ・キングギドラ 大怪獣総攻撃,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2002,12,14,,,,,,,ゴジラ×メカゴジラ,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2003,12,13,,,,,,,ゴジラ×モスラ×メカゴジラ 東京SOS,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2004,12,4,,,,,,,ゴジラ FINAL WARS,ミレニアムシリーズ,,,,,
ゴジラシリーズ,2016,7,29,,,,,,,シン・ゴジラ,2010年代,,,,,
ゴジラシリーズ,2017,11,17,,,,,,,GODZILLA 怪獣惑星,アニメ版,,,,,
ゴジラシリーズ,2018,5,18,,,,,,,GODZILLA 決戦機動増殖都市,アニメ版,,,,,
ゴジラシリーズ,2018,11,9,,,,,,,GODZILLA 星を喰う者,アニメ版,,,,,
ゴジラシリーズ,1998,5,19,,,,,,,GODZILLA,ハリウッド版,,,,,
ゴジラシリーズ,2014,5,16,,,,,,,Godzilla,モンスターバースシリーズ,,,,,
ゴジラシリーズ,2019,5,31,,,,,,,Godzilla: King of the Monsters,モンスターバースシリーズ,,,,,
ゴジラシリーズ,2020,5,22,,,,,,,Godzilla vs. Kong,モンスターバースシリーズ,,,,,
ガメラシリーズ,1965,11,27,,,,,,,大怪獣ガメラ,,,,,,
ガメラシリーズ,1966,4,17,,,,,,,大怪獣決闘 ガメラ対バルゴン,,,,,,
ガメラシリーズ,1967,3,15,,,,,,,大怪獣空中戦 ガメラ対ギャオス,,,,,,
ガメラシリーズ,1968,3,20,,,,,,,ガメラ対宇宙怪獣バイラス,,,,,,
ガメラシリーズ,1969,3,21,,,,,,,ガメラ対大悪獣ギロン,,,,,,
ガメラシリーズ,1970,3,21,,,,,,,ガメラ対大魔獣ジャイガー,,,,,,
ガメラシリーズ,1971,7,17,,,,,,,ガメラ対深海怪獣ジグラ,,,,,,
ガメラシリーズ,1980,3,20,,,,,,,宇宙怪獣ガメラ,,,,,,
ガメラシリーズ,1995,3,11,,,,,,,ガメラ 大怪獣空中決戦,平成ガメラ三部作,,,,,
ガメラシリーズ,1996,7,13,,,,,,,ガメラ2 レギオン襲来,平成ガメラ三部作,,,,,
ガメラシリーズ,1999,3,6,,,,,,,ガメラ3 邪神覚醒,平成ガメラ三部作,,,,,
ガメラシリーズ,2006,4,29,,,,,,,小さき勇者たち〜ガメラ〜,,,,,,
ウルトラシリーズ,1966,1,2,,1966,7,3,,,ウルトラQ,全28話（初回放送全27話）,,,,,
ウルトラシリーズ,1966,7,17,,1967,4,9,,,ウルトラマン,前夜祭＋全39話,,,,,
ウルトラシリーズ,1967,4,16,,1967,9,24,,,キャプテンウルトラ,全24話,,,,,
ウルトラシリーズ,1967,10,1,,1968,9,8,,,ウルトラセブン,全49話,,,,,
ウルトラシリーズ,1968,9,15,,1969,3,9,,,怪奇大作戦,全26話,,,,,
ウルトラシリーズ,1971,4,2,,1972,3,31,,,帰ってきたウルトラマン,全51話,,,,,
ウルトラシリーズ,1972,4,7,,1973,3,30,,,ウルトラマンA,全52話,,,,,
ウルトラシリーズ,1973,4,6,,1974,4,5,,,ウルトラマンタロウ,全53話,,,,,
ウルトラシリーズ,1974,4,12,,1975,3,28,,,ウルトラマンレオ,全51話,,,,,
ウルトラシリーズ,1979,4,4,,1980,3,26,,,ザ☆ウルトラマン,全50話 / アニメ作品,,,,,
ウルトラシリーズ,1980,4,2,,1981,3,25,,,ウルトラマン80,全50話,,,,,
ウルトラシリーズ,1986,4,16,,1986,11,19,,,ウルトラマンキッズのことわざ物語,,,,,,
ウルトラシリーズ,1991,11,17,,1992,5,24,,,ウルトラマンキッズ 母をたずねて3000万光年,,,,,,
ウルトラシリーズ,1991,12,23,,1992,1,4,,,ウルトラマンG,全13話。オーストラリアとの合作によるオリジナルビデオシリーズ。,,,,,
ウルトラシリーズ,1995,4,8,,1995,7,1,,,ウルトラマンパワード,全13話。アメリカとの合作によるオリジナルビデオシリーズ。,,,,,
ウルトラシリーズ,1994,3,21,,,,,,,ウルトラセブン 太陽エネルギー作戦,平成ウルトラセブン,,,,,
ウルトラシリーズ,1994,10,10,,,,,,,ウルトラセブン 地球星人の大地,平成ウルトラセブン,,,,,
ウルトラシリーズ,1996,9,7,,1997,8,30,,,ウルトラマンティガ,全52話,,,,,
ウルトラシリーズ,1997,9,6,,1998,8,29,,,ウルトラマンダイナ,全51話,,,,,
ウルトラシリーズ,1998,9,5,,1999,8,28,,,ウルトラマンガイア,全51話,,,,,
ウルトラシリーズ,2001,7,7,,2002,9,28,,,ウルトラマンコスモス,全65話 / 初回放送分は60話,,,,,
ウルトラシリーズ,2004,10,2,,2005,6,25,,,ウルトラマンネクサス,全37話 / ほか、extra1話,,,,,
ウルトラシリーズ,2005,7,2,,2006,4,1,,,ウルトラマンマックス,全39話 / ほか、総集編1回放送,,,,,
ウルトラシリーズ,2006,4,8,,2007,3,31,,,ウルトラマンメビウス,全50話,,,,,
ウルトラシリーズ,2007,12,1,,2008,2,23,,,ウルトラギャラクシー大怪獣バトル,全13話,,,,,
ウルトラシリーズ,2008,12,20,,2009,3,14,,,ウルトラギャラクシー大怪獣バトル NEVER ENDING ODYSSEY,全13話,,,,,
ウルトラシリーズ,2012,8,1,,2012,9,19,,,ウルトラゼロファイト(第1部),全23話,,,,,
ウルトラシリーズ,2012,12,12,,2013,3,27,,,ウルトラゼロファイト(第2部),全23話,,,,,
ウルトラシリーズ,2013,7,10,,2013,8,14,,,ウルトラマンギンガ(前期),全11話＋番外編1話,,,,,
ウルトラシリーズ,2013,11,20,,2013,12,18,,,ウルトラマンギンガ(後期),全11話＋番外編1話,,,,,
ウルトラシリーズ,2014,2,26,,,,,,,ウルトラマンギンガ(番外),全11話＋番外編1話,,,,,
ウルトラシリーズ,2013,9,18,,2013,10,16,,,大怪獣ラッシュ ウルトラフロンティア(1st),通算全18話,,,,,
ウルトラシリーズ,2014,1,15,,2014,2,5,,,大怪獣ラッシュ ウルトラフロンティア(1st),通算全18話,,,,,
ウルトラシリーズ,2014,6,24,,2014,7,8,,,大怪獣ラッシュ ウルトラフロンティア(2nd),通算全18話,,,,,
ウルトラシリーズ,2014,9,9,,2014,10,14,,,大怪獣ラッシュ ウルトラフロンティア(2nd),通算全18話,,,,,
ウルトラシリーズ,2014,7,15,,2014,9,2,,,ウルトラマンギンガS(前期),全16話,,,,,
ウルトラシリーズ,2014,11,4,,2014,12,23,,,ウルトラマンギンガS(後期),全16話,,,,,
ウルトラシリーズ,2015,3,31,,2015,6,23,,,ウルトラファイトビクトリー,全13話,,,,,
ウルトラシリーズ,2015,7,14,,2016,1,5,,,ウルトラマンX,全22話,,,,,
ウルトラシリーズ,2016,7,9,,2016,12,24,,,ウルトラマンオーブ,全25話,,,,,
ウルトラシリーズ,2017,1,7,,2017,6,24,,,ウルトラマンゼロ THE CHRONICLE,全25話,,,,,
ウルトラシリーズ,2017,4,15,,2017,6,3,,,ウルトラファイトオーブ 親子の力、おかりします！,全8話,,,,,
ウルトラシリーズ,2017,7,8,,2017,12,23,,,ウルトラマンジード,全25話,,,,,
ウルトラシリーズ,2018,1,6,,2018,6,30,,,ウルトラマンオーブ THE CHRONICLE,全26話,,,,,
ウルトラシリーズ,2018,7,7,,2018,12,22,,,ウルトラマンR/B,全25話,,,,,
ウルトラシリーズ,2019,1,5,,2019,6,29,,,ウルトラマン ニュージェネレーションクロニクル,全26話,,,,,
ウルトラシリーズ,2019,7,6,,now,now,now,,,ウルトラマンタイガ,,,,,,
ウルトラシリーズ,1993,7,21,,,,,,,ウルトラマンVS仮面ライダー,,,,,,
仮面ライダーシリーズ,1971,4,3,,1973,2,10,,,仮面ライダー,全98話,,,,,
仮面ライダーシリーズ,1973,2,17,,1974,2,9,,,仮面ライダーV3,全52話,,,,,
仮面ライダーシリーズ,1974,2,16,,1974,10,12,,,仮面ライダーX,全35話,,,,,
仮面ライダーシリーズ,1974,10,19,,1975,3,29,,,仮面ライダーアマゾン,全24話,,,,,
