Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
生没,2050,7,19,,2070,5,30,,,誠道マヤ,,,,,,
生没,2045,2,18,,,,,,,霧島兄弟誕生,,,,,,
生没,2046,8,31,,,,,,,クラウス=レッケブッシュ誕生,,,,,,
生没,2055,,,,,,,,,ハサン＝アル＝カリーム誕生,,,,,,
生没,2048,,,,,,,,,ハルナ＝クランニル誕生,,,,,,
生没,2056,,,,,,,,,式宮シラ誕生,,,,,,
生没,2017,,,,2060,,,,,基城トジン,,,,,,
生没,2041,,,,2070,,,,,エラ＝ユクラマ,,,,,,
生没,2043,,,,2070,,,,,テラ＝ユクラマ,,,,,,
生没,2020,,,,2068,,,,,結城シュウスイ,,,,,,
出来事,2060,,,,,,,,,極東支部外部居住区スラムギャング『GOD’s Fam』分裂,,,,,,
出来事,2069,8,,,,,,,,親アラガミ組織『Leon Ankh』根絶,,,,,,
出来事,2070,,,,,,,,,反フェンリル組織『Odin』崩壊,,,,,,
出来事,2070,6,17,,,,,,,極東支部防壁外居住区北西地域アラガミ襲撃,,,,,,
出来事,2070,6,17,,,,,,,極東支部外部居住区スラムギャング『SerpentesFrogger』壊滅,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事（人物）,2070,5,30,,,,,,,誠道マヤ　死亡,新型神機不適合により死亡,,,,,
日向ヒエイ,2053,10,14,,,,,,,誕生,,,,,,
日向ヒエイ,2071,1,,,,,,,,適合・入隊,,,,,,
暁月カエデ,2070,,,,,,,,,保護,,,,,,
暁月カエデ,2071,3,,,,,,,,適合・入隊,,,,,,
暁月カエデ,2053,10,25,,,,,,,誕生,,,,,,
栗鼓アイクレオ,2044,6,22,,,,,,,誕生,,,,,,
栗鼓アイクレオ,2070,5,30,,,,,,,適合・入隊,,,,,,
栗鼓アイクレオ,2070,6,25,,,,,,,第22部隊所属,,,,,,
栗鼓アイクレオ,2070,7,25,,,,,,,第22部隊長就任,,,,,,
栗鼓アイクレオ,2073,10,,,,,,,,退役,,,,,,
三宮ユカリ,2050,11,17,,,,,,,誕生,,,,,,
三宮ユカリ,2066,5,23,,,,,,,適合・入隊,,,,,,
三宮ユカリ,2066,6,16,,,,,,,第13部隊偵察兵就任,,,,,,
三宮ユカリ,2067,1,,,,,,,,第22部隊偵察兵就任,,,,,,
三宮ユカリ,2069,,,,,,,,,第22部隊長就任,,,,,,
公式,2046,,,,,,,,,オラクル細胞発見,,,,,,
公式,2050,,,,,,,,,アラガミ大量発生,,,,,,
公式,2071,4,,,,,,,,アーク計画阻止,,,,,,
公式,2074,,,,,,,,,赤い雨発生,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
公式,,,,,,,,,,,,,,,,
