Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
北京首都国際空港,1958,,,,,,,,,開港,,,,,,
北京首都国際空港,1958,,,,now,,,,,初期ターミナル（現VIP専用ターミナル）,,,,,,
北京首都国際空港,1980,,,,1999,,,,,ターミナル1（改装前）,,,,,,
北京首都国際空港,2004,,,,now,,,,,ターミナル1,,,,,,
北京首都国際空港,1999,,,,now,,,,,ターミナル2,,,,,,
北京首都国際空港,2008,,,,now,,,,,ターミナル3,ノーマン・フォスター設計,,,,,
北京首都国際空港,2008,,,,now,,,,,第3滑走路,,,,,,
北京首都国際空港,1958,,,,now,,,,,第1・2滑走路,,,,,,
中国での出来事,1949,,,,,,,,,中華人民共和国建国,,,,,,
中国での出来事,1988,,,,,,,,,6つの地区管理局ごとに航空会社が設立,,,,,,
中国での出来事,1978,,,,,,,,,改革開放政策,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
