group,year,month,day,time,title,detail,url,type,color,rowNumber,end_year,end_month,end_day,end_time,display_date,image_url,image_credit
日本の年号,1989,,,,平成,,,,,1,now,,,,,,
日本の年号,1926,,,,昭和,,,,,2,,,,,,,
日本の年号,1912,,,,大正,,,,,3,,,,,,,
日本の年号,1868,,,,明治,,,,,4,,,,,,,
日本の年号,1588,,,,江戸,,,,,5,,,,,,,
科学者,1745,2,18,,ボルタ,,,,,6,,,,,,,
科学者,1777,4,30,,ガウス,,,,,7,,,,,,,
科学者,1789,3,16,,オーム,,,,,8,,,,,,,
出来事,1660,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,,,9,,,,,,,
出来事,1746,,,,ライデン瓶,,,,,10,,,,,,,
出来事,1775,,,,ボルタの電気盆,,,,,11,,,,,,,
出来事,1752,,,,フランクリンの凧,,,,,12,,,,,,,
出来事,1789,,,,クーロンの法則,,,,,13,,,,,,,
出来事,1850,,,,ガウスの法則,,,,,14,,,,,,,
出来事,1850,,,,ウェーバの法則,,,,,15,,,,,,,
出来事,1791,,,,カルバーニの生物電気仮説,,,,,16,,,,,,,
出来事,1799,,,,ボルタの電池,,,,,17,,,,,,,
出来事,1836,,,,ダニエル電池,,,,,18,,,,,,,
出来事,1800,,,,カーライルの水の電気分解,,,,,19,,,,,,,
出来事,1821,,,,ゼーベック効果,,,,,20,,,,,,,
出来事,1834,,,,ペルチェ効果,,,,,21,,,,,,,
出来事,1826,,,,オームの法則,,,,,22,,,,,,,
出来事,1845,,,,キルヒホッフの法則,,,,,23,,,,,,,
出来事,1820,,,,エルステッドの発見,,,,,24,,,,,,,
