Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
情勢,2019,11,17,,2020,1,31,,,まとめ,ネットとマスメディア双方が「コロナ」の話題で埋め尽くされ、不正確な情報が大量に飛び交う「インフォデミック」状態に陥った。困窮状態にある消費者心理に付け込んだ、生活必需品の高額転売なども起きた。,,,,,
中国,2019,11,17,,,,,,,湖北省出身の55歳の男性が新型コロナウイルスの最初の症例であった可能性,湖北省出身の55歳の男性が新型コロナウイルスの最初の症例であった可能性があるが、中国当局はデータを公開しなかったとサウスチャイナ・モーニング・ポストが報じている,,,,,
中国,2019,12,8,,,,,,,報告（市内の保険機関）,中華人民共和国の湖北省武漢市の保健機関により、原因不明の肺炎患者が初めて報告。,,,,,
中国,2019,12,30,,,,,,,原因不明の肺炎について記載された公文書を勤務先の病院で発見した李文亮がWeChatに画像として投稿。,原因不明の肺炎について記載された公文書を勤務先の病院で発見した李文亮がWeChatに画像として投稿した。2020年1月7日、原因が新種のコロナウイルスと特定され。,,,,,
中国,2019,12,31,,,,,,,報告（世界保健機関（WHO）へ）,世界保健機関（WHO）への最初の報告が行われた。,,,,,
中国,2020,1,1,,,,,,,閉鎖（華南海鮮卸売市場）,華南海鮮卸売市場を閉鎖。,,,,,
中国,2020,1,20,,,,,,,ヒト-ヒト感染（中国：広東省）,広東省でのヒト - ヒト感染が確認されたことが発表。クルーズ客船「ダイヤモンドプリンセス号」が横浜港を出港。,,,,,
中国,2020,1,21,,,,,,,初感染（台湾）,台湾、アメリカ合衆国での感染者を確認。,,,,,
中国,2020,1,22,,,,,,,初感染（マカオ）,マカオでの感染者を確認。,,,,,
中国,2020,1,23,,,,,,,制限（武漢市）,武漢市が人の出入りの制限を始める。,,,,,
中国,2020,1,26,,,,,,,制限（広東省政府）,広東省政府は公共の場でのマスク着用を義務付け、違反者に対する罰則を導入。,,,,,
中国,2020,1,26,,,,,,,制限（北京市）,北京市政府が市境を超えるすべてのバスの運行を停止すると報じた。,,,,,
中国,2020,1,29,,,,,,,全土（感染確認）,中国全土で感染者が確認。,,,,,
中国,2020,2,2,,,,,,,マスク品薄（高額転売）,上海市当局などが国内の工場から買い上げたことで世界的にマスクが品薄に。高額転売で荒稼ぎを行う者も現れた。,,,,,
中国,2020,2,3,,,,,,,医療：火神山医院,火神山医院（かしんざんいいん）が感染。,,,,,
WHO,2019,12,31,,,,,,,報告（中国から）,世界保健機関（WHO）への最初の報告が行われた。,,,,,
WHO,2020,1,31,,,,,,,国際的に懸念される公衆衛生上の緊急事態,WHOが国際的に懸念される公衆衛生上の緊急事態を宣言。,,,,,
船（ダイヤモンドプリンス）,2020,1,20,,,,,,,クルーズ客船「ダイヤモンドプリンセス号」が横浜港を出港。,クルーズ客船「ダイヤモンドプリンセス号」が横浜港を出港。,,,,,
船（ダイヤモンドプリンス）,2020,1,25,,,,,,,クルーズ客船「ダイヤモンドプリンセス号」から香港人男性が下船。,,,,,,
船（ダイヤモンドプリンス）,2020,2,1,,,,,,,クルーズ客船「ダイヤモンドプリンセス号」から香港で1月25日に下船した香港人男性の感染を確認。,,,,,,
初感染,2020,1,13,,,,,,,初感染（タイ）,中国国外として初となる、タイでの感染者を確認。,,,,,
初感染,2020,1,16,,,,,,,初感染（日本）,日本での感染者を確認。,,,,,
初感染,2020,1,25,,,,,,,日本で武漢市在住の30代女性旅行者の感染を確認。,日本で武漢市在住の30代女性旅行者の感染を確認。,,,,,
初感染,2020,1,21,,,,,,,初感染（アメリカ合衆国）,台湾、アメリカ合衆国での感染者を確認。,,,,,
初感染,2020,1,24,,,,,,,初感染（ネパール）,ネパールでの感染者を確認。,,,,,
初感染,2020,1,25,,,,,,,初感染（マレーシア）,,,,,,
初感染,2020,1,25,,,,,,,初感染（フランス）,,,,,,
初感染,2020,1,25,,,,,,,初感染（オーストラリア）,,,,,,
初感染,2020,1,27,,,,,,,初感染（カンボジア）,カンボジア、スリランカ、ドイツ、カナダでの感染者を確認。,,,,,
初感染,2020,1,27,,,,,,,初感染（スリランカ）,カンボジア、スリランカ、ドイツ、カナダでの感染者を確認。,,,,,
初感染,2020,1,27,,,,,,,初感染（ドイツ）,カンボジア、スリランカ、ドイツ、カナダでの感染者を確認。,,,,,
初感染,2020,1,27,,,,,,,初感染（カナダ）,,,,,,
初感染,2020,1,29,,,,,,,初感染（アラブ首長国連邦）,アラブ首長国連邦、フィンランドでの感染者を確認。,,,,,
初感染,2020,1,29,,,,,,,初感染（フィンランド）,アラブ首長国連邦、フィンランドでの感染者を確認。,,,,,
初感染,2020,1,30,,,,,,,初感染（フィリピン）,フィリピン、インドの旗インド、イタリアの旗イタリアでの感染者を確認。,,,,,
初感染,2020,1,30,,,,,,,初感染（インド）,フィリピン、インドの旗インド、イタリアの旗イタリアでの感染者を確認。,,,,,
初感染,2020,1,30,,,,,,,初感染（イタリア）,フィリピン、インドの旗インド、イタリアの旗イタリアでの感染者を確認。,,,,,
初感染,2020,1,31,,,,,,,初感染（ロシア）,ロシア、スウェーデン、イギリス、スペインでの感染者を確認。,,,,,
初感染,2020,1,31,,,,,,,初感染（スウェーデン）,ロシア、スウェーデン、イギリス、スペインでの感染者を確認。,,,,,
初感染,2020,1,31,,,,,,,初感染（イギリス）,ロシア、スウェーデン、イギリス、スペインでの感染者を確認。,,,,,
初感染,2020,1,31,,,,,,,初感染（スペイン）,ロシア、スウェーデン、イギリス、スペインでの感染者を確認。,,,,,
初死亡,2020,2,2,,,,,,,初死亡（フィリピン）,フィリピンで中国国外初の死亡者が確認された。,,,,,
