Group,Year,End Year,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Film Theory,1879,1923,,Ricciotto Canudo,"未来主義・ダダイスム
「第七芸術宣言」（1911）
『イメージの工場』（1927）etc.
ピカソ、ラヴェル、ロダン、アポリネール、レジェ",,,,,
Film Theory,1884,1949,,◆Balázs Béla,"『可視的人間』（1924）
『映画の精神』（1930）
『映画の理論』（1949）
ルカーチ",,,,,
Film Theory,1889,1966,,Siegfried Kracauer,『カリガリからヒトラーまで』（1947）,,,,,
Film Theory,1890,1924,,◆Louis Delluc,"『シネマ・エ・コンパニー』（1919）
『フォトジェニー』（1920）etc.
映画雑誌『フィルム』／『シネア』編集。
寄稿者はコクトー、コレット、アポリネール、アントワーヌ／
デュラック、ガンス、レルビエ、エプスタン等
フォトジェニー論の先駆",,,,,
Film Theory,1890,1962,,Léon Moussinac,"『映画の誕生』（1925）
『ソヴィエトの映画』（1928）etc.
ソヴィエト映画界との交流",,,,,
Film Theory,1893,1953,,Vsevolod Pudovkin,『映画俳優論』（1934）,,,,,
Film Theory,1896,1954,,◆Dziga Vertov,"""kino-eye""",,,,,
Film Theory,1897,1953,,◆Jean Epstein,"シュルレアリスム
『ボンジュール・シネマ』（1921）
『エトナ山から見た映画』（1926）
『機械の知性』（1946）
『悪魔の映画』（1947）
『映画の精神』（1955）etc.",,,,,
Film Theory,1898,1948,,◆Sergei Eisenstein,"「アトラクションのモンタージュ」（1923）
『無関心な自然ではなく』（1946）etc.",,,,,
Film Theory,1899,1970,,◆Lev Kuleshov,クレショフ効果の実験（1922）,,,,,
Film Theory,1907,1980,,◆Gilbert Cohen-Seat,『映画哲学の諸原理に関する試論』（1958）etc.,,,,,
Film Theory,1907,1988,,◆Jean Mitry,『映画における美学と心理学』（1963-65）etc.,,,,,
Film Theory,1918,1996,,Guido Aristarco,『映画理論史』（1960）,,,,,
Film Theory,1918,1958,,André Bazin,"「カイエ・デュ・シネマ」編集
『映画とは何か』（1958-1962）
「写真イマージュの存在論」（1945）etc.",,,,,
Film Theory,1923,2016,,◆Alexandre Astruc,「カメラ＝万年筆 新しき前衛の誕生」（1948）etc.,,,,,
Film Theory,1931,1993,,Christian Metz,"『映画における意味作用に関する試論Ⅰ』（1968）
『映画と精神分析 ― 想像的シニフィアン』（1977）etc.",,,,,
Film Theory,1938,now,,◆Peter Wollen,『映画における記号と意味』（1969-72）etc.,,,,,
Film Theory,1941,now,,◆Jean-Louis Comolli,「技術とイデオロギー」（1971）,,,,,
Silent,1895,,,『工場の出口』『ラ・シオタ駅への列車の到着』,"Louis Jean Lumière
世界最初の映画",,,,,
Silent,1902,,,『月世界旅行』,"Georges Méliès
ファンタジー映画の古典",,,,,
Silent,1903,,,『大列車強盗』,"Edwin Stanton Porter
最初の西部劇",,,,,
Silent,1915,,,『國民の創生』,"David Wark Griffith
映画技法の確立・普及",,,,,
Silent,1915,,,『チート』,"Cecil Blount DeMille
早川雪舟の出世作",,,,,
Silent,1916,,,『イントレランス』,"David Wark Griffith
大戦前アメリカ映画最大の古典",,,,,
Silent,1920,,,『カリガリ博士』,"Robert Wiene
表現主義映画の代表作",,,,,
Silent,1921,,,『キッド』,"Charlie Chaplin
チャップリン初の長編映画",,,,,
Silent,1922,,,『吸血鬼ノスフェラトゥ』,"Friedrich Wilhelm Murnau
ヴァンパイア・ホラーの元祖",,,,,
Silent,1922,,,『ドクトル・マブセ』,"Fritz Lang
犯罪映画の古典",,,,,
Silent,1923,,,『鉄路の白薔薇』,"Abel Gance
「リズム論」の実践例と目される",,,,,
Silent,1924,,,『グリード』,Erich von Stroheim（脚本）,,,,,
Silent,1925,,,『戦艦ポチョムキン』,"Sergei Eisenstein
サイレント期ソヴィエト映画の代表作",,,,,
Talkie,1927,,,『ジャズ・シンガー』,"Alan Crosland
世界初の長編トーキー映画とされる",,,,,
Silent,1928,,,『裁かるるジャンヌ』,Carl Theodor Dreyer,,,,,
Talkie,1930,,,『パリの屋根の下』,"René Clair
詩的レアリスムの出発点",,,,,
Talkie,1944,,,『イワン雷帝』,Sergei Eienstein,,,,,
Philosophy,1839,1914,,Charles Sanders Peirce,「新しいカテゴリー表について」（1867）etc.,,,,,
Philosophy,1859,1938,,Edmund Husserl,"『イデーンⅠ』（1913）
『ヨーロッパ諸学の危機と超越論的現象学』（1935-）etc.",,,,,
Philosophy,1859,1941,,Henri Bergson,"『創造的進化』（1907）
「ベルクソン、映画を語る」（1914）etc.",,,,,
Philosophy,1863,1916,,Hugo Münsterberg,『劇映画』（1916）,,,,,
Philosophy,1874,1945,,Ernst Cassirer,『シンボル形式の哲学』（1923）etc.,,,,,
Philosophy,1884,1962,,Gaston Bachelard,"『瞬間の直感』（1932）
『空間の詩学』（1957）
『夢想の詩学』（1960）",,,,,
Philosophy,1885,1971,,György Lukács,"「映画美学に関する覚書」（1913）
『美的なものの固有性』（1963）etc.",,,,,
Philosophy,1892,1940,,Walter Benjamin,"『写真小史』（1931）
『複製技術時代の芸術』（1936）etc.",,,,,
Philosophy,1905,1980,,◇Jean-Paul Sartre,"「映画の擁護」（1924）
「顔」（1939）
『想像力の問題』（1940）etc.",,,,,
Philosophy,1908,1961,,Maurice Merleau-Ponty,"『知覚の現象学』（1945）
『意味と無意味』（1948）
「映画と新しい心理学」
『目と精神』（1961）
『見えるものと見えないもの』（1964）etc.",,,,,
Philosophy,1921,now,,◆Edgar Morin,"『映画　想像的人間』（1956）
『スター』（1957）",,,,,
Philosophy,1925,1995,,Gilles Deleuze,"『差異と反復』（1968）
『意味の論理学』（1969）
『シネマ』（1983-85）etc.",,,,,
Philosophy,1926,1984,,Michel Foucault,"『言葉と物』（1966）
『これはパイプではない』（1973）etc.",,,,,
Philosophy,1929,2007,,Jean Baudrillard,"『消費社会の神話と構造』（1970年）
『象徴交換と死』（1976年）
『シミュラークルとシミュレーション』（1981年)",,,,,
Linguistics,1857,1913,,Ferdinand de Saussure,『一般言語学講義』（1916）etc.,,,,,
Linguistics,1886,1959,,Boris Eikhenbaum,"ロシア・フォルマリズム
「映画文体論の諸問題」（1927）etc.",,,,,
Linguistics,1893,1984,,Viktor Shklovsky,"ロシア・フォルマリズム
「言葉の復活」（1914）
「手法としての芸術」（1917）etc.",,,,,
Linguistics,1896,1982,,Roman Jakobson,"ロシア・フォルマリズム／モスクワ言語サークル／プラハ言語学派
「最も新しいロシア詩」（1919）
「芸術におけるリアリズムについて」（1921）
「言語の二つの面と失語症の二つのタイプ」（1956）
「言語本質の探求」（1962）etc.",,,,,
Linguistics,1902,1976,,Émile Benveniste,"『一般言語学の諸問題』（1966）
「言語の意味論」（1969）",,,,,
Linguistics,1915,1980,,Roland Barthes,"『神話作用』（1957）
etc.
『明るい部屋』（1980）",,,,,
Linguistics,1941,now,,Julia Kristeva,"『セメイオティケー』（1969）
『詩的言語の革命』（1974）
『恐怖の権力』（1982）",,,,,
Aesthetics,1892,1968,,Erwin Panofsky,"「象徴形式としての遠近法」（1927）
「映画における様式と媒体」（1936）
『イコノロジー研究』（1939）etc.",,,,,
Aesthetics,1904,2007,,Rudolph Arnheim,"『芸術としての映画』（1932）
『美術と視覚』（1954）etc.",,,,,
Aesthetics,1909,2001,,Ernst Gombrich,"『美術の歩み』（1950）
『芸術と幻影』（1960）etc.",,,,,
Literature,1821,1867,,Charles Baudelaire,"象徴主義
『1846年のサロン』（1846）
『悪の華』（1857）「万物照応」etc.",,,,,
Literature,1842,1898,,Stéphane Mallarmé,"象徴主義
「火曜会」主催。",,,,,
Literature,1854,1891,,Arthur Rimbaud,"象徴主義
「見者の手紙」（1871）etc.",,,,,
Literature,1856,1910,,Jean Moréas,"象徴主義
「象徴主義宣言 Le Symbolism」（1886）",,,,,
Literature,1868,1955,,Paul Claudel,"『オランダ絵画序説』（1935）
『眼は聴く』（1946）etc.",,,,,
Literature,1871,1945,,Paul Valéry,"象徴主義
ルノワール、ドガらとの交流。火曜会出席者",,,,,
Literature,1876,1944,,◇Filippo Tommaso Marinetti,"未来主義
『未来主義宣言』（1909）
ベルクソンへの傾倒、フランス象徴主義の紹介者",,,,,
Literature,1889,1963,,◆Jean Cocteau,"詩人。小説、劇作、評論の他、映画監督・脚本も手掛ける。
プルースト、ニジンスキー、ストラヴィンスキー、ピカソ、モディリアー二",,,,,
Literature,1896,1948,,◇Antonin Artaud,"シュルレアリスム
俳優・脚本の他、映画論多数",,,,,
Literature,1896,1963,,Tristan Tzara,ダダイズム,,,,,
Literature,1896,1966,,André Breton,『シュルレアリスム宣言』（1924）etc.,,,,,
Literature,1898,1956,,◇Bertolt Brecht,"「新しい俳優術に関する短い記述」（written1940, published1951）",,,,,
Literature,1901,1973,,◇André Malraux,「映画心理学の素描」（1939-）,,,,,
Literature,1907,2003,,Maurice Blanchot,"『踏みはずし』（1943）
『文学空間』（1955）
『来るべき書物』（1959）",,,,,
Art,1882,1916,,Umberto Boccioni,"未来主義・彫刻家
『空間における連続性の唯一の形態』",,,,,
Art,1890,1960,,◆Anton Giulio Bragaglia,"未来主義（後に放逐）・写真家
フォト・ディナミカ",,,,,
