Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1926,,,,1989,1,7,,,昭和,,,,,background,red
日本の年号,1912,,,,1926,,,,,大正,,,,,background,pink
国際,1921,,,,,,,,,ワシントン海軍軍縮条約,,,,,,
国際,1930,,,,,,,,,ロンドン海軍軍縮会議,,,,,,
国際,1937,7,7,,1945,,,,,日中戦争,,,,,,
国際,1939,8,23,,,,,,,独ソ不可侵条約,平沼騏一郎,,,,point,
国際,1940,9,27,,,,,,,日独伊三国同盟,松岡洋右,,,,point,
満州,1928,6,4,,,,,,,張作霖爆殺事件,河本大作,,,,,
満州,1931,9,18,,,,,,,満州事変（柳条湖事件）,"板垣征四郎, 石原莞爾",,,,,
満州,1937,7,7,,,,,,,盧溝橋事件,,,,,,
政党,1900,9,15,,1940,7,,,,立憲政友会,"伊藤博文, 近衛文麿, 田中義一, 犬養毅",,,,range,
政党,1940,10,12,,1945,6,13,,,大政翼賛会,近衛文麿,,,,range,
国内 右より,1931,3,,,,,,,,三月事件,桜会：橋本欣五郎,,,,,
国内 右より,1931,10,,,,,,,,十月事件,桜会：橋本欣五郎,,,,,
国内 右より,1932,2,,,1932,3,,,,血盟団事件,"被害者：団琢磨, 井上準之助",,,,,
国内 右より,1932,5,15,,,,,,,五・一五事件,被害者：犬養毅,,,,,
国内 右より,1933,7,11,,,,,,,神兵隊事件,,,,,,
国内 右より,1934,11,20,,,,,,,陸軍士官学校事件,,,,,,
国内 右より,1935,8,12,,,,,,,相沢事件,被害者：永田鉄山,,,,,
国内 右より,1936,2,26,,,,,,,二・二六事件,,,,,,
国内 左より,1928,3,15,,,,,,,三・一五事件,,,,,,yellow
国内 左より,1929,4,16,,,,,,,四・一六事件,,,,,,yellow
国内 左より,1926,12,,,1929,4,,,,第二次共産党,,,,,range,yellow
国内 左より,1929,7,,,1930,7,,,,武装共産党,田中清玄,,,,range,yellow
国内 左より,1931,6,,,1932,12,,,,非常時共産党,スパイM,,,,range,yellow
