Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1615,,,,1868,,,,,江戸,,,,,,
日本の年号,1573,,,,1615,,,,,安土桃山,,,,,,
日本の年号,1390,,,,1573,,,,,室町,,,,,,
日本の年号,1329,,,,1389,,,,,南朝,,,,,,
日本の年号,1182,,,,1333,,,,,鎌倉,,,,,,
日本の年号,782,,,,1181,,,,,平安,,,,,,
日本の年号,708,,,,781,,,,,奈良,,,,,,
日本の年号,645,,,,707,,,,,飛鳥,,,,,,
日本の年号,350,,,,700,,,,,古墳,,,,,,
日本の年号,-900,,,,400,,,,,弥生,,,,,,
世界の歴史,-3000,,,,-30,,,,-1600,古代エジプト,,,,,,
世界の歴史,-3000,,,,-539,,,,,バビロニア,,,,,,
世界の歴史,-539,,,,-331,,,,,メディア・ペルシャ,,,,,,
人物,-4026,,,,-3096,,,,,アダム,,,,,,
人物,-3339,,,,-2370,,,,,メトセラ,,,,,,
人物,-2970,,,,-2020,,,,,ノア,,,,,,
人物,-1593,,,,-1470,,,,,モーセ,,,,,,
人物,-1858,,,,-1711,,,,,ヤコブ,,,,,,
人物,-1107,,,,-1037,,,,,ダビデ,,,,,,
人物,1495,,,,1536,10,6,,,ウィリアム・テンダル,,,,,,
人物,1852,2,16,,1916,10,31,,,C.T.ラッセル,,,,,,
人物,1869,11,8,,1942,1,8,,,J.F.ラザフォード,,,,,,
人物,1905,,,,1977,,,,,N.H.ノア,,,,,,
人物,1893,,,,1993,,,,,,,,,,,
出来事,1943,2,1,,,,,,,ギレアデ学校創設,校長はN・H・ノア,,https://assetsnffrgf-a.akamaihd.net/assets/m/702012014/univ/art/702012014_univ_lsr_xl.jpg,,,
出来事,1879,7,,,,,,,,ものみの塔創刊,,,,,,
出来事,-607,,,,,,,,,エルサレムの滅び。諸国民の定められた時の開始,,,,,,
出来事,-537,,,,,,,,,エルサレムの70年の滅びの終了,,,,,,
出来事,1922,3,1,,,,,,,ものみの塔NYブルックリン移転,,,,,,
出来事,1931,7,26,,,,,,,エホバの証人の名称の採用,,,,,,
出来事,1935,,,,,,,,,大群衆が集め始められる,,,,,,
出来事,2014,10,6,,now,,,,,JW Broadcasting開始,,,,,,
世界の出来事,1914,,,,1918,,,,,第一次世界大戦,,,,,,
世界の出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
ユダの王,-997,,,,-980,,,,,レハベアム,,,,,,
ユダの王,-980,,,,-978,,,,,アビヤ,,,,,,
ユダの王,-978,,,,-937,,,,,アサ,,,,,,
ユダの王,-937,,,,-913,,,,,エホシャファト,,,,,,
ユダの王,-913,,,,-906,,,,,エホラム,,,,,,
ユダの王,-906,,,,-905,,,,,アハジヤ,,,,,,
ユダの王,-905,,,,-898,,,,,アタリヤ,,,,,,
ユダの王,-898,,,,-858,,,,,エホアシュ,,,,,,
ユダの王,-858,,,,-829,,,,,アマジヤ,,,,,,
ユダの王,-829,,,,-777,,,,,ウジヤ（アザリヤ）,,,,,,
