Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
歴史家,1834,1,10,,1902,6,19,,,アクトン,,,,,,
歴史家,1890,2,27,,1979,2,6,,,サー・ジョージ・クラーク,,,,,,
神学者,1838,11,4,,1912,2,9,,,フェアベアン,,,,,,
歴史家,1846,10,5,,1929,4,5,,,ガスクェット,,,,,,
ジャーナリスト,1846,10,26,,1932,1,1,,,C.P.スコット,,,,,,
古典学者,1859,3,26,,1936,4,30,,,ハウスマン,,,,,,
社会学者,1902,12,13,,1979,5,8,,,タルコット・パーソンズ,,,,,,
歴史家,1900,,,,1975,,,,,キトソン・クラーク,,,,,,
歴史家,1861,10,16,,1927,6,1,,,ビュリ,,,,,,
歴史家,1908,5,10,,1984,12,26,,,バラクルー（バラクロウ）,,,,,,
伝記作家,1880,3,1,,1932,1,21,,,リットン・ストレーチ,,,,,,
歴史学者,1799,2,28,,1890,1,14,,,デリンガー,,,,,,
外交官,1872,11,24,,1936,7,7,,,チチェリン,,,,,,
歴史家,1818,5,25,,1897,8,8,,,ブルクハルト,,,,,,
歴史家,1900,10,7,,1979,7,20,,,バターフィールド,,,,,,
歴史家,1903,12,4,,1997,10,3,,,A.L.ローズ,,,,,,
哲学者,1866,2,25,,1952,11,20,,,クローチェ,,,,,,
歴史家,1873,9,7,,1945,4,10,,,カール・ベッカー,,,,,,
歴史家,1889,2,22,,1943,1,9,,,コリングウッド,,,,,,
歴史家,1892,6,28,,1982,11,3,,,E.H.カー,,,,,,
