Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1893,,,,,,,,,born,,,,,,
,1955,,,,,,,,,died,,,,,,
,1941,,,,,,,,,『日本国土計画論』『防空日本の構成』『都市計画および国土計画』,,,,,,
,1941,,,,1945,,,,,Pacific War,,,,,range,
,1942,,,,,,,,,part-time lecturer,waseda university and tokyo university,,,,,
,1945,,,,,,,,,the war reconstruction plan for Tokyo,,,,,,
,1946,,,,,,,,,歌舞伎町誕生,,,,,,
,1949,,,,,,,,,Doctor of Engineering,,,,,,
,1951,,,,,,,,,professor of waseda university,,,,,,
,1951,,,,,,,,,The City Plannnig Institute of Japan,,,,,,
,1932,,,,,,,,,『都市動態の研究』,,,,,,
,1951,,,,,,,,,『都市美と広告』,,,,,,
,1957,,,,,,,,,『都市計画及国土計画－その構想と技術』改定版,,,,,,
