Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
スペイン,1500,,,,1561,,,,,ルイス・ミラン,,,,,,
スペイン,1490,,,,1547,,,,,ナルバエス,,,,,,
スペイン,1784,,,,1849,,,,,ディオニシオ アグアド,,,,,,
スペイン,1832,,,,1882,,,,,フリアン アルカス,,,,,,
スペイン,1852,,,,1909,,,,,フランシスコ タレガ,,,,,,
スペイン,1860,,,,1909,,,,,イサーク アルベニス,,,,,,
スペイン,1867,,,,1916,,,,,エンリケ グラナドス,,,,,,
スペイン,1876,,,,1946,,,,,マヌエル デ ファリャ,,,,,,
スペイン,1878,,,,1938,,,,,ミゲル リョベート,,,,,,
スペイン,1882,,,,1949,,,,,ホアキン トゥリーナ,,,,,,
スペイン,1901,,,,1999,,,,,ホアキン ロドリーゴ,,,,,,
スペイン,1902,,,,1936,,,,,アントニオ ホセ,,,,,,
スペイン,1908,,,,1979,,,,,ビセンテ アセンシオ,,,,,,
スペイン,1934,,,,1997,,,,,ルイス ピポー,,,,,,
スペイン,1893,,,,1987,,,,,アンドレス セゴビア,,,,,,
スペイン,1879,,,,1966,,,,,ガスパール カサド,,,,,,
スペイン,1805,,,,1883,,,,,ナポレオン コスト,,,,,,
スペイン,1891,,,,1982,,,,,トローバ,,,,,,
スペイン,1886,,,,1980,,,,,エミリオ プジョール,,,,,,
スペイン,1490,,,,1547,,,,,ナルバエス,,,,,,
スペイン,1640,,,,1710,,,,,ガスパル サンス,,,,,,
スペイン,1500,,,,1561,,,,,ルイス ミラン,,,,,,
スペイン,1896,,,,1981,,,,,レヒーノ サインス デラマーサ,,,,,,
フランス,1450,,,,1521,,,,,ジョスカン・デ・プレ,,,,,,
フランス,1650,,,,1725,,,,,ロベール ド ヴィゼー,,,,,,
フランス,1803,,,,1869,,,,,ベルリオーズ,,,,,,
フランス,1818,,,,1893,,,,,グノー,,,,,,
フランス,1822,,,,1890,,,,,フランク,,,,,,
フランス,1819,,,,1880,,,,,オッフェンバッハ,,,,,,
フランス,1841,,,,1894,,,,,シャブリエ,,,,,,
フランス,1838,,,,1875,,,,,ビゼー,,,,,,
フランス,1835,,,,1921,,,,,サン=サーンス,,,,,,
フランス,1845,,,,1924,,,,,フォーレ,,,,,,
フランス,1866,,,,1925,,,,,サティ,,,,,,
フランス,1875,,,,1937,,,,,ラヴェル,,,,,,
フランス,1862,,,,1918,,,,,ドビュッシー,,,,,,
フランス,1892,,,,1983,,,,,タイユフィール,,,,,,
フランス,1899,,,,1963,,,,,プーランク,,,,,,
フランス,1899,,,,1983,,,,,オーリック,,,,,,
フランス,1890,,,,1962,,,,,イベール,,,,,,
フランス,1892,,,,1974,,,,,ミヨー,,,,,,
フランス,1905,,,,1974,,,,,ジョリヴェ,,,,,,
フランス,1912,,,,1997,,,,,フランセ,,,,,,
フランス,1897,,,,1986,,,,,タンスマン,,,,,,
フランス,1924,,,,1967,,,,,プレスティ,,,,,,
イタリア,1525,,,,1594,,,,,パレストリーナ,,,,,,
イタリア,1895,,,,1968,,,,,テデスコ,,,,,,
イタリア,1743,,,,1804,,,,,ボッケリーニ,,,,,,
イタリア,1782,,,,1840,,,,,パガニーニ,,,,,,
イタリア,1685,,,,1757,,,,,スカルラッティ,,,,,,
イタリア,1797,,,,1848,,,,,ドニゼッティ,,,,,,
イタリア,1858,,,,1924,,,,,プッチーニ,,,,,,
イタリア,1801,,,,1935,,,,,ベッリーニ,,,,,,
イタリア,1925,,,,2003,,,,,ベリオ,,,,,,
イタリア,1632,,,,1687,,,,,リュリ,,,,,,
イタリア,1792,,,,1868,,,,,ロッシーニ,,,,,,
イタリア,1813,,,,1901,,,,,ヴェルディ,,,,,,
イタリア,1790,,,,1877,,,,,レニャーニ,,,,,,
イタリア,1781,,,,1829,,,,,ジュリアーニ,,,,,,
スイス,1823,,,,1872,,,,,レゴンディ,,,,,,
ドイツ,1770,,,,1827,,,,,ベートーベン,,,,,,
ドイツ,1685,,,,1750,,,,,バッハ,,,,,,
ドイツ,1810,,,,1856,,,,,ロベルト シューマン,,,,,,
ドイツ,1833,,,,1897,,,,,ブラームス,,,,,,
ドイツ,1809,,,,1847,,,,,メンデルスゾーン,,,,,,
ドイツ,1685,,,,1759,,,,,ヘンデル,,,,,,
ドイツ,1864,,,,1949,,,,,リヒャルト・シュトラウス,,,,,,
ドイツ,1895,,,,1963,,,,,ヒンデミット,,,,,,
ドイツ,1819,,,,1896,,,,,クララ シューマン,,,,,,
ドイツ,1653,,,,1706,,,,,パッヘルベル,,,,,,
ドイツ,1928,,,,2007,,,,,シュトックハウゼン,,,,,,
ドイツ,1687,,,,1750,,,,,ヴァイス,,,,,,
ドイツ,1681,,,,1767,,,,,テレマン,,,,,,
ドイツ,1813,,,,1883,,,,,ワーグナー,,,,,,
オーストリア,1797,,,,1828,,,,,シューベルト,,,,,,
オーストリア,1732,,,,1809,,,,,ハイドン,,,,,,
オーストリア,1824,,,,1896,,,,,ブルックナー,,,,,,
オーストリア,1874,,,,1951,,,,,シェーンベルク,,,,,,
オーストリア,1804,,,,1849,,,,,ヨハン シュトラウス1世,,,,,,
オーストリア,1885,,,,1935,,,,,ベルク,,,,,,
オーストリア,1781,,,,1858,,,,,ディアベリ,,,,,,
オーストリア,1756,,,,1791,,,,,モーツァルト,,,,,,
オーストリア,1825,,,,1899,,,,,ヨハン シュトラウス2世,,,,,,
オーストリア,1801,,,,1843,,,,,ヨーゼフ ランナー,,,,,,
オーストリア,1860,,,,1911,,,,,マーラー,,,,,,
オーストリア,1875,,,,1962,,,,,クライスラー,,,,,,
オーストリア,1806,,,,1856,,,,,メルツ,,,,,,
オーストリア,1811,,,,1886,,,,,フランツ リスト,,,,,,
フランス,1810,,,,1849,,,,,ショパン,,,,,,
メキシコ,1882,,,,1948,,,,,マヌエル ポンセ,,,,,,
ブラジル,1887,,,,1959,,,,,ヴィラ＝ロボス,,,,,,
ブラジル,1906,,,,1988,,,,,ニャタリ,,,,,,
パラグアイ,1885,,,,1944,,,,,バリオス,,,,,,
キューバ,1939,,,,,,,,,ブローウェル,,,,,,
ブラジル,1952,,,,,,,,,アサド,,,,,,
イギリス,1913,,,,1976,,,,,ブリテン,,,,,,
イギリス,1563,,,,1626,,,,,ジョン ダウランド,,,,,,
世界史,1309,,,,,,,,,バビロン捕囚,,,,,,
世界史,1333,,,,,,,,,アルハンブラ宮殿,,,,,,
世界史,1453,,,,,,,,,オスマントルコ、東ローマ帝国滅ぼす,,,,,,
世界史,1492,,,,,,,,,コロンブス 新大陸発見,,,,,,
世界史,1517,,,,,,,,,宗教改革,,,,,,
世界史,1600,,,,,,,,,イギリス 東インド会社設立,,,,,,
世界史,1643,,,,1715,,,,,ルイ14世,,,,,,
世界史,1680,,,,,,,,,ベルサイユ宮殿　完成,,,,,,
世界史,1701,,,,1713,,,,,スペイン継承戦争,,,,,,
世界史,1740,,,,1748,,,,,オーストリア継承戦争,,,,,,
世界史,1776,,,,,,,,,アメリカ　独立宣言,,,,,,
世界史,1789,,,,,,,,,フランス革命,,,,,,
世界史,1804,,,,,,,,,ナポレオン皇帝即位,,,,,,
世界史,1806,,,,,,,,,神聖ローマ帝国 滅亡,,,,,,
世界史,1853,,,,1856,,,,,クリミア戦争,,,,,,
世界史,1861,,,,1865,,,,,アメリカ南北戦争,,,,,,
世界史,1870,,,,,,,,,普仏戦争,,,,,,
世界史,1914,,,,1918,,,,,第一次世界大戦,,,,,,
世界史,1919,,,,,,,,,ベルサイユ条約,,,,,,
