Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
01-舞台,2003,12,30,,2004,1,5,,,テニスの王子様 Remarkable 1st Match 不動峰,ミュージカル『テニスの王子様』Remarkable 1st Match 不動峰12/30-1/1東京（ゆうぽうと簡易保険ホール）1/3-1/5大阪（メルパルクホール）,,,,,
01-舞台,2004,8,19,,2004,8,29,,,HUNTER×HUNTER,"リアルステージ HUNTER×HUNTER
シアターサンモール",,,,,
01-舞台,2004,6,13,,,,,,,テニスの王子様 Dream Live 1st,"ミュージカル『 テニスの王子様 』
 Dream Live 1st東京体育館",,,,,
01-舞台,2004,12,29,,2005,1,2,,,テニスの王子様 in winter 2004-2005 side 不動峰～special match～,"ミュージカル 『テニスの王子様』 in winter 2004-2005 side 不動峰～special match～
東京芸術劇場中ホール",,,,,
01-舞台,2007,12,7,,2007,12,16,,,The Light in the Piazza,ル テアトル銀座,,,,,
01-舞台,2007,6,8,,2007,10,24,,,レ・ミゼラブル,6/8-8/27東京（帝国劇場）、9/4-10/24福岡（博多座）,,,,,
01-舞台,2008,11,16,,2008,11,24,,,歌謡シアター『ラムネ』～夢の途中編～,あうるすぽっと,,,,,
01-舞台,2008,3,13,,2008,3,23,,,歌謡シアター「ラムネ」～木綿のハンカチーフ編～,新宿FACE,,,,,
01-舞台,2009,9,1,,2009,9,29,,,ジェーン・エア,日生劇場,,,,,
01-舞台,2009,5,24,,2009,6,29,,,江戸の青空 〜Keep on Shackin'〜,5/24-/6/7東京（世田谷パブリックシアター）、6/11広島（アステールプラザ大ホール）、6/12-6/14福岡（北九州芸術劇場 中劇場）、6/19-6/21大阪（梅田芸術劇場 シアター･ドラマシティ）、6/22名古屋（愛知県勤労会館）、6/24-6/25札幌（札幌市教育文化会館）、6/27新潟（りゅーとぴあ・劇場）、6/29仙台（イズミティ21大ホール）,,,,,
01-舞台,2009,3,3,,2009,3,29,,,レ・ミゼラブル（名古屋）,中日劇場,,,,,
01-舞台,2009,10,6,,2009,11,20,,,レ・ミゼラブル（東京）,帝国劇場,,,,,
01-舞台,2010,10,3,,2010,10,27,,,カエサル,"カエサル―「ローマ人の物語」より―
日生劇場",,,,,
01-舞台,2010,4,7,,2010,4,25,,,戯伝写楽,4/7-4/17東京（青山劇場）、4/24-4/25大阪（シアターBRAVA!）,,,,,
01-舞台,2011,10,21,,2011,11,6,,,眠れぬ雪獅子,10/21-10/30東京（世田谷パブリックシアター）、11/1富山（富山県民会館 大ホール）、11/5-11/6兵庫（兵庫県立芸術文化センター阪急中ホール,,,,,
01-舞台,2011,8,20,,2011,9,18,,,ドラキュラ,"DRACULA -ドラキュラ-
8/20-9/11東京（東京国際フォーラムC）、9/15-9/18大阪（梅田芸術劇場メインホール）",,,,,
01-舞台,2011,6,4,,2011,6,30,,,風を結んで 再演,6/4-6/9東京（シアタークリエ）、6/26名古屋（中日劇場）、6/28-6/30大阪（イオン化粧品 シアターBRAVA!,,,,,
01-舞台,2011,2,16,,2011,3,6,,,黄金仮面,2/16-2/20東京（全労済ホール／スペース・ゼロ）、2/26-2/27金沢（北國新聞赤羽ホール）、3/5-3/6兵庫（神戸朝日ホール）,,,,,
01-舞台,2012,7,15,,2012,7,29,,,スリル・ミー,"良知真次×小西遼生
天王洲 銀河劇場",,,,,
01-舞台,2012,9,13,,,,,,,100歳の少年と12通の手紙,"小西遼生×杏子
東京グローブ座",,,,,
01-舞台,2012,12,27,,,,,,,100歳の少年と12通の手紙 アンコール公演,"小西遼生×柴田理恵
東京グローブ座",,,,,
01-舞台,2012,4,10,,2012,5,1,,,道化の瞳,4/10-4/24東京（シアタークリエ）、4/26愛知（愛知県芸術劇場）、4/28石川（金沢歌劇座）、4/30-5/1大阪（サンケイホールブリーゼ）,,,,,
01-舞台,2012,10,6,,2012,11,18,,,ジェーン・エア 再演,10/6-10/28東京（日生劇場）、11/2-11/18福岡（博多座）,,,,,
01-舞台,2013,9,6,,2013,10,6,,,Next To Normal,9/6-9/29東京（シアタークリエ）、10/4-10/6兵庫（兵庫県立芸術文化センター　阪急中ホール,,,,,
01-舞台,2013,3,14,,2013,3,24,,,スリル・ミー,"良知真次×小西遼生
天王洲 銀河劇場",,,,,
01-舞台,2013,1,16,,2013,2,24,,,ピアフ,1/16-2/13東京（シアタークリエ）、2/16-2/17福岡（キャナルシティ劇場）、2/22-2/24大阪（森ノ宮ピロティホール）,,,,,
01-舞台,2014,11,7,,2014,11,29,,,スリル・ミー,"松下洸平×小西遼生
11/7-11/24東京（天王洲 銀河劇場）、11/29大阪（サンケイホールブリーゼ）",,,,,
01-舞台,2014,8,15,,2014,8,30,,,ガラスの仮面,青山劇場,,,,,
01-舞台,2014,7,5,,2014,7,20,,,ブラック メリーポピンズ,"心理スリラーミュージカル ブラック メリーポピンズ
世田谷パブリックシアター",,,,,
01-舞台,2015,6,19,,2015,6,28,,,ア・フュー・グッドメン, 天王洲 銀河劇場,,,,,
01-舞台,2015,8,21,,2015,9,9,,,End of the RAINBOW,8/21-9/3東京（DDD青山クロスシアター）、9/9大阪（サンケイホールブリーゼ）,,,,,
01-舞台,2015,3,8,,2015,4,12,,,十二夜,3/8-3/30東京（日生劇場）、4/7大分（iichiko総合文化センター）、4/10-4/12大阪（梅田芸術劇場メインホール）,,,,,
