Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
国体,843,8,10,,962,2,2,,,東フランク王国,,,,,background,pink
国体,962,2,2,,1806,8,6,,,神聖ローマ帝国,,,,,background,black
ドイツ,919,,,,1024,,,,,ザクセン朝,,,,,background,black
ドイツ,1024,,,,1125,,,,,ザーリアー朝,,,,,background,black
ドイツ,1125,,,,1137,,,,,ザクセン朝,,,,,background,black
ドイツ,1138,,,,1208,,,,,ホーエンシュタウフェン朝,,,,,background,black
ドイツ,1215,,,,1254,,,,,ホーエンシュタウフェン朝,,,,,background,black
ドイツ,1254,,,,1273,,,,,大空位時代,,,,,background,white
ドイツ,1273,,,,1434,,,,,跳躍選挙,,,,,background,black
ドイツ,1438,,,,1740,,,,,ハプスブルク朝,,,,,background,yellow
ドイツ,1742,,,,1745,,,,,ヴィッテルスバッハ朝,,,,,background,black
ドイツ,1745,,,,1806,,,,,ハプスブルク・ロートリンゲン朝,,,,,background,yellow
ドイツ,1806,,,,1814,,,,,ライン同盟,,,,,range,yellow
ドイツ,1815,6,9,,1866,8,23,,,ドイツ連邦,,,,,range,brown
ドイツ,1867,,,,1870,,,,,北ドイツ連邦,,,,,range,black
ドイツ,1871,1,18,,1918,11,9,,,ドイツ帝国,,,,,range,black
ドイツ,919,,,,936,,,,,ハインリヒ1世,,,,,range,black
ドイツ,936,,,,973,,,,,オットー1世,,,,,range,black
ドイツ,973,,,,983,,,,,オットー2世,,,,,range,black
ドイツ,983,,,,1002,,,,,オットー3世,,,,,range,red
ドイツ,1002,,,,1024,,,,,ハインリヒ2世,,,,,range,red
ドイツ,1024,,,,1039,,,,,コンラート2世,,,,,range,red
ドイツ,1039,,,,1056,,,,,ハインリヒ3世,,,,,range,red
ドイツ,1056,,,,1106,,,,,ハインリヒ4世,,,,,range,red
ドイツ,1106,,,,1125,,,,,ハインリヒ5世,,,,,range,red
ドイツ,1125,,,,1137,,,,,ロタール3世,,,,,range,red
ドイツ,1152,,,,1190,,,,,フリードリヒ1世,,,,,range,red
ドイツ,1190,,,,1197,,,,,ハインリヒ6世,,,,,range,red
ドイツ,1198,,,,1208,,,,,フィリップ,,,,,range,black
ドイツ,1196,,,,1198,,,,,フリードリヒ2世,,,,,range,red
ドイツ,1215,,,,1250,,,,,フリードリヒ2世,,,,,range,red
ドイツ,1410,,,,1437,,,,,ジギスムント,,,,,range,red
ドイツ,1438,,,,1439,,,,,アルブレヒト2世,,,,,range,
ドイツ,1440,,,,1493,,,,,フリードリヒ3世,,,,,range,red
ドイツ,1493,,,,1519,,,,,マクシミリアン1世,,,,,range,blue
ドイツ,1519,,,,1556,,,,,カール5世,,,,,range,red
ドイツ,1556,,,,1564,,,,,フェルディナンド1世,,,,,range,blue
ドイツ,1564,,,,1576,,,,,マクシミリアン2世,,,,,range,blue
ドイツ,1742,,,,1745,,,,,カール7世,,,,,range,
ドイツ,1745,,,,1765,,,,,フランツ1世,,,,,range,
ドイツ,1765,,,,1790,,,,,ヨーゼフ2世,,,,,range,
ドイツ,1790,,,,1792,,,,,レオポルト2世,,,,,range,
ドイツ,1792,,,,1806,,,,,フランツ2世,,,,,range,blue
対立,1198,,,,1215,,,,,ヴェルフェン朝,,,,,background,black
対立,1198,,,,1215,,,,,オットー4世,,,,,range,red
オーストリア,1804,,,,1866,,,,,オーストリア帝国,,,,,background,brown
オーストリア,1867,,,,1918,,,,,オーストリア・ハンガリー帝国,,,,,background,brown
プロイセン,,,,,,,,,,,,,,,,
出来事,843,8,,,,,,,,ウェルダン条約,,,,,point,pink
出来事,870,,,,,,,,,メルセン条約,,,,,point,pink
出来事,1618,,,,1648,,,,-,三十年戦争,,,,,range,black
出来事,1740,,,,1748,,,,-,オーストリア継承戦争,,,,,range,black
出来事,1756,,,,1763,,,,-,七年戦争,,,,,range,black
出来事,1787,,,,1791,,,,-,墺土戦争,,,,,range,black
出来事,1866,6,7,,1866,8,23,,-,普墺戦争,,,,,range,black
出来事,1870,7,19,,1871,5,10,,-,普仏戦争,,,,,range,black
出来事,1648,10,24,,,,,,-,ウェストファリア条約,,,,,point,black
