Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
世の中の動向,1926,,,,1988,,,,,昭和,,,,,,
世の中の動向,2019,5,,,now,,,,,令和,,,,,,
世の中の動向,2015,,,,,,,,,団塊の世代が65歳以上の高齢者となる,,,,,,
世の中の動向,1973,,,,1974,,,,,第1次石油危機,社会保障制度や社会福祉制度の見直しや再編,,,,,
世の中の動向,1978,,,,1979,,,,,第2次石油危機,,,,,,
世の中の動向,1955,,,,1973,,,,,高度経済成長,,,,,,
世の中の動向,1956,,,,,,,,,経済白書「もはや戦後ではない」,,,,,,
世の中の動向,1989,,,,2019,4,,,,平成,,,,,,
児童福祉,1971,,,,,,,,,児童手当法,,,,,,
児童福祉,1947,,,,,,,,,児童福祉法,,,,,,
児童福祉,1964,,,,,,,,,母子福祉法（現、母子及び父子並びに寡婦福祉法）,「福祉六法体制」へ,,,,,
児童福祉,1961,,,,,,,,,生別母子家庭への児童扶養手当法,,,,,,
障害福祉,1949,,,,,,,,,身体障害者福祉法,,,,,,
障害福祉,1960,,,,,,,,,精神薄弱者福祉法（現、知的障害者福祉法）,,,,,,
障害福祉,1964,,,,,,,,,重度心身障害児家庭への特別児童扶養手当等の支給に関する法律,,,,,,
障害福祉,1967,,,,,,,,,身体障害者福祉法、知的障害者福祉法、児童福祉法の改正,重症心身障害児施設が制度化。障害者や高齢者の施設設置を促進する政策の展開。医療施設や社会福祉施設の著しい拡充。,,,,,
高齢福祉,1963,,,,,,,,,老人福祉法,,,,,,
高齢福祉,1973,,,,,,,,,老人医療費の無料化「福祉元年」,公費を前提とした医療保障が実現、健康保険加入者の7割給付が実現。高額療養費制度の創設。年金保険に関する物価スライド制の導入,,,,,
高齢福祉,1982,,,,,,,,,老人保険法,老人医療制度の見直し。高齢者本人の一部普段の導入。老人保険事業の創設。,,,,,
高齢福祉,1997,,,,,,,,,介護保険法,私的介護から社会的介護へ,,,,,
高齢福祉,2005,,,,,,,,,介護保険法　最初の見直し,,,,,,
高齢福祉,2011,,,,,,,,,介護保険法改正,地域包括ケアシステムの実現、定期巡回・随時対応サービスの創設、介護職員による医行為（たんの吸引や経管栄養など）,,,,,
高齢福祉,2014,,,,,,,,,介護保険法改正,地域包括ケアシステムの構築と費用負担の公平化,,,,,
高齢福祉,2014,,,,,,,,,医療介護総合確保推進法,地域における医療及び介護の総合的なかくほの推進,,,,,
高齢福祉,2018,,,,,,,,,介護医療院創設,,,,,,
その他の福祉,1950,,,,,,,,,生活保護法,,,,,,
その他の福祉,1946,,,,,,,,,旧生活保護法,,,,,,
その他の福祉,1951,,,,,,,,,社会福祉事業法,「福祉三法体制」の確立　,,,,,
その他の福祉,1989,,,,,,,,,ゴールドプラン策定,,,,,,
その他の福祉,1990,,,,,,,,,福祉関係八法の改正,,,,,,
その他の福祉,2000,,,,,,,,,社会福祉基礎構造改革,共助の精神の強調。福祉制度利用は措置から契約へ。日常生活自立支援事業の創設。成年後見制度の整備。,,,,,
その他の福祉,1975,,,,,,,,,福祉見直し論,,,,,,
その他の福祉,2012,,,,,,,,,社会保障・税一体改革大綱,社会保障制度の持続可能性の確保と機能強化を図る,,,,,
その他の福祉,2013,,,,,,,,,社会保障制度改革国民会議報告書,消費税率引き上げ、各分野の改革の方向性提示、「病院完結型」から「地域完結型」へ。,,,,,
