Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
薩維尼安,168,,,,,,,,,奧列格出生,,,,,,
薩維尼安,168,,,,,,,,,謝爾蓋出生,,,,,,
瑟琳尼,170,,,,,,,,,愛德華出生,,,,,,
瑟琳尼,173,,,,,,,,,賽西莉雅出生,,,,,,
薩維尼安,176,,,,,,,,,伊倫費爾德入宮,,,,,,
麗希維特,180,,,,,,,,,拉耶法出生,,,,,,
薩維尼安,181,,,,,,,,,約西亞出生,,,,,,
麗希維特,181,,,,,,,,,澤維爾出生,,,,,,
瑟琳尼,181,,,,,,,,,奧菲莉亞出生,,,,,,
瑟琳尼,183,,,,,,,,,薇奧莉亞出生,,,,,,
席珐,183,,,,,,,,,利奧波德出生,,,,,,
薩維尼安,184,,,,,,,,,菲利克斯出生,沃爾科夫家獨子,,https://images.plurk.com/7e55ZEWqYJTqnsL2bicX0o.jpg,,,
薩維尼安,184,,,,,,,,,思薇塔拉那出生,斯拉涅夫家長女,,,,,
瑟琳尼,184,,,,,,,,,法蘭茲出生,,,,,,
薩維尼安,187,,,,,,,,,謝爾蓋迎娶賽西莉亞,,,,,,
薩維尼安,188,,,,,,,,,米哈伊爾四世大婚,迎娶麗希維特的凡爾瓦公主,,,,,
瑟琳尼,188,,,,,,,,,？蘭卡入宮,被選為薇奧莉亞公主的侍女,,,,,
瑟琳尼,188,,,,,,,,,愛德華歸國,繼承威斯珶希納公爵爵位,,,,,
席珐,188,,,,,,,,,依萊莎出生,,,,,,
薩維尼安,188,,,,,,,,,奧蘿拉出生,,,,,,
薩維尼安,189,,,,,,,,,奧列格大婚,迎娶埃魁塔斯的海薇拉公主,,,,,
薩維尼安,190,,,,,,,,,米哈伊爾四世駕崩,奧列格繼位,,,,,
薩維尼安,190,,,,,,,,,漠北戰爭,伊倫費爾德孤軍戰死,,,,,
薩維尼安,190,,,,,,,,,阿琉薩出生,斯拉涅夫家長子,,,,,
薩維尼安,190,,,,,,,,,奧列格收養約西亞,,,,,,
薩維尼安,191,,,,,,,,,內亂,皇后海薇拉勾結多爾戈魯基東窗事發，埃魁塔斯受牽連被滅國，海薇拉因此而發瘋遭到軟禁,,,,,
薩維尼安,191,,,,,,,,,謝爾蓋襲爵,繼承季赫溫公爵爵位,,,,,
瑟琳尼,191,,,,201,,,,,法蘭茲於麗希維特留學,結識拉耶法和麗國新王,,,,,
薩維尼安,192,,,,,,,,,伊戈爾出生,,,,,,
薩維尼安,193,,,,,,,,,菲利未來老婆出生,,,,,,
薩維尼安,193,,,,,,,,,戴文出生,,,,,,
薩維尼安,195,,,,,,,,,菲利被普京收養,,,,,,
薩維尼安,196,,,,,,,,,瓦西里出生,,,,,,
薩維尼安,198,,,,,,,,,菲利跟阿莉西亞初次見面,,,,,,
薩維尼安,200,,,,,,,,,薇薇安加入槍兵部隊,,,,,,
瑟琳尼,201,8,17,,201,9,2,,,薩維尼安入侵,抗薩戰爭第十五天，主和派薇奧莉亞發動政變登基，立即與薩國簽訂終戰條約，瑟琳尼王國成為薩維尼安帝國之附屬,,,,,
瑟琳尼,201,9,1,,,,,,,薇奧莉亞公主發動政變，登基為女王,,,,,,
薩維尼安,201,9,15,,,,,,,約西亞領軍派駐至瑟琳尼王國,結識瑟琳尼女王薇奧莉亞,,,,,
薩維尼安,206,,,,,,,,,皇太子出生,,,,,,
席珐,206,,,,,,,,,李奧納多出生,,,,,,
,,,,,,,,,,沃爾科夫本家全滅,菲利克斯是唯一倖存者，由旁系收養,,,,,
薩維尼安,,,,,,,,,,,,,,,,
