Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
科学者,1664,2,24,,1729,8,5,,,トマス・ニューコメン,蒸気機関の発明,,,,,
科学者,1736,1,19,,1819,8,25,,,ジェームズ・ワット,初の蒸気機関の制作,,,,,
科学者,1728,,,,1808,7,14,,,ジョン・ウィルキンソン,中ぐり盤の開発,,,,,
科学者,1773,6,13,,1829,5,10,,,トーマス・ヤング,1802年「物理光学に関する実験と計算」,,,,,
出来事,1712,,,,,,,,,初の蒸気機関の制作,,,,,,
出来事,1769,,,,,,,,,新方式の蒸気機関の開発,,,,,,
出来事,1774,,,,,,,,,両軸支持中ぐり盤の開発,,,,,,
出来事,1780,,,,1880,,,,,産業革命,,,,,,
出来事,1854,7,,,,,,,,日本最初の近代高炉,薩摩藩,,,,,
出来事,1887,1,28,,1889,3,30,,,エッフェル塔建設開始,錬鉄製,,,,,
出来事,1950,,,,,,,,,八幡製鐵株式會社、富士製鐵株式會社発足,,,,,,
出来事,1957,6,29,,1958,12,23,,,東京タワー建設,軟鋼,,,,,
出来事,2008,7,14,,2012,2,29,,,スカイツリー建設,高張力鋼,,,,,
切削加工の歴史,1900,,,,,,,,,高速度鋼の発表（パリ万博）,,,,,,
切削加工の歴史,1913,,,,,,,,,日本最初の高速度鋼の製造成功,,,,,,
切削加工の歴史,1926,,,,,,,,,超硬合金が工具として工業化,独クルップ社「ウィディア」,,,,,
切削加工の歴史,1930,,,,,,,,,東芝「タンガロイ」,,,,,,
切削加工の歴史,1931,,,,,,,,,"三菱マテ「トリディア」,住友電気「井ゲタロイ」",,,,,,
切削加工の歴史,1978,,,,,,,,,PVDコーティングのハイス工具の実用化,,,,,,
切削加工の歴史,1979,,,,,,,,,PVDコーティングの超硬工具の実用化,,,,,,
その他,1906,9,,,,,,,,ジュラルミンの発見,独ウィルム,,,,,
その他,710,,,,,,,,,日本刀誕生,,,,,,
その他,-430,,,,-221,,,,,中国の戦国時代,中期から焼入れの技術が確認される,,,,,
CVDの歴史,1880,,,,,,,,,熱分解によるカーボン薄膜の形成,L.mond,,,,,
CVDの歴史,1890,,,,,,,,,Ni膜の作成,R.CChittick,,,,,
CVDの歴史,1969,,,,,,,,,シリコン薄膜（半導体産業への適用開始）,,,,,,
CVDの歴史,1969,,,,,,,,,CVDが明記される,"Thin Film Phenomena, Chopra",,,,,
CVDの歴史,1969,,,,,,,,,CVDによる超硬切削工具のコーティング開始,"独クルップ, TiC, 熱CVD",,,,,
CVDの歴史,1970,,,,1980,,,,,Ti系化合物膜の実用化,住友電工,,,,,
CVDの歴史,1976,,,,,,,,,住友電工による脱β層の開発,エース層,,,,,
CVDの歴史,1977,,,,,,,,,三菱マテリアルによる脱β相の開発,,,,,,
