Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
年号,1000,,,,2015,,,,旧世紀,,,,,,,
出来事,1956,3,11,,,,,,,最初の`ALTIMA'発掘’,最初の`ALTINA’古代遺跡から発掘される。ガーディアン技術研究が始まる。,,,,,
出来事,1969,7,20,,,,,,,人類最初のロケット,人類の宇宙進出の始まり,,,,,
出来事,1980,,,,,,,,1980年ごろ,国際情勢の悪化、世界的な緊張,宇宙権益に伴う列強通しの対立が極大に到達。奈落技術の普及。,,,,,
出来事,1999,7,1,,2015,,,,,第一次世界大戦勃発,各国が秘密裏に開発していたガーディアンを投入。,,,,,
出来事,2002,10,,,,,,,,カバリエ級の誕生,ミュンヘン共和国によってカバリエ級ガーディアンが投入された,,,,,
出来事,2003,9,,,,,,,,カバリエ級の普及,CTEZがカバリエ級を完成させ投入。戦争激化。,,,,,
出来事,2005,1,,,,,,,,新たなガーディアンの投入,東亜連邦がライトニング級を戦線に投入。ライトニング級の誕生。,,,,,
出来事,2008,8,,,,,,,,大陸の分断,アビス大量破壊兵器の度重なる使用と、実践投入されたアビス核兵器によって大幅な地形変動が発生。大陸が3つにさける,,,,,
出来事,2012,,,,2015,,,,2012年ごろ？,奈落兵器の無差別投入,奈落兵器の応酬が無差別投入へと激化、大規模な地殻変動、異常気象、地軸の異変。世界がめちゃくちゃになる。,,,,,
出来事,2013,,,,,,,,,全世界の政府が沈黙,あらゆる国が事実上の無政府状態に陥り、混乱の中戦争は続きいたずらに死者が増えていった,,,,,
