Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
東京国際空港（羽田空港）,1931,,,,,,,,,「東京飛行場」開設,,,,,,
東京国際空港（羽田空港）,1955,,,,,,,,,旧A滑走路延長,,,,,,
東京国際空港（羽田空港）,1964,,,,,,,,,旧A滑走路延長,,,,,,
東京国際空港（羽田空港）,1947,,,,1988,,,,,旧A滑走路,,,,,,
東京国際空港（羽田空港）,1947,,,,2000,,,,,旧B滑走路,,,,,,
東京国際空港（羽田空港）,1971,,,,,,,,,旧B滑走路延長,,,,,,
東京国際空港（羽田空港）,1964,,,,1997,,,,,旧C滑走路,,,,,,
東京国際空港（羽田空港）,1988,,,,now,,,,,A滑走路,,,,,,
東京国際空港（羽田空港）,2000,,,,now,,,,,B滑走路,,,,,,
東京国際空港（羽田空港）,1997,,,,now,,,,,C滑走路,,,,,,
東京国際空港（羽田空港）,2014,,,,,,,,,C滑走路延長,,,,,,
東京国際空港（羽田空港）,2010,,,,now,,,,,D滑走路,,,,,,
東京国際空港（羽田空港）,1952,,,,,,,,,「東京国際空港」と呼称,,,,,,
東京国際空港（羽田空港）,1959,,,,,,,,,ジェット機の就航開始,,,,,,
東京国際空港（羽田空港）,1961,,,,,,,,,国内線へのジェット機導入,,,,,,
東京国際空港（羽田空港）,1978,,,,,,,,,国際線が成田に移転,,,,,,
東京国際空港（羽田空港）,2010,,,,,,,,,再国際化,,,,,,
東京国際空港（羽田空港）,1993,,,,now,,,,,第1旅客ターミナル,,,,,,
東京国際空港（羽田空港）,2004,,,,now,,,,,第2旅客ターミナル,,,,,,
東京国際空港（羽田空港）,2010,,,,now,,,,,国際線旅客ターミナル,,,,,,
東京国際空港（羽田空港）,1964,,,,,,,,,東京モノレール開業,,,,,,
東京国際空港（羽田空港）,1993,,,,,,,,,京浜急行電鉄が東京モノレールに接続,,,,,,
日本での出来事,1945,,,,,,,,,敗戦・東京飛行場接収,,,,,,
日本での出来事,1952,,,,,,,,,サンフランシスコ平和条約,,,,,,
日本での出来事,1978,,,,,,,,,新東京国際空港（成田）開港,,,,,,
日本での出来事,1952,,,,,,,,,航空法制定,,,,,,
日本での出来事,1956,,,,,,,,,空港整備法制定,,,,,,
日本での出来事,1964,,,,,,,,,東京オリンピック,,,,,,
日本での出来事,1970,,,,,,,,,空港整備特別会計法制定,,,,,,
日本での出来事,1974,,,,,,,,,航空機騒音防止法,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
