Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
東映,1939,,,,2009,1,16,,,木更津東映,,,,,range,
富士館,1960,,,,2010,9,24,,,木更津富士館,,,,,range,
ムービーランド,1957,,,,2007,10,9,,,木更津ムービーランド,,,,,range,
セントラル,1950,,,,1960,2,16,,,橘館,,,,,range,yellow
セントラル,1960,2,16,,2012,1,13,,,木更津セントラル,,,,,range,
セントラル,1950,,,,1960,2,16,,,弁天座,,,,,range,yellow
USシネマ,2014,10,18,,now,,,,,USシネマ木更津,,,,,range,
市の出来事,1997,12,18,,,,,,1997,アクアライン開通,,,,,,
東映,2019,4,6,,,,,,2019,現在,跡地は現在hanahaco bento の店舗になっている。,,https://files-uploader.xzy.pw/upload/20190523230759_67676a6d6e.JPG,,box,
富士館,2019,4,6,,,,,,2019,現在,ラケル木更津店モカの駐車場になっている。,,https://files-uploader.xzy.pw/upload/20190523230848_3665436936.JPG,,box,
ムービーランド,2019,4,6,,,,,,2019,現在,現在は駐車場になっている。,,https://files-uploader.xzy.pw/upload/20190501163818_4957577463.JPG,,box,
セントラル,2019,4,6,,,,,,2019,現在,分譲マンションデュオヒルズ木更津（2020年2月完成予定）の建設予定地になっている。,,https://files-uploader.xzy.pw/upload/20190501163659_6d45635865.JPG,,box,
社会の出来事,1941,12,8,,1945,8,15,,1941～1945,太平洋戦争,,,,,,
日本の年号,2019,,,,now,,,,,令和,,,,,range,
日本の年号,1989,,,,2019,,,,,平成,,,,,range,
日本の年号,1926,,,,1989,,,,,昭和,,,,,range,
日本の年号,1912,,,,1926,,,,,大正,,,,,range,
日本の年号,1868,,,,1912,,,,,明治,,,,,range,
市の出来事,1976,9,10,,,,,,1976,人口が10万人を突破,,,,,,
社会の出来事,2011,3,11,,,,,,2011,東日本大震災,,,,,,
セントラル,1975,,,,2006,5,,,,セントラル劇場,,,,,range,blue
東映,1939,,,,,,,,,”木更津銀映劇場”に,,,,,,
東映,1958,,,,,,,,,”木更津東映”に,,,,,,
ムービーランド,1965,,,,,,,,昭和４０年代,”木更津日活劇場”に,,,,,,
セントラル,1972,,,,,,,,,セントラルボウル建設,,,,,,
社会の出来事,2003,11,1,,,,,,2003,”木更津キャッツアイ　日本シリーズ”上映,,,,,,
社会の出来事,2006,10,28,,,,,,2006,”木更津キャッツアイ　ワールドシリーズ”上映,,,,,,
社会の出来事,2002,,,,,,,,,テレビドラマ”木更津キャッツアイ”放送,,,,,,
セントラル,2002,,,,,,,,,”木更津キャッツアイ”でロケ,撮影時、映写室がある映画館がセントラルだけだったために映写室のシーンだけはセントラルで撮影された。（当時の支配人　談）,,https://files-uploader.xzy.pw/upload/20190525221743_57766e6473.jpg,,point,pink
富士館,2004,,,,,,,,,"B'z”ARIGATO""のPV","ロックバンドB'zの３７枚目シングル”ARIGATO""のPV及びジャケット撮影が富士館で行われた。",https://youtu.be/JXJdATAgpSU,https://images-na.ssl-images-amazon.com/images/I/41Y5JV3N4AL.jpg,,point,pink
セントラル,1960,2,16,,,,,,,”木更津セントラル”に,房総観光開発会社映画部は、木更津市弁天町の「弁天座」を買収、館名を「木更津セントラル」と改め、２月１６日から洋画上映館となった。(出典：キネマ旬報昭和３５年４月上旬号,,https://files-uploader.xzy.pw/upload/20190601095656_597a783143.jpg,,,
ムービーランド,1929,4,,,,,,,1929,恵比寿館,,,,,,
