Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
法律・施策,1921,,,,,,,,,警視庁保安部建築課：昇降機担当係設置,,,,,,
法律・施策,1926,,,,1948,,,,,昇降機取締規則,,,,,,
法律・施策,1948,,,,1960,,,,,東京昇降機安全条例→東京都建築安全条例,,,,,,
法律・施策,1958,,,,,,,,,建築基準法施行,,,,,,
法律・施策,1963,,,,,,,,,高さ制限撤廃,,,,,,
法律・施策,1970,,,,,,,,,非常用エレベーター設置義務,,,,,,
法律・施策,1980,,,,,,,,,耐震対策の強化,,,,,,
法律・施策,1987,,,,,,,,,特殊な使用形態の昇降機(ホームエレベーター),,,,,,
法律・施策,1994,,,,,,,,,ハートビル法,,,,,,
法律・施策,2000,,,,,,,,,交通バリアフリー法,,,,,,
法律・施策,2000,,,,,,,,,性能規定化,,,,,,
法律・施策,2002,,,,,,,,,ハートビル法改正,,,,,,
非住宅用エレベーター,1890,,,,1913,,,,,日本初「凌雲閣」,,,,,,
非住宅用エレベーター,1913,,,,1938,,,,,国産初（植田鉄工所）,,,,,,
非住宅用エレベーター,1938,,,,,,,,,臨時資金調整法,,,,,,
非住宅用エレベーター,1946,,,,2006,,,,,新大阪ホテル（オーチス）,,,,,,
非住宅用エレベーター,1982,,,,1992,,,,,車椅子兼用エレベーター,,,,,,
非住宅用エレベーター,1992,,,,2006,,,,,コモアブリッジ,,,,,,
非住宅用エレベーター（床）,1934,,,,1938,,,,,ゴムマットまたはゴムタイル,,,,,,
非住宅用エレベーター（床）,1938,,,,,,,,,臨時資金調達法,,,,,,
非住宅用エレベーター（床）,1967,,,,2006,,,,,ゴムタイる,,,,,,
非住宅用エレベーター（床）,1967,,,,2003,,,,,ビニタイル,,,,,,
非住宅用エレベーター（床）,2003,,,,2006,,,,,非塩ビ系タイル,,,,,,
非住宅用エレベーター（床）,1997,,,,2006,,,,,大理石,,,,,,
非住宅用エレベーター（操作盤・手動）,1980,,,,1998,,,,,かご内手動式（凌雲閣）,,,,,,
非住宅用エレベーター（操作盤・手動）,1970,,,,1981,,,,,ロープコントロール式（日本生命保険本店/オーチス),,,,,,
非住宅用エレベーター（操作盤・手動）,1981,,,,1998,,,,,ハンドホイール式(丸ビル),,,,,,
非住宅用エレベーター（操作盤・手動）,1916,,,,1965,,,,,カースイッチ式(東京海上火災保険ビル/オーチス),,,,,,
非住宅用エレベーター（操作盤・手動）,,,,,,,,,,日本徴兵館(三菱電機(株)),,,,,,
非住宅用エレベーター（操作盤・手動）,1965,,,,1998,,,,,三越百貨店銀座店(三菱電機(株)),,,,,,
非住宅用エレベーター（操作盤・手動）,,,,,,,,,,東京海上別館(三菱電機(株)),,,,,,
非住宅用エレベーター（操作盤・電動）,1966,,,,1985,,,,,国産初押し釦式(伊藤忠ビル/東松工作所),,,,,,
非住宅用エレベーター（操作盤・電動）,1985,,,,1998,,,,,一つ釦制御(三菱造船神戸病院/三菱電機(株),,,,,,
非住宅用エレベーター（操作盤・電動）,1910,,,,1966,,,,,大阪ビルディング,,,,,,
非住宅用エレベーター（操作盤・電動）,1966,,,,1998,,,,,タッチボタン（オーチス）,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1967,,,,1970,,,,,押釦,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1970,,,,1971,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1971,,,,1977,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1977,,,,1981,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1981,,,,1991,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1991,,,,1999,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,1999,,,,2003,,,,,,,,,,,
非住宅用エレベーター（操作盤・東芝エレベータ(株)規格形EV）,2003,,,,2006,,,,,,,,,,,
非住宅用エレベーター（その他）,1890,,,,,,,,,木製かご枠（凌雲閣）,,,,,,
非住宅用エレベーター（その他）,1926,,,,1934,,,,,鉄材かご枠（昇降機取締規則）,,,,,,
非住宅用エレベーター（その他）,1934,,,,1938,,,,,鋼材かご枠,,,,,,
非住宅用エレベーター（その他）,1938,,,,,,,,,臨時資金調整法,,,,,,
非住宅用エレベーター（その他）,1948,,,,1958,,,,,鋼製(昇降機安全条例),,,,,,
非住宅用エレベーター（その他）,1958,,,,1997,,,,,不燃材料(建築基準法),,,,,,
非住宅用エレベーター（その他）,1997,,,,2006,,,,,鋼材,,,,,,
