Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,2014,7,22,,now,,,,,根本 凪,,,,,,
,2014,7,22,,now,,,,,中村 朱里,,,,,,
,2014,7,22,,now,,,,,的場 華鈴,,,,,,
,2014,7,22,,2015,8,21,,,(吉村 菜々),,,,,,
,2014,7,22,,2015,10,21,,,西 七海,,,,,,
,2014,7,22,,2015,10,24,,,木下 ひより,,,,,,
,2014,7,22,,2016,5,22,,,長田 美成,,,,,,
,2014,7,22,,2016,9,10,,,重松 佑佳,,,,,,
,2014,7,22,,2018,1,7,,,陶山 恵実里,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,2014,7,22,,2018,1,7,,,奥村 野乃花,,,,,,
,2014,9,7,,now,,,,,鶴見萌,,,,,,
,2015,1,11,,now,,,,,大和 明桜,,,,,,
,2015,1,11,,2016,6,10,,,甲斐 莉乃,,,,,,
,2015,1,11,,2017,5,5,,,大塚 望由,,,,,,
,2015,5,3,,2015,8,18,,,(岩倉 あずさ),,,,,,
,2015,5,3,,2016,4,6,,,(伊藤 有香),,,,,,
,2016,2,10,,2017,1,31,,,(石原 深愛),,,,,,
,2016,5,18,,now,,,,,隈本 茉莉奈,,,,,,
,2016,5,18,,now,,,,,清水 理子,,,,,,
,2016,5,18,,now,,,,,蛭田 愛梨,,,,,,
,2016,5,18,,now,,,,,山崎 夏菜,,,,,,
,2016,7,16,,now,,,,,岡田 彩夢,,,,,,
,2016,11,2,,now,,,,,片岡 未優,,,,,,
,2017,2,1,,2017,7,22,,,(荒井 紗也香),,,,,,
,2018,5,18,,now,,,,,山本 莉唯,,,,,,
,2014,10,25,,,,,,,ぴくしぶおんど,,,,,,
,2014,12,17,,,,,,,にじいろフィロソフィー,,,,,,
,2015,4,8,,,,,,,"やるっきゃない!2015
ブランニューハッピーデイズ",,,,,,
,2015,8,25,,,,,,,THE☆有頂天サマー!!,,,,,,
,2016,2,11,,,,,,,戦場の聖バレンタイン,,,,,,
,2016,5,17,,,,,,,↓エイリアンガール・イン・ニューヨーク↑,,,,,,
,2016,9,20,,,,,,,限りなく冒険に近いサマー,,,,,,
,2016,12,19,,,,,,,LOVE麺 恋味 やわめ,,,,,,
,2017,1,9,,,,,,,レトルト 〜華麗なる愛〜,,,,,,
,2017,4,26,,,,,,,✝ノーライフベイビー・オブ・ジ・エンド✝,,,,,,
,2017,9,5,,,,,,,"キミは無邪気な夏の女王
じゃんぷ!
夏の夜は短すぎるけど…",,,,,,
,2018,4,18,,,,,,,"トライアングル・ドリーマー
心臓にメロディー",,,,,,
,2018,4,29,,,,,,,バスルームマジック,,,,,,
,2018,9,12,,,,,,,ずっとサマーで恋してる,,,,,,
,2019,1,14,,,,,,,本命ショコラティエ,,,,,,
,2019,7,10,,,,,,,愛をこころにサマーと数えよ,,,,,,
,2020,1,22,,,,,,,響け！ファンファーレ,,,,,,
,2020,1,22,,,,,,,ぼくらのターン,,,,,,
,2020,1,22,,,,,,,Snowing Love,,,,,,
,2015,11,3,,,,,,,レインボウスペクトラム,,,,,,
,2016,12,13,,,,,,,レインボウエクリプス,,,,,,
,2018,1,10,,,,,,,レインボウフェノメノン,,,,,,
,2018,12,12,,,,,,,THE BEST OF RAINBOW,,,,,,
,2020,6,17,,,,,,,レインボウグラビティ,,,,,,
,2017,4,26,,,,,,,メジャーデビュー,,,,,,
,2018,1,1,,,,,,,事務所移籍,,,,,,
