Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
メディア史,1940,,,,,,,,,NBCがテレビ放送実験開始,,,,,,
メディア史,1941,,,,,,,,,CBSがテレビ放送開始,,,,,,
メディア史,1943,,,,,,,,,ABC放送設立,,,,,,
メディア史,1946,,,,,,,,,放送に関する指針 Blue Bookが発行される,,,,,,
メディア史,1948,,,,1952,,,,,テレビ放送の免許交付・更新を一時休止」,,,,,,
メディア史,1950,,,,,,,,,CBSによってアメリカで初のカラーテレビ放送実施,,,,,,
メディア史,1962,,,,,,,,,教育テレビ放送施設法の制定,,,,,,
メディア史,1965,,,,,,,,,カーネギー教育テレビ検討委員会発足,,,,,,
メディア史,1967,2,,,,,,,,カーネギー教育テレビ検討委員会の提言書が出版される,,,,,,
メディア史,1967,11,,,,,,,,公共放送法の制定・施行,,,,,,
メディア史,1967,,,,,,,,,公共放送機構の設立,,,,,,
メディア史,1969,,,,,,,,,PBSの設立,,,,,,
メディア史,1970,,,,,,,,,PBS放送開始、NPRの設立,,,,,,
メディア史,1971,,,,,,,,,NPR最初の公共ラジオ放送開始,,,,,,
主な出来事,1945,,,,1950,,,,,Red Scare (赤狩り）,,,,,,
主な出来事,1950,,,,1953,,,,,朝鮮戦争,,,,,,
主な出来事,1951,,,,,,,,,日米安全保障条約調印,,,,,,
主な出来事,1953,,,,,,,,,日本でテレビ放送開始,,,,,,
主な出来事,1955,,,,,,,,,キング牧師のバス・ボイコット闘争、公民権運動の始まり,,,,,,
主な出来事,1955,,,,,,,,,アメリカ合衆国、南ベトナム含むインドシナ諸国への直接援助を開始,,,,,,
主な出来事,1957,,,,,,,,,スプートニク・ショック、ソ連が衛生打ち上げ成功,,,,,,
主な出来事,1960,,,,,,,,,大統領選、ジョン・F・ケネディが当選,,,,,,
主な出来事,1962,,,,,,,,,キューバ危機,,,,,,
主な出来事,1963,,,,,,,,,ケネディ大統領暗殺,,,,,,
主な出来事,1963,,,,,,,,,ジョンソン副大統領、大統領に就任,,,,,,
主な出来事,1965,,,,,,,,,ジョンソン大統領 「偉大な社会」政策を強調,,,,,,
主な出来事,1965,,,,,,,,,マルコムX暗殺,,,,,,
主な出来事,1965,,,,,,,,,ベトナム反戦運動激化,,,,,,
主な出来事,1968,,,,,,,,,キング牧師 暗殺,,,,,,
主な出来事,1969,,,,,,,,,ニクソンが大統領に就任,,,,,,
主な出来事,1969,,,,,,,,,ニューヨーク州ウッドストックでロック・フェスティバル,,,,,,
主な出来事,1969,,,,,,,,,アポロ11号月面着陸成功,,,,,,
主な出来事,1970,,,,,,,,,ニューヨーク株式市場大暴落,,,,,,
