Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
シナリオ,2005,12,25,,2005,12,26,,,頭夢児島殺人事件,頭夢児家の三女である頭夢児琉御と、もう一人の探偵であった明日紙縒の出会いとなった事件。,https://booth.pm/ja/items/1208192,,,,
出来事,2006,,,,2011,,,,,お茶会期間,何故かはわからないが頭夢児琉御と明日紙縒の交友が深まり、定期的にお茶会や食事をしていたり、一緒にお出かけをしたりしていた時期。,,,,,
シナリオ,2011,8,,,,,,,,馬鹿参り,明日紙縒が頭夢児琉御を大切な存在だと思い始めるきっかけ。,https://www.pixiv.net/novel/show.php?id=10044389,,,,
シナリオ,2011,12,23,,,,,,,真夜中のサル―テ,愛してるから、さようならをした。,https://www.pixiv.net/novel/show.php?id=7415894,,,,
シナリオ,2011,10,,,,,,,,世界で一番お前が好きだ！,2011年秋頃。,https://booth.pm/ja/items/1660810,,,,
頭夢児琉御,2012,1,17,,,,,,,救いに非ず,どうしようもなく欲張りで。そのくせ、いつだって後から気付くんだ。そう、いつだって。,https://booth.pm/ja/items/1147942,,,,
シナリオ,2012,5,31,,2012,6,1,,,コトワリ,「いつか来る、お別れの練習をしましょう」,https://www.pixiv.net/novel/show.php?id=9205447,,,,
出来事,2012,6,2,,,,,,,お付き合い開始,間違いでも、失敗でも。あなただけを愛している。,,,,,
頭夢児琉御,2012,4,,,,,,,,空虚表象, どれほど重くとも、抱えて生きていくと決めたのならば。,https://www.pixiv.net/novel/show.php?id=11006117,,,,
年齢,2005,12,,,,,,,,頭夢児琉御　24歳,,,,,,
年齢,2005,12,,,,,,,,明日紙縒　31歳,,,,,,
シナリオ,2013,4,2,,,,,,,R.I.P,好きなものを好きなだけ。因みに、初夜も多分この日。,https://www.pixiv.net/novel/show.php?id=9382468,,,,
出来事,2013,4,2,,2013,6,18,,,R.I.P同棲期間,,,,,,
出来事,2013,6,2,,,,,,,一周年記念デート,明日紙縒企画による一周年記念日のデート。この日一緒に指輪を見に行った。,,,,,
シナリオ,2013,7,,,,,,,,君におはようと言えたら,いつだって、あなたを愛しているのだから。,,,,,
シナリオ,2013,8,,,,,,,,That make it I,,,,,,
出来事,2014,2,,,2014,3,,,,2月下旬～3月予定,同棲の話,,,,,
年齢,2011,8,,,,,,,,頭夢児琉御　29歳,,,,,,
年齢,2011,8,,,,,,,,明日紙縒　36歳,,,,,,
年齢,2011,11,,,,,,,,頭夢児琉御　30歳,,,,,,
年齢,2012,11,,,,,,,,頭夢児琉御　31歳,,,,,,
