Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
西暦,2001,1,1,0:00,2099,12,31,23:59,21世紀,,,,,,background,orange
西暦,2101,1,1,0:00,2199,12,31,23:59,22世紀,,,,,,background,orange
西暦,2201,1,1,0:00,2299,12,31,23:59,23世紀,,,,,,background,orange
西暦,2301,1,1,0:00,2399,12,31,23:59,24世紀,,,,,,background,orange
西暦,2401,1,1,0:00,2499,12,31,23:59,25世紀,,,,,,background,orange
西暦,2501,1,1,0:00,2599,12,31,23:59,26世紀,,,,,,background,orange
西暦,2601,1,1,0:00,2699,12,31,23:59,27世紀,,,,,,background,orange
西暦,2701,1,1,0:00,2799,12,31,23:59,28世紀,,,,,,background,orange
西暦,2801,1,1,0:00,2899,12,31,23:59,29世紀,,,,,,background,orange
西暦,2901,1,1,0:00,2999,12,31,23:59,30世紀,,,,,,background,orange
西暦,3001,1,1,0:00,3099,12,31,23:59,31世紀,,,,,,background,orange
西暦,3101,1,1,0:00,3199,12,31,23:59,32世紀,,,,,,background,orange
西暦,3201,1,1,0:00,3299,12,31,23:59,33世紀,,,,,,background,orange
西暦,3301,1,1,0:00,3399,12,31,23:59,34世紀,,,,,,background,orange
西暦,3401,1,1,0:00,3499,12,31,23:59,35世紀,,,,,,background,orange
皇帝,2292,,,,2296,,,,,Marlin Duval,正確には帝国になる前の「Republic of Achenar」の指導者。在位4年。,,,,,blue
皇帝,2320,,,,2402,,,,,Henson Duval,初代皇帝。在位82年。,,,,,blue
皇帝,2402,,,,2483,,,,〜2483,Saik Duval,第2代皇帝。在位81年。,,,,,blue
皇帝,2483,,,,2541,,,,〜2541,Trasken Duval,第3代皇帝。在位58年。,,,,,blue
皇帝,2541,,,,2604,,,,〜2604,Hennick Duval,第4代皇帝。在位63年。,,,,,blue
皇帝,2604,,,,2684,,,,〜2684,Lucius Duval,第5代皇帝。在位80年。,,,,,blue
皇帝,2684,,,,2739,,,,〜2739,Anders Duval,第6代皇帝。在位55年。,,,,,blue
皇帝,2739,,,,2799,,,,〜2799,Hender Duval,第7代皇帝。在位60年。,,,,,blue
皇帝,2799,,,,2858,,,,〜2858,Trasken Duval 2世,第8代皇帝。在位59年。,,,,,blue
皇帝,2858,,,,2943,,,,〜2943,Trasken Duval 3世,第9代皇帝。在位85年。,,,,,blue
皇帝,2943,,,,2991,,,,〜2991,Olban Hensard Duval,第10代皇帝。在位48年。,,,,,blue
皇帝,2991,,,,3061,,,,〜3061,Gaylen Trasken Duval,第11代皇帝。在位70年。,,,,,blue
皇帝,3061,,,,3132,,,,〜3132,Atticus Obellan Duval,第12代皇帝。在位71年。,,,,,blue
皇帝,3132,,,,3182,,,,～3182,Gaylen Trasken Duval,第13代皇帝。在位50年。,,,,,blue
皇帝,3182,,,,3233,,,,～3233,Hesketh Duval,第14代皇帝。在位51年。,,,,,blue
連邦大統領,2599,,,,2607,,,,〜2607,Sadiq Kessler,,,,,,red
出来事,2001,,,,2055,,,,〜2055頃,World War IIIの勃発,World War IIIが起こり、宇宙開発が十数年後に始まる。,,,,,black
出来事,2055,,,,2100,,,,21世紀,連邦（Federation）の創設,"戦後、最も有力だったのはアメリカ合衆国であり、他国はこれに数十年加わることになった。 全ての国が傘下になった時、アメリカ合衆国は名称を「合衆国連邦（Federation of the United States）」または単に「連邦（Federation）」と変えた。
 そしてFederationは「地球政府」としての役割を担うことになる。",,,,,red
出来事,2101,,,,2200,,,,22世紀,Hyperdriveの誕生,Li Qin Jaoと彼女のチームによりHyperdriveが発明される。 これにより人類の外宇宙への進出に拍車がかかった。,,,,,black
出来事,2101,,,,2200,,,,22世紀,太陽系外への移住,Tau Ceti 星系の第2惑星にコロニーが作られた。 現在では「Taylor Colony」と呼ばれている。,https://www.edsm.net/ja/system/stations/id/14683/name/Trigeno/details/idS/45692/nameS/Taylor+Colony,https://www.edsm.net/img/stations/5.png,,,black
出来事,2160,,,,2169,,,,2160年代,地球外生命体の発見,最初の地球外生命体がTau Ceti星系のTaylor Colonyで発見される。,https://www.edsm.net/ja/system/stations/id/14683/name/Trigeno/details/idS/45692/nameS/Taylor+Colony,https://www.edsm.net/img/stations/5.png,,,black
出来事,2324,,,,2325,,,,,Battle of Achenar,,,,,,purple
出来事,2325,,,,2381,,,,,冷戦,連邦と帝国間の冷戦,,,,,purple
出来事,2097,,,,,,,,,最初のGeneration Ship,最初のGeneration shipが太陽系を発った。 続けて7万隻以上の船が千年の旅をするため太陽系を出た。,,,,,black
出来事,2242,,,,,,,,,連邦協定（Federation Accord）制定,連邦協定（Federation Accord）の制定。これにより連邦は地球上の国同士の同盟ではなく宇宙規模での惑星間の繋がりとなる。,,,,,red
出来事,2280,,,,,,,,,Martian Relicの発見,Martian Relicとして知られる小さな物体が火星で発見される。 これは異星人の文書で火星の地表から発掘された。  しかし、Federationがこれを押収したため、その存在はリークされたFederal recordsで確かめられるだけで数世紀もの間、秘密裏にあった。  その物体についてわかっているのは、人工物でありほんの2〜3cmの大きさしかない正方形ということである。（Tourist Beacon 0175）,,,,,black
出来事,2288,,,,,,,,,Eotienses A 3のテラフォーミング開始,独立系コロニスト（入植者）達がEotienses星系のEotienses A 3のテラフォーミングを始める。,https://www.edsm.net/ja/system/bodies/id/5797/name/Eotienses/details/idB/8139670/nameB/Eotienses+A+2,https://www.edsm.net/img/bodies/planets/2.png,,,black
出来事,2290,,,,,,,,,火星のテラフォーミング完了,火星のテラフォーミングが完了する。翌年から地球にあった多くの企業や政府組織が火星へと拠点を移した。,https://www.edsm.net/ja/system/bodies/id/27/name/Sol/details/idB/1828/nameB/Mars,https://www.edsm.net/img/bodies/planets/31.png,,,black
出来事,2292,,,,,,,,,Republic of Achenarの創設,"地球で生まれた裕福な反連邦活動家であるMarlin Duvalは、Achenar星系でAchenar 6dの植民地化の先頭に立った。
彼女は平和な理想に基づく民主国「Republic of Achenar」を興した。",https://www.edsm.net/ja/system/bodies/id/12523/name/Achenar/details/idB/7259558/nameB/Capitol,https://www.edsm.net/img/bodies/planets/31.png,,,blue
出来事,2296,,,00:00,,,,,,Marlin Duvalの死,Marlin Duvalは、彼女のパートナー、そして子供たちと一緒にシャトル事故で非業の死を遂げる。 後の歴史家達はMarlinの死の背景には兄弟のHenson Duvalの影があったのではと考えている。,,,,,blue
出来事,2296,,,00:01,,,,,,Republic of Achenar議会の解散と帝国（Empire）の創設,Marlin Duvalの死後、自らが後継人であると考えた兄弟のHenson DuvalはRepublic of Achenarの議会を解散し、帝国（Empire）とした。 平和主義を愛国主義に、平等主義を権威主義に塗り替え、国民の反連邦感情を煽ることで支持率を上げた。,https://www.edsm.net/ja/system/bodies/id/12523/name/Achenar/details/idB/7259558/nameB/Capitol,https://www.edsm.net/img/bodies/planets/31.png,,,blue
