Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
医学者,1510,,,,1590,,,,,アンブロワーズ・パレ,,,,,,
医学者,1514,,,,1564,,,,,アンドレアス・ヴェサリウス,,,,,,
冒険者,1485,,,,1547,,,,,エルナン・コルテス,コンキスタドール（アステカ帝国）,,,,,
冒険者,1470,,,,1541,,,,,フランシスコ・ピサロ,コンキスタドール（インカ帝国）,,,,,
冒険者,1451,,,,1506,,,,,クリストファー・コロンブス,,,,,,
王侯貴族,1560,,,,1614,,,,,エリザベート・バートリ,,,,,,
王侯貴族,1530,,,,1584,,,,,イヴァン4世,,,,,,
教会,1420,,,,1498,,,,,トマス・デ・トルケマダ,スペイン異端審問（ドミニコ会）,,,,,
,1503,,,,1566,,,,,ノストラダムス, ,,,,,
,1493,,,,1541,,,,,パラケルスス,,,,,,
錬金術師,1527,,,,1608,,,,,ジョン・ディー,エノク語,,,,,
錬金術師,1555,,,,1597,,,,,エドワード・ケリー,ジョン・ディーと共に活動,,,,,
王侯貴族,1405,,,,1440,,,,,ジル・ド・レ,,,,,,
犯罪者,1480,,,,1562,,,,,ゲッツ・フォン・ベルリヒンゲン,強盗騎士、義手,,,,,
錬金術師,1480,,,,1540,,,,,ヨハン・ファウスト,メフィストフェレスと契約,,,,,
古文書,1438,,,,1639,,,,,ヴォイニッチ手稿,,,,,,
古文書,,,,,,,,,,ロガエスの書,ジョン・ディー著、ネクロノミコンとの関連,,,,,
錬金術師,1486,,,,1535,,,,,ハインリヒ・コルネリウス・アグリッパ,,,,,,
教会,1430,,,,1505,,,,,ハインリヒ・クラーマー,『魔女の槌』,,,,,
教会,1530,,,,1596,,,,,ジャン・ボダン,『悪魔憑き』魔女狩りを推進,,,,,
教会,1553,,,,1631,,,,,ピエール・ド・ランクル,悪名高い魔女狩り処刑人、600人、拷問も,,,,,
教会,1550,,,,1619,,,,,アンリ・ボゲ,魔女狩り、狼男狩り,,,,,
犯罪者,1510,,,,1589,,,,,ペーター・シュトゥンプ,「ベートブルクの狼男」生年不詳,,,,,
教会,1484,,,,1566,,,,,バルトロメ・デ・ラス・カサス,新世界における罪を告発,,,,,
教会,1432,,,,1502,,,,,ヴィテルボのアンニウス,偽書を作成　ドミニコ会,,,,,
王侯貴族,1475,,,,1507,,,,,チェーザレ・ボルジア,,,,,,
医学者,1452,,,,1519,,,,,レオナルド・ダ・ヴィンチ,,,,,,
その他,1490,,,,1548,,,,,クリストフォロ・ディ・メッシスブーゴ,偉大な料理人　生年不詳,,,,,
王侯貴族,1519,,,,1589,,,,,カトリーヌ・ド・メディシス,,,,,,
王侯貴族,1498,,,,1526,,,,,ジョヴァンニ・デッレ・バンデ・ネーレ,"傭兵隊長　""私が前に進む時は、皆私についてこい。もしも私が退（ひ）こうとしたら、私を殺せ！""",,,,,
医学者,1515,,,,1588,,,,,ヨーハン・ヴァイヤー,魔女狩りに反対した最初期の人物『悪魔の偽王国』,,,,,
教会,1483,,,,1546,,,,,マルティン・ルター,,,,,,
その他,1412,,,,1431,,,,,ジャンヌ・ダルク,,,,,,
古文書,1500,,,,1600,,,,,ギガス写本,悪魔の力で完成　12世紀,,,,,
王侯貴族,1431,,,,1476,,,,,ヴラド・ツェペシュ,,,,,,
教会,1530,,,,1616,,,,,ニコラ・レミ,魔女狩り人,,,,,
教会,1462,,,,1516,,,,,ヨハンネス・トリテミウス,魔女の妖術を強く非難しながら、降霊術を能くする魔術師　精霊を用いた遠距離通信,,,,,
教会,1431,,,,1503,,,,,アレクサンデル6世 (ローマ教皇),史上最悪の教皇,,,,,
教会,1506,,,,1552,,,,,フランシスコ・ザビエル,,,,,,
教会,1582,,,,1590,,,,,天正遣欧少年使節,イタリアに滞在,,,,,
王侯貴族,1533,,,,1603,,,,,エリザベス1世,,,,,,
王侯貴族,1491,,,,1547,,,,,ヘンリー8世,,,,,,
その他,1564,,,,1616,,,,,ウィリアム・シェイクスピア,,,,,,
冒険者,1543,,,,1596,,,,,フランシス・ドレーク,海賊、チリ近く南緯57度に到達（該当する島なし）,,,,,
冒険者,1532,,,,1595,,,,,ジョン・ホーキンス,ドレークの従兄弟、海賊,,,,,
冒険者,1480,,,,1521,,,,,フェルディナンド・マゼラン,部下のフアン・セバスティアン・エルカーノが世界一周を到達,,,,,
錬金術師,1565,,,,1614,,,,,ヨハン・テルデ,偽の錬金術書？『アンチモンの凱旋車』を記す,,,,,
