Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
中国統一,-221,,,,,,,,,秦の統一,,,,,box,red
中国統一,-202,,,,,,,,,前漢の統一,,,,,box,red
中国統一,280,,,,,,,,,西晋の統一,,,,,box,red
中国統一,589,,,,,,,,,隋の統一,,,,,box,red
中国統一,626,,,,,,,,,唐の統一,,,,,box,red
中国統一,979,,,,,,,,,北宋の統一,,,,,box,red
中国,-770,,,,-404,,,,,春秋時代,,,,,background,red
中国,-403,,,,-222,,,,,戦国時代,,,,,background,red
中国,220,,,,279,,,,,三国時代,,,,,background,red
中国,304,,,,439,1,1,,,五胡十六国時代,,,,,background,red
中国,439,12,31,,589,,,,,南北朝時代,,,,,background,red
中国,907,,,,960,,,,,五代十国時代,,,,,background,red
中国,-771,,,,-206,1,1,,,秦,,,,,range,red
中国,-206,,,,220,,,,,漢,,,,,range,red
中国,220,,,,265,,,,,魏,,,,,range,red
中国,265,,,,316,,,,,西晋,,,,,range,red
中国,317,,,,420,,,,,東晋,,,,,range,red
中国,581,,,,618,1,1,,,隋,,,,,range,red
中国,618,12,31,,907,,,,,唐,,,,,range,red
中国,960,,,,1127,1,1,,,北宋,,,,,range,red
中国,1127,12,31,,1279,,,,,南宋,,,,,range,red
中国,1271,,,,1635,,,,,元,,,,,range,red
中国,1368,,,,1644,,,,,明,,,,,range,red
中国,1616,,,,1912,,,,,清,,,,,range,red
内戦,-206,,,,-202,,,,,楚漢戦争,,,,,range,red
内乱,-209,,,,,,,,,陳勝・呉広の乱,,,,,point,red
内乱,-154,,,,,,,,,呉楚七国の乱,,,,,point,red
内乱,18,,,,27,,,,,赤眉の乱,,,,,point,red
内乱,184,,,,,,,,,黄巾の乱,,,,,point,red
内乱,291,,,,306,,,,,八王の乱,,,,,point,red
内乱,304,,,,316,,,,,永嘉の乱,,,,,point,red
内乱,755,,,,,,,,,安史の乱,,,,,point,red
内乱,878,,,,884,,,,,黄巣の乱,,,,,point,red
内乱,1351,,,,1366,,,,,紅巾の乱,,,,,point,red
内乱,1631,,,,,,,,,李自成の乱,,,,,point,red
内乱,1673,,,,1681,,,,,三藩の乱,,,,,,
内乱,1796,,,,1804,,,,,白蓮教徒の乱,,,,,point,red
禁,166,,,,,,,,,第一次党錮の禁,,,,,point,purple
禁,169,,,,,,,,,第二次党錮の禁,,,,,point,purple
内乱,690,,,,,,,,,武韋の禍,,,,,point,purple
対外同盟,1004,,,,,,,,,澶淵の盟,,,,,point,green
変,1449,9,8,,,,,,,土木の変,,,,,point,purple
変,1126,,,,,,,,,靖康の変,,,,,point,purple
対外戦争,1399,7,,,1402,,,,,靖難の役,,,,,point,yellow
