Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1887,,,,now,,,,,レコード,エミール・ベルリナーが円盤式蓄音機「グラモフォン」を作る,,,,,
日本の年号,1956,,,,,,,,,HDD（ハードディスクドライブ）,最初の商用HDDであるIBM 305 RAMACが出荷される,,,,,
日本の年号,1962,,,,now,,,,,カセットテープ,,,,,,
日本の年号,1971,,,,2011,3,,,,フロッピーディスク,,,,,,
日本の年号,1975,,,,2016,3,,,,ベータマックス,出荷終了,,,,,
日本の年号,1976,,,,now,,,,,VHS,ただしVHSデープレコーダーは2016年７月末日で生産終了,,,,,
科学者,1978,,,,2007,,,,,LD(レーザーディスク),"マグナボックス（フィリップスの子会社）が世界初の家庭用LDプレーヤー「マグナビジョン」VH-8000を発売
世界唯一のディスクプレスメーカーとなったメモリーテックが製造ラインを廃止",,,,,
日本の年号,1982,,,,now,,,,,CD,世界初のCDソフト発売,,,,,
日本の年号,1996,,,,,,,,,DVD,世界初のDVDソフト発売,,,,,
科学者,1999,,,,,,,,,SDカード,松下電器産業（現・パナソニック）、サンディスク（現・ウエスタン・デジタル）、東芝によって構成されたSD Groupによって開発・発表,,,,,
科学者,2000,,,,,,,,,USBメモリ,rnational社のThumb DriveというUSBメモリが日本で初めてのUSBメモリとして発売,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
