Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
民間空港の歴史,1910,,,,,,,,,デューベンドルフ航空基地開港,,,,,,
民間空港の歴史,1919,,,,,,,,,民間航空機の運航開始,アド・アストラ・エアロ社（スイス航空の前身）,,,,,
チューリッヒ空港,1945,,,,now,,,,,ターミナルA,,,,,,
チューリッヒ空港,1971,,,,now,,,,,ターミナルB,,,,,,
チューリッヒ空港,2003,,,,now,,,,,ターミナルE,,,,,,
チューリッヒ空港,1945,,,,now,,,,,第1滑走路,,,,,,
チューリッヒ空港,1945,,,,now,,,,,第2滑走路,,,,,,
チューリッヒ空港,1976,,,,now,,,,,第3滑走路,,,,,,
スイスでの出来事,2000,,,,,,,,,空港民営化,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
