Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,2018,,,,,,,,,鈴谷転移,,,,,,
出来事,2021,,,,,,,,,鈴谷進学　日本へ,,,,,,
出来事,2150,,,,,,,,,宇宙人着陸,,,,,,
出来事,2155,,,,2165,,,,,ポッド開発,,,,,,
出来事,2162,,,,,,,,,「エデン」地球接近,,,,,,
出来事,2166,,,,,,,,,破片群A落下　シロ回収,,,,,,
出来事,2169,,,,,,,,,三笠脱走,,,,,,
出来事,2169,9,,,2170,7,,,,三笠、千尋と生活,,,,,,
出来事,2171,7,,,,,,,,三笠イタリアへ,,,,,,
出来事,2173,,,,,,,,,千里誕生,,,,,,
出来事,2175,,,,2194,,,,,日本クーデター,,,,,,
出来事,2171,,,,2180,,,,,ロシア内乱,,,,,,
出来事,2184,,,,,,,,,破片群C落下　イギリス壊滅,,,,,,
出来事,2182,,,,2184,,,,,英仏戦争,,,,,,
出来事,2178,,,,2184,,,,,アメリカ内戦,,,,,,
出来事,2028,,,,,,,,,MMM、鈴谷に憑依,,,,,,
出来事,2104,,,,,,,,,イタリア中立宣言,,,,,,
出来事,2164,,,,,,,,,鈴谷、ロシア調査,,,,,,
出来事,2182,,,,,,,,,Cherry転移,,,,,,
出来事,2189,3,,,2192,4,,,,ペトラ、F2Aと生活,,,,,,
出来事,2185,,,,,,,,,名古屋争奪戦　,球磨型2名破壊、2名戦闘不能,,,,,
出来事,2191,,,,,,,,,AH解放戦線発足,,,,,,
出来事,2188,,,,,,,,,F2A、P-47脱走,,,,,,
出来事,2180,,,,,,,,,横浜争奪戦,,,,,,
出来事,2192,,,,,,,,,舞鶴争奪戦,金剛破壊,,,,,
出来事,2190,,,,,,,,,千里、伊陸軍入隊,,,,,,
出来事,2193,5,,,,,,,,神楽すず転移,,,,,,
出来事,2193,6,,,,,,,,戦争計画立案,,,,,,
出来事,2193,7,12,,,,,,,四国争奪戦1日目,,,,,,
出来事,2193,7,28,,,,,,,神楽すず、アヅマに漂着,,,,,,
出来事,2193,2,,,,,,,,呉争奪戦,鈴谷大破,,,,,
出来事,2192,4,,,,,,,,AH、カナダに亡命,,,,,,
出来事,2188,,,,,,,,,大坂争奪戦,,,,,,
