Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
pittore,1455,,,,1508,,,,,Ambrogio de Predis,italia,,,,,
scultore,1840,,,,1895,,,,,Orazio Andreoni,italia,,,,,
scultore,1739,1,4,,1821,10,4,,,Giovanni Bellavite,italia,,,,,
architettore,1624,1,17,,1683,3,6,,,Camillo Guarino Guarini,italia,,,,,
scrittore,1265,,,,1321,9,14,,,Dante Alighieri,italia,,,,,
pittore,1599,,,,1660,8,6,,,Diego Velazquez,spagnolo,,,,,
pittore,1449,,,,1494,1,11,,,Domenico Ghirlandaio,italia rinascimento,,,,,
pittore,1406,,,,1469,,,,,Fra Filippo Lippi,italia,,,,,
pittore,1390,,,,1455,2,18,,,Fra' Angelico,italia,,,,,
scultore,1908,10,22,,1991,1,18,,,Giacomo Manzu,italia,,,,,
pittore,1511,7,30,,1574,6,27,,,Giorgio Vasari,italia manierista,,,,,
scultore,1720,,,,1793,12,12,,,Giuseppe Sanmartino,italia,,,,,
scultore,1987,4,18,,now,,,,,jago,italia,,,,,
scultore,1475,3,6,,1564,2,18,,,Michelangelo Buonarroti,italia rinascimento ,,,,,
scultore,-490,,,,-430,,,,,pheidias,grecia,,,,,
pittore,1412,,,,1492,10,12,,,Piero della Francesca,italia,,,,,
pittore,1461,,,,1522,4,12,,,Piero di Cosimo,italia,,,,,
scultore,-375,,,,-326,,,,,Prassitele,grecia,,,,,
pittore,1445,3,1,,1510,5,17,,,Sandro Botticelli,italia,,,,,
critico,1952,5,8,,now,,,,,Vittorio Sgarbi,italia,,,,,
pittore,1825,11,30,,1905,8,19,,,William Adollphe Bouguereau,francia,,,,,
scultore,1757,11,1,,1822,10,13,,,Antonio Canova,italia,,,,,
pittore,1690,9,23,,1769,8,17,,,Giuseppe Bazzani,italia,,,,,
scultore,1925,9,22,,2018,9,23,,,Rachele Bianchi,italia,,,,,
scultore,1500,,,,?,,,,,Gabriele Caliari,italia,,,,,
scultore,1908,,,,2004,12,12,,,Ugo Carà,italia,,,,,
scultore,1946,4,27,,2011,10,12,,,Pietro Cerato,italia,,,,,
scultore,1960,9,3,,now,,,,,Francesco D'Alconzo,italia,,,,,
scultore,1400?,,,,?,,,,,Pietro da Porlezza,italia,,,,,
scultore,1100?,,,,1200?,,,,,Adamino da San Giorgio,italia,,,,,
scultore,1948,5,22,,2013,12,20,,,Enrico Fiore,italia,,,,,
scultore,1954,3,3,,now,,,,,Giorgio Laveri,italia,,,,,
scultore,1782,,,,1844,11,25,,,Claudio Monti,italia,,,,,
scultore,1898,,,,1975,,,,,Oddo Aliventi,italia,,,,,
scultore,1200?,,,,,,,,,Peregrinus,italia,,,,,
scultore,1470,,,,1528,,,,,Agnolo di Polo,italia,,,,,
scultore,1418,,,,1481,,,,,Agostino di Duccio,italia,,,,,
scultore,1460?,,,,1539,,,,,Domenico Aimo,italia,,,,,
scultore,1460,,,,1528,,,,,Pier Jacopo Alari Bonacolsi,italia,,,,,
scultore,1860,3,12,,1943,7,15,,,Achille Alberti,italia,,,,,
scultore,1900,,,,1995,,,,,Francesco Messina,italia,,,,,
scultore,1889,,,,1947,,,,,Arturo Martini,italia,,,,,
scultore,1858,,,,1928,,,,,Medaldo Rosso,italia,,,,,
scultore,1840,,,,1917,,,,,Auguste Rodin,francia,,,,,
scultore,1848,,,,1887,,,,,Ambrogio Borghi,,,,,,
scultore,1868,,,,1931,,,,,Adolfo Wildt,,,,,,
scultore,1876,,,,1957,,,,,Constantin Brancusi,romania,,,,,
scultore,1386,,,,1466,12,13,,,Donatello,italia,,,,,
scultore,1500,11,3,,1571,2,13,,,Benvenuto Cellini,italia,,,,,
scultore,1529,,,,1608,8,13,,,Giambologna,italia,,,,,
scultore,1598,12,7,,1680,11,28,,,Gian Lorenzo Bernini,italia,,,,,
scultore,1855,5,9,,1933,5,6,,,Francois Pompon,francia,,,,,
scultore,1861,10,30,,1929,10,1,,,Antoine Bourdelle,francia,,,,,
scultore,1861,12,8,,1944,9,27,,,Aristide Maillol,francia,,,,,
scultore,1864,12,8,,1943,10,19,,,Camille Claudel,francia,,,,,
scultore,1886,9,16,,1966,6,7,,,Jen Arp,francia,,,,,
scultore,1890,7,14,,1967,11,25,,,Ossip Zadkine,francia,,,,,
scultore,1898,7,22,,1976,11,11,,,Alexander Calder,america,,,,,
