Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
歴史の転換(古代ギリシア),-3200,,,,,,,,,青銅器時代(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-2000,,,,-1600,,,,,中期ミノア期(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-1600,,,,-1400,,,,,後期ミノア期(古代ギリシア),,,,,,
歴史の転換(エジプト),-1500,,,,,,,,,,,,,,,
歴史の転換(古代ギリシア),-1200,,,,,,,,,1200年のカタストロフ,,,,,,
歴史の転換(古代ギリシア),-1200,,,,-700,,,,,暗黒時代(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-900,,,,-700,,,,,幾何学模様期(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-800,,,,-500,,,,,アルカイック期(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-700,,,,,,,,,前古典期(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-550,,,,,,,,,ミレトス学派6世紀,タレス、アナクシマンドロス、アナクシマンドロス,,,,,
歴史の転換(古代ギリシア),-450,,,,-300,,,,,古典期(古代ギリシア),,,,,,
歴史の転換(古代ギリシア),-334,,,,-330,,,,,アレクサンドロス東方遠征,オリエントとギリシャの文化の融合これをヘレニズム文化といい、この中でヨーロッパに伝わったキリスト教的ユダヤ教的文化をヘブライズムと呼ぶ,,,,,
歴史の転換(錬金),-332,,,,,,,,,アレクサンドリアが作られる,アレクサンドロスがエジプトに作る,,,,,
歴史の転換(古代ギリシア),-300,,,,-100,,,,,ヘレニズム時代(古代ギリシア),,,,,,
歴史の転換(人種),375,,,,,,,,,ゲルマン民族大移動,フン族に追われゴート族の南下が始まり、それをきっかけにし大移動が始まる,,,,,
歴史の転換(科学),1445,,,,,,,,,活版印刷のはつめい,魔法書の流行,,,,,
人物(哲学),-624,,,,-546,,,,,タレス,アルケーは水,,,,,
人物(哲学),-610,,,,-546,,,,,アナクシマンドロス,アルケーは’’無限定者‘’アペイロン,,,,,
人物(哲学),-585,,,,-525,,,,,アナクシメネス,アルケーは空気(プネウマ)、アナクシマンドロスの弟子,,,,,
人物(哲学),-540,,,,-480,,,,,ヘラクレイトス,アルケーは火、世界は火みたいなもの,,,,,
人物(哲学),-582,,,,-496,,,,,ピタゴラス,アルケーは数,,,,,
人物(哲学),-490,,,,-430,,,,,エンペドクレス,今の四元素のはじまり、四つの根(リゾーマタ)愛(ピリア)憎(ネイコス),,,,,
人物(哲学),-460,,,,-370,,,,,デモクリトス,アルケーは’’不可分体’’アトモス,,,,,
人物(哲学),-427,,,,-347,,,,,プラトン,四元素をもとに五種類の正多面体と球体で世界が作られていると主張,,,,,
人物(哲学),205,,,,270,,,,,プロティノス,新プラトン主義を生み出す,,,,,
人物(哲学),,,,,,,,,,,,,,,,
