Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
山本関連事項,1943,10,3,,,,,,,東京・新宿に誕生。,,,,,,
山本関連事項,1944,8,,,,,,,,父・文雄が出征。後に戦死。,,,,,,
山本関連事項,1945,,,,,,,,,"母・冨美が文化服装学院に入学。
卒業後、仕立物の内職を経て、新宿・歌舞伎町に「フミ洋裁店」を開く。",,,,,,
山本関連事項,1955,,,,,,,,,新宿区立大久保小学校より、私立暁星小学校に編入（当時６年生）。,,,,,,
山本関連事項,1962,,,,,,,,,暁星高等学校卒業。,,,,,,
山本関連事項,1962,,,,,,,,,慶應義塾大学法学部入学。,,,,,,
山本関連事項,1965,6,,,1969,９,,,,友人とヨーロッパ旅行に出かける。,,,,,,
山本関連事項,1966,,,,,,,,,慶應義塾大学法学部卒業。,,,,,,
山本関連事項,1966,,,,,,,,,文化服装学院入学。,,,,,,
山本関連事項,1969,,,,,,,,,装苑賞・遠藤賞をW受賞。,,,,,,
山本関連事項,1969,,,,,,,,,文化服装学院卒業。,,,,,,
山本関連事項,1969,,,,1970,,,,,遠藤賞副賞のパリ旅行に出かける。,,,,,,
山本関連事項,1970,,,,,,,,,母の洋裁店を手伝い始める。,,,,,,
山本関連事項,1972,,,,,,,,,株式会社ワイズ設立。,,,,,,
山本関連事項,1977,,,,,,,,,Y’ｓにて、東京コレクションにデビュー。,,,,,,
山本関連事項,1979,,,,,,,,,メンズラインY's for menをスタート,,,,,,
山本関連事項,1981,,,,,,,,,Yohji Yamamotoにて、パリ・プレタポルテコレクションにデビュー。,,,,,,
山本関連事項,1982,10,,,,,,,,1983年春夏コレクションをパリにて発表（「黒の衝撃」）。,,,,,,
山本関連事項,1989,,,,,,,,,『都市とモードのビデオノート』（ヴィム・ヴェンダース監督）に出演。,,,,,,
山本関連事項,1991,6,,,,,,,,COMME des GARCONSと合同ファッションショー「６・１ THE MEN」を東京で開催。,,,,,,
山本関連事項,1993,,,,,,,,,ハイナー・ミュラー演出のオペラ「トリスタンとイゾルデ」の衣装をデザイン。,,,,,,
山本関連事項,1994,,,,,,,,,1994-95年秋冬コレクションを発表。着物をテーマに取り入れる。,,,,,,
山本関連事項,1996,,,,,,,,,1997年春夏コレクションを発表。ココ・シャネルなど、フランスの著名デザイナーをテーマに取り上げる。,,,,,,
山本関連事項,2002,,,,,,,,,アディダスとの協業ブランド、Y-3を開始。,,,,,,
山本関連事項,2002,10,12,,,,,,,『Dolls』（北野武監督）の衣装をデザイン。その他多くの北野作品の衣装に関わる。,,,,,,
山本関連事項,2009,10,9,,,,,,,株式会社ヨウジヤマモトが民事再生法の適用を申請。,,,,,,
山本関連事項,2010,4,1,,,,,,,「THE MEN 4.1 TOKYO」にて、東京で19年ぶりにメンズコレクションを発表。,,,,,,
山本関連事項,2011,,,,,,,,,英国ヴィクトリア&アルバート美術館にて、「ヨウジヤマモト展」開催。,,,,,,
山本関連事項,2011,,,,,,,,,仏芸術文化勲章の最高位「コマンドゥール」受賞。,,,,,,
山本関連事項,2016,,,,,,,,,"2017年春夏メンズコレクションを発表。
以降のコレクションで、強烈なメッセージプリントが登場。",,,,,,
コレクション,1981,,,,,,,,,1981-82年秋冬コレクション,,,https://dazedimg-dazedgroup.netdna-ssl.com/708/azure/dazed-prod/940/2/942083.jpg,http://origin.dazeddigital.com/fashion/gallery/14064/6/yohji-yamamoto-in-israel,,
コレクション,1982,,,,,,,,,1983年春夏コレクション,,,https://i.pinimg.com/originals/32/af/8b/32af8bc70a99a449a96430fcca619f9e.jpg,https://www.pinterest.jp/pin/670754938228244939/?lp=true,,
コレクション,1991,,,,,,,,,1991-92年秋冬メンズコレクション,「６・１ THE MEN」でも発表。,,https://66.media.tumblr.com/d6eacf5b4605ccce5b9c6ada7f7cd208/tumblr_okka5hKpLF1s487d6o1_1280.png,https://archivings.net/tagged/Yohji+Yamamoto/page/3,,
コレクション,1994,,,,,,,,,1994-95年秋冬コレクション,,,http://img1.gtimg.com/luxury/pics/hv1/116/129/1022/66488561.jpg,https://luxury.qq.com/a/20120421/000008_2.htm,,
コレクション,1996,,,,,,,,,1997年春夏コレクション,,,https://66.media.tumblr.com/cd0f653e92b9b0d0d047cf6c9e58779d/tumblr_muzio37Mzq1s487d6o1_1280.png,https://archivings.net/post/65168215412/yohji-yamamoto-springsummer-1997,,
コレクション,2010,,,,,,,,,2010-11年秋冬メンズコレクション,「THE MEN 4.1 TOKYO」でも発表。,,https://www.fashion-press.net/img/news/927/yohjiyamamoto02.jpg,https://www.fashion-press.net/collections/83,,
コレクション,2016,,,,,,,,,2017年春夏メンズコレクション,,,https://www.fashion-press.net/img/news/24372/YohjiYamamoto_2017ss_mens_042.jpg,https://www.fashion-press.net/collections/gallery/24372/423286,,
コレクション,2017,,,,,,,,,2018年春夏メンズコレクション,,,https://www.fashion-press.net/img/news/31639/yohji_18ss_11.jpg,https://www.fashion-press.net/collections/gallery/31639/543173,,
コレクション,2018,,,,,,,,,2018-19秋冬メンズコレクション,,,https://www.fashion-press.net/img/news/36374/u3w.jpg,https://www.fashion-press.net/collections/gallery/36374/623625,,
コレクション,2018,,,,,,,,,2019年春夏メンズコレクション,,,https://www.fashion-press.net/img/news/40779/yohji_19ss_63.jpg,https://www.fashion-press.net/collections/gallery/40779/699312,,
コレクション,2019,,,,,,,,,2019-20年秋冬メンズコレクション,,,https://www.fashion-press.net/img/news/46218/yohji_19aw_31.jpg,https://www.fashion-press.net/collections/gallery/46218/796210,,
コレクション,2019,,,,,,,,,2019-20年秋冬コレクション,,,,,,
