Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
時代,1603,,,,1868,,,,,江戸時代,,,,,background,red
時代,1868,,,,1912,,,,,明治,,,,,background,green
時代,1912,,,,1926,,,,,大正,,,,,background,blue
時代,1926,,,,1989,,,,,昭和,,,,,background,red
時代,1989,,,,2019,,,,,平成,,,,,background,green
時代,2019,,,,now,,,,,令和,,,,,background,blue
出来事,1701,,,,,,,,,赤穂事件,,,,,point,green
出来事,1923,9,1,,,,,,,関東大震災,,,,,point,green
出来事,1945,,,,,,,,,終戦,,,,,point,green
歌舞伎作者,1755,,,,1829,,,,,四代目 鶴屋南北,,,,,,"
"
歌舞伎作者,1816,,,,1893,,,,,河竹黙阿弥,,,,,,"
"
演目,1862,3,,,,,,,,青砥稿花紅彩画,,,,,point,
,1660,,,,1704,,,,,初代 市川團十郎,,,,,,red
,1688,,,,1758,,,,,二代目 市川團十郎,,,,,,red
,1721,,,,1742,,,,,三代目 市川團十郎,,,,,,red
,1711,,,,1778,,,,,四代目 市川團十郎 (二代目 松本幸四郎),,,,,,red
,1741,,,,1804,,,,,五代目 市川團十郎 (三代目 松本幸四郎),,,,,,red
,1778,,,,1799,,,,,六代目 市川團十郎,,,,,,red
,1791,,,,1859,,,,,七代目 市川團十郎,,,,,,red
,1823,,,,1854,,,,,八代目 市川團十郎,,,,,,red
,1838,,,,1903,,,,,九代目 市川團十郎,團菊左,,,,,red
,1882,,,,1956,,,,,十代目 市川團十郎,,,,,,red
,1909,,,,1965,,,,,十一代目 市川團十郎 (九代目 市川海老蔵),「花の海老様」,,,,,red
,1946,,,,2013,,,,,十二代目 市川團十郎,,,,,,red
,1717,,,,1783,,,,,初代 尾上菊五郎,,,,,,green
,1784,,,,1849,,,,,三代目 尾上菊五郎,,,,,,green
,1844,,,,1903,,,,,五代目 尾上菊五郎,團菊左,,,,,green
,1885,,,,1949,,,,,六代目 尾上菊五郎,菊吉時代、「六代目」,,,,,green
,1915,,,,1995,,,,,七代目 尾上梅幸,,,,,,orange
,1942,,,,now,,,,,七代目 尾上菊五郎,,,,,,green
,1842,,,,1904,,,,,初代 市川左團次,團菊左,,,,,blue
,1880,,,,1940,,,,,二代目 市川左團次,,,,,,blue
,1898,,,,1969,,,,,三代目 市川左團次,,,,,,blue
,1940,,,,now,,,,,四代目 市川左團次,,,,,,blue
,1812,,,,1866,,,,,四代目 市川小團次,,,,,,
,1674,,,,1730,,,,,初代 松本幸四郎,,,,,,black
,1737,,,,1802,,,,,四代目 松本幸四郎,,,,,,black
,1764,,,,1838,,,,,五代目 松本幸四郎,,,,,,black
,1811,,,,1849,,,,,六代目 松本幸四郎,,,,,,black
,1870,,,,1949,,,,,七代目 松本幸四郎,,,,,,black
,1910,,,,1982,,,,,八代目 松本幸四郎 (初代 松本白鸚),,,,,,black
,1942,,,,now,,,,,九代目 松本幸四郎 (二代目 松本白鸚),,,,,,black
,1973,,,,now,,,,,十代目 松本幸四郎,,,,,,black
,1886,,,,1954,,,,,初代 中村吉右衛門,菊吉時代,https://ja.wikipedia.org/wiki/中村吉右衛門_(初代),"
",,range,
,1944,,,,now,,,,,二代目 中村吉右衛門,"
",,,,,
