Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
誕生日,-100,5,29,,,,,,2000年以上前,スノウ,,,,,,
誕生日,-100,5,29,,,,,,2000年以上前,ホワイト,,,,,,
誕生日,100,6,5,,,,,,2000年くらい前,フィガロ,故郷の村が雪崩で滅ぶ,,,,,
誕生日,120,,,,,,,,1000~2000年前,オズ,北の国に城を持つ,,,,,
誕生日,800,2,8,,,,,,オズとフィガロより若い,ミスラ,"死者の渡し守
チレッタに魔法使いだと教わる",,,,,
誕生日,1500,9,8,,,,,,400年以上前,ネロ,"北の生まれ
元死の盗賊団
足を洗って東に店を開く",,,,,
誕生日,1200,10,14,,,,,,"オーエンよりは上
ムルと同世代",シャイロック,"ベネットの酒場を運営
ムルに故郷を壊されている",,,,,
誕生日,1200,2,11,,,,,,シャイロックと同世代,ムル,宝石商・哲学者・鉱物学者・天文学者・数学者・発明家・名誉教授,,,,,
誕生日,1500,3,19,,,,,,,ラスティカ,"消えた花嫁を探している
クロエの師匠",,,,,
誕生日,1600,5,16,,,,,,400年以上前,レノックス,"炭鉱で暴動が起きてレノックスの父が死ぬ
アレクの軍に合流
ファウストの従者になる
羊飼い",,,,,
誕生日,1650,1,13,,,,,,400年前,ファウスト,"母と妹
アレクと革命を起こす
唆されて処刑されてひきこもりに
呪い屋",,,,,
誕生日,2000,11,12,,,,,,,クロエ,姉にいじめられていた,,,,,
誕生日,2000,7,1,,,,,,,ルチル,教師,,,,,
誕生日,2002,6,29,,,,,,,ヒースクリフ,ブランシェット城の子息,,,,,
誕生日,2003,,,,,,,,,アーサー,グランウェル城の王子,,,,,
誕生日,2003,4,14,,,,,,,シノ,,,,,,
誕生日,2004,10,2,,,,,,,リケ,教団に育てられた,,,,,
誕生日,2005,12,15,,,,,,,ミチル,南の国を全滅させると予言された,,,,,
誕生日,2002,8,6,,,,,,,カイン,グランウェル城元騎士団長,,,,,
誕生日,1000,11,1,,,,,,？,オーエン,"100年以上閉じ込められていた？
過去の記憶がない
動物と話せる",,,,,
誕生日,1300,12,13,,,,,,700年前,ブラッドリー,死の盗賊団頭,,,,,
出来事,1300,,,,,,,,700年前,ベネットの酒場開店,,,,,,
出来事,1000,,,,1400,,,,,世界征服,"オズが自由が欲しくて開始
フィガロと共に計画
半分でやめたので権力争いが勃発",,,,,
出来事,1400,,,,,,,,,ホワイトの死,"ムルが「一生孤独を知らなくていいのか」とスノウに持ちかける
シャイロックがオズの城に謝罪",,,,,
出来事,2005,,,,,,,,,チレッタの死,,,,,,
出来事,1660,,,,1670,,,,？,中央の国で革命,ファウスト、フィガロの弟子になる,,,,,
出来事,1800,,,,,,,,？,ネロ、盗賊団から足を洗う,,,,,,
出来事,1800,,,,,,,,？,ブラッドリー逮捕,,,,,,
出来事,400,,,,,,,,数百年前？,禁煙ブーム,,,,,,
出来事,2007,,,,2016,,,,,アーサーが北の山に捨てられる,2016~オズがふさぎこんだ影響で猛吹雪,,,,,
出来事,1700,,,,,,,,300年前,ファウスト呪い屋を始める,,,,,,
出来事,1900,,,,,,,,？,フィガロ南の国を開拓,,,,,,
出来事,1950,,,,,,,,？,レノックス南に定住,,,,,,
出来事,2019,,,,,,,,？,ムルの魂が砕ける,,,,,,
