Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Marineland of the Pacific（1987年閉業）,1961,11,19,,1961,11,20,,,"★ Wanda, F, WC, 推定年齢7-10歳","カナダBC '61/11, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Wanda,,,,
Marineland of the Pacific（1987年閉業）,1967,7,29,,1969,7,,,,"★ Orky, M, WC, 推定年齢6歳","カナダBC '61/7, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Orky,,,,
Marineland of the Pacific（1987年閉業）,1968,5,13,,1970,12,5,,,"★ Corky, F, WC, 推定年齢5歳","カナダBC '61/4, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Corky,,,,
Marineland of the Pacific（1987年閉業）,1968,5,13,,1987,1,21,,,"Orky 2, M, WC","カナダBC '68/4, Marineland of PacificからSan Diegoへ移動, '88/9/26 San Diegoで死亡, 推定年齢26歳",https://orcapod.fandom.com/wiki/Category:Orky_2,,,,
Marineland of the Pacific（1987年閉業）,1969,12,28,,1987,1,21,,,"Corky 2, F, WC","カナダBC '69/12, Marineland of PacificからSan Diegoへ移動, San Diegoにて生存中, 推定年齢52歳",https://orcapod.fandom.com/wiki/Category:Corky_2,,,,
Marineland of the Pacific（1987年閉業）,1969,12,28,,1971,8,4,,,"★ Patches, F, WC, 推定年齢2歳","カナダBC '69/12, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Patches,,,,
Marineland of the Pacific（1987年閉業）,1969,12,28,,1972,5,20,,,"★ Kenny, M, WC, 推定年齢6歳","カナダBC '69/12, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Kenny,,,,
Marineland of the Pacific（1987年閉業）,1977,2,28,,1977,3,16,,,"★ Corky 2の子, M, CB, 18日齢","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Corky_2%27s_Calf_(1977),,,,
Marineland of the Pacific（1987年閉業）,1978,10,31,,1978,11,10,,,"★ Spooky, M, CB, 11日齢","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Spooky,,,,
Marineland of the Pacific（1987年閉業）,1980,4,1,,,,,,,"★ Corky 2の子, 性別不明, CB, 死産","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Corky_2%27s_Stillborn_(1980),,,,
Marineland of the Pacific（1987年閉業）,1982,6,16,,1982,8,3,,,"★ Kiva, F, CB, 1ヶ月齢","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Kiva,,,,
Marineland of the Pacific（1987年閉業）,1985,7,22,,1985,9,1,,,"★ Corky 2の子, F, CB, 1ヶ月齢","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Corky_2%27s_Calf_(1985),,,,
Marineland of the Pacific（1987年閉業）,1986,7,27,,,,,,,"★ Corky 2の子, 性別不明, CB, 流産","Corky 2 × Orky 2, 100% Northern Resident, Marineland of Pacificで死亡",https://orcapod.fandom.com/wiki/Category:Corky_2%27s_Miscarriage_(1986),,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1964,7,19,,1964,10,9,,,"★ Moby Doll, M, WC, 推定年齢5-7歳","米国WA '64/7, Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Moby_Doll,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1967,3,20,,1980,10,5,,,"★ Skana, F, WC, 推定年齢17歳","米国 '67/2, Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Skana,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1968,4,,,1968,11,,,,"★ Natsidalia, F, WC, 推定年齢8歳","カナダBC '68/4, Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Natsidalia,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1968,4,,,1991,2,16,,,"★ Hyak 2, M, WC, 推定年齢24歳","カナダBC '68/4, Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Hyak_2,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1980,12,20,,2001,4,21,,,"Bjossa, F, WC","アイスランド '80/11, Hafnarfjordur Aq. → Vancouver Aq. → San Diegoへ移動, '01/10 San Diegoで死亡, 推定年齢24歳",https://orcapod.fandom.com/wiki/Category:Bjossa,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1980,12,20,,1997,10,6,,,"★ Finna, M, WC, 推定年齢20歳","アイスランド '80/11, Hafnarfjordur Aq. → Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Finna,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1980,12,20,,1981,3,15,,,"Vigga, F, WC","アイスランド '80/11, Hafnarfjordur Aq. → Vancouver Aq. → Marine World Californiaへ移動, '00/8/14 Marine World Californiaで死亡, 推定年齢20歳",https://orcapod.fandom.com/wiki/Category:Vigga,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1980,12,20,,1981,1,,,,"Benkei 2（ウシワカ）, M, WC","アイスランド '80/10, Hafnarfjordur Aq. → Vancouver Aq. → アドベンへ移動, '83/7 アドベンで死亡, 推定年齢3歳",https://orcapod.fandom.com/wiki/Category:Benkei_2,,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1988,11,13,,1988,12,4,,,"★ Bjossaの子, F, CB","Bjossa × Hyak 2, 50% Icelandic, 50% Northern Resident,  Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Bjossa%27s_Calf_(1988),,,,
"Vancouver Aquarium（2000年にシャチの飼育展示を終了, 2018年に鯨類の飼育展示を終了）",1991,9,30,,1992,1,4,,,"★ K'yohsa, F, CB","Bjossa × Hyak 2, 50% Icelandic, 50% Northern Resident,  Vancouver Aq.で死亡",https://orcapod.fandom.com/wiki/Category:K%27yosha,,,,
Seattle Marine Aquarium,1965,,,,1966,,,,,"★ Name, 性別不明, WC, 年齢不明","詳細不明, Seattle Marine Aq.で飼育",https://en.wikipedia.org/wiki/Seattle_Marine_Aquarium,,,,
Seattle Marine Aquarium,1965,,,,1967,5,,,,"★ Katy, F, WC, 推定年齢1歳","米国WA '67/2, Seattle Marine Aq.で死亡",https://orcapod.fandom.com/wiki/Category:Katy,,,,
Seattle Marine Aquarium,1965,,,,1965,12,20,,,"Shamu, F, WC","米国WA '65/10, San Diegoへ移動, '71/8/29 San Diegoで死亡, 推定年齢10歳",https://orcapod.fandom.com/wiki/Category:Shamu,,,,
Seattle Marine Aquarium,1967,,,,1967,3,11,,,"Kilroy, M, WC","米国WA '67/2, San Diegoへ移動, '78/9/23 San Diegoで死亡, 推定年齢12歳",https://orcapod.fandom.com/wiki/Category:Kilroy,,,,
Seattle Marine Aquarium,1967,,,,1969,12,16,,,"Kandu, F, WC","米国WA '67/2, San Diegoへ移動, '71/6/16 Auroraで死亡, 推定年齢5歳",https://orcapod.fandom.com/wiki/Category:Kandu,,,,
