Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アトモス,1985,6,,,,,,,,トラベリング・メディスン・ショー　スタート,,,,,,
アトモス,1985,6,,,,,,,,キャッスル・ハプニング　スタート,,,,,,
アニバーサリー,1983,4,15,,,,,,,東京ディズニーランド　グランド・オープニング,,,,,,
アニバーサリー,1984,4,15,,,,,,,1周年,,,,,,
アニバーサリー,1985,4,15,,,,,,,2周年,,,,,,
アニバーサリー,1986,4,15,,,,,,,3周年,,,,,,
アニバーサリー,1987,4,15,,,,,,,4周年,,,,,,
アニバーサリー,1988,4,15,,,,,,,5周年,,,,,,
アニバーサリー,1989,4,15,,,,,,,6周年,,,,,,
アニバーサリー,1990,4,15,,,,,,,7周年,,,,,,
アニバーサリー,1991,4,15,,,,,,,8周年,,,,,,
アニバーサリー,1992,4,15,,,,,,,9周年,,,,,,
アニバーサリー,1993,4,15,,,,,,,10周年,,,,,,
アニバーサリー,1994,4,15,,,,,,,11周年,,,,,,
アニバーサリー,1995,4,15,,,,,,,12周年,,,,,,
アニバーサリー,1996,4,15,,,,,,,13周年,,,,,,
アニバーサリー,1997,4,15,,,,,,,14周年,,,,,,
アニバーサリー,1998,4,15,,,,,,,15周年,,,,,,
アニバーサリー,1999,4,15,,,,,,,16周年,,,,,,
アニバーサリー,2000,4,15,,,,,,,17周年,,,,,,
アニバーサリー,2001,4,15,,,,,,,18周年,,,,,,
アニバーサリー,2002,4,15,,,,,,,19周年,,,,,,
アニバーサリー,2003,4,15,,,,,,,20周年,,,,,,
アニバーサリー,2004,4,15,,,,,,,21周年,,,,,,
アニバーサリー,2005,4,15,,,,,,,22周年,,,,,,
アニバーサリー,2006,4,15,,,,,,,23周年,,,,,,
アニバーサリー,2007,4,15,,,,,,,24周年,,,,,,
アニバーサリー,2008,4,15,,,,,,,25周年,,,,,,
アニバーサリー,2009,4,15,,,,,,,26周年,,,,,,
アニバーサリー,2010,4,15,,,,,,,27周年,,,,,,
アニバーサリー,2011,4,15,,,,,,,28周年,,,,,,
アニバーサリー,2012,4,15,,,,,,,29周年,,,,,,
アニバーサリー,2013,4,15,,,,,,,30周年,,,,,,
アニバーサリー,2014,4,15,,,,,,,31周年,,,,,,
アニバーサリー,2015,4,15,,,,,,,32周年,,,,,,
アニバーサリー,2016,4,15,,,,,,,33周年,,,,,,
アニバーサリー,2017,4,15,,,,,,,34周年,,,,,,
アニバーサリー,2018,4,15,,,,,,,35周年,,,,,,
アニバーサリー,1983,4,,,,,,,,ナイト・オブ・1000スターズ,日付不明。開園披露のスペシャルショー。パット・ブーンなど特別ゲストを含めて600人あまりが出演。1000発の花火がフィナーレを飾る。,,,,,
イベント　①春,1984,3,3,,1984,3,18,,,レッツ・スプリング,,,,,,
イベント　①春,1986,3,8,,1986,3,16,,,アリス・スプリング・フェスティバル,,,,,,
イベント　①春,1986,5,11,,,,,,,1000人のママさんコーラス大合唱,,,,,,
イベント　②夏,1986,5,17,,1986,5,26,,,フェスティバル・アメリカ,,,,,,
イベント　②夏,1986,5,31,,1986,6,15,,,ドナルドダックの冒険,,,,,,
イベント　②夏,1984,6,4,,1984,6,10,,,ハッピーバースデー・ドナルド,,,,,,
イベント　②夏,1985,6,1,,1985,6,16,,,ハッピーバースデー・ドナルド,,,,,,
イベント　②夏,1983,7,1,,1983,7,4,,,セレブレート・アメリカ,,,,,,
イベント　②夏,1983,7,15,,now,,,,,レーザーマジック,,,,,,
イベント　②夏,1985,7,4,,1985,7,7,,,フェスティバル・アメリカ,,,,,,
イベント　②夏,1986,7,11,,1986,7,25,,,シンデレラ城の謎,,,,,,
イベント　③秋,1983,9,23,,1983,9,25,,,ALL THAT JAZZ イン東京ディズニーランド,,,,,,
イベント　③秋,1986,9,15,,1986,9,28,,,スーパースターライト,,,,,,
イベント　③秋,1985,10,4,,1985,10,13,,,ワールド・フェスティバル,,,,,,
イベント　③秋,1986,10,17,,1986,10,26,,,ワールド・フェスティバル,,,,,,
イベント　③秋,1983,11,18,,1983,11,23,,,ハッピーバースデー・ミッキー,,,,,,
イベント　③秋,1984,11,3,,1984,11,28,,,ハッピーバースデー・ミッキー,,,,,,
イベント　③秋,1985,11,1,,1985,11,30,,,ハッピーバースデー・ミッキー,,,,,,
イベント　③秋,1986,11,8,,1986,11,24,,,WE　LOVE　ミッキーマウス,,,,,,
イベント　④冬,1984,1,1,,1984,1,8,,,ニューイヤーズ・ホリデー,,,,,,
イベント　④冬,1984,1,14,,1984,1,16,,,VIVA! 20,,,,,,
イベント　④冬,1984,2,9,,1984,2,13,,,ラブリー・バレンタイン,,,,,,
