Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,552,,,,,,,,,仏教伝来,『日本書紀』,,,,,
出来事,538,,,,,,,,,仏教伝来,『上宮聖徳法王帝説』,,,,,
出来事,615,,,,,,,,,『法華義疏』,伝 聖徳太子 著,,,,,
出来事,577,,,,,,,,,『法華経』伝来,,,,,,
出来事,606,,,,,,,,,聖徳太子、『法華経』講讃,,,,,,
祖師・先徳,766,,,,822,,,,,傳教大師最澄,一説に767年生誕,,,,,
出来事,766,,,,,,,,,最澄、生誕,近江国滋賀郡古市郷、三津首百枝の家に生まれる,,,,,
出来事,778,,,,,,,,,最澄、出家,近江国国分寺にて、行表の弟子となる,,,,,
出来事,780,,,,,,,,,最澄、得度,近江国国分寺の欠員により、得度。最澄と改める。,,,,,
出来事,785,,,,,,,,,最澄、具足戒を受ける,東大寺で具足戒を受け、比丘となる,,,,,
出来事,785,,,,,,,,,最澄、比叡山入山,比叡山における山林修行を始める,,,,,
出来事,788,,,,,,,,,最澄、一乗止観院を創建,自刻の薬師仏を本尊とする草庵を結ぶ,,,,,
出来事,797,,,,,,,,,最澄、内供奉十禅師に任ぜられる,,,,,,
出来事,801,,,,,,,,,法華十講奉修,於比叡山一乗止観院,,,,,
出来事,802,,,,,,,,,最澄、高雄山寺法華会講師を勤める,和気広世・真綱の招きによる,,,,,
出来事,802,,,,,,,,,最澄、還学生に選ばれる,,,,,,
出来事,803,4,,,,,,,,難波を発つも、暴風雨に遭う,,,,,,
出来事,804,7,,,,,,,,肥前国田浦を発つ,,,,,,
出来事,804,9,,,,,,,,中国明州に着く,,,,,,
出来事,804,9,,,,,,,,台州にて、道邃に会う,天台法門の書写を受け、修学,,,,,
出来事,804,10,,,,,,,,天台山国清寺に入る,行満より天大教学を受ける,,,,,
出来事,805,3,,,,,,,,道邃より菩薩戒を授かる,惟象より大仏頂曼荼羅供養法、翛然より牛頭禅を受ける,,,,,
出来事,805,4,,,,,,,,順暁より三昧耶灌頂を受ける,,,,,,
出来事,805,5,18,,,,,,,明州を出航,,,,,,
出来事,805,6,,,,,,,,肥前に到着,,,,,,
出来事,805,7,4,,,,,,,帰朝の報告,230部460巻の経典、論書、密教儀軌、道具などを伝える,,,,,
出来事,805,9,,,,,,,,高雄山神護寺にて灌頂,桓武天皇の要請により、日本最初の公式な灌頂が行われる,,,,,
出来事,806,1,,,,,,,,天台宗に年分度者が認められる,最澄の上表による再編。天台には、止観業、遮那業各1名が認められる。,,,,,
出来事,812,,,,,,,,,高雄山寺にて、両部の灌頂を受ける,弟子と共に、空海から,,,,,
