Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,5,1,,now,,,,2019-,,,,,,,
日本の年号,1989,1,8,,2019,4,30,,1989-2019,平成,,,,,,
日本の年号,1926,12,25,,1989,1,7,,1926-1989,昭和,,,,,,
日本の年号,1912,7,30,,1926,12,25,,1912-1926,大正,,,,,,
日本の年号,1868,10,23,,1912,7,30,,1868-1912,明治,,,,,,
日本,1866,12,,,,,,,,漢字御廃止の議,前島密が徳川慶喜に奉る,,,,,
アメリカ,1995,,,,,,,,,Windows95の発売,,,,,,
日本,1887,,,,,,,,,『浮雲』の発表,二葉亭四迷。「だ」調。初めての話し言葉文学。,,,,,
ヨーロッパ,1789,7,14,,,,,,,フランス革命,,,,,,
日本,1868,3,14,,,,,,,五箇条の御誓文,明治政府が発表。漢字カナ交じり文。公用文として画期的。,,,,,
ヨーロッパ,1844,10,15,,1900,8,25,,,フリードリヒ・ニーチェ,,,,,,
ヨーロッパ,1887,11,,,,,,,,道徳の系譜,執筆・交刊。ニーチェ。,,,,,
ヨーロッパ,1855,7,26,,1936,4,9,,,フェルディナンド・テンニース,,,,,,
ヨーロッパ,1887,,,,,,,,,ゲマインシャフトとゲゼルシャフト,フェルディナンド・テンニース。,,,,,
日本,1996,4,11,,now,,,,,藤井一樹,,,,,,
アメリカ,1925,4,10,,,,,,,グレート・ギャツビー,グレート・ギャツビーが出版される。,,,,,
ヨーロッパ,1930,,,,,,,,,大衆の反逆,発行。ホセ・オルテガ・イ・ガゼット。,,,,,
ヨーロッパ,1916,,,,,,,,,一般言語学講義,出版。1906-1911のソシュールの講義を、シャルル・バイイとアルベール・セシュエが編集したもの。,,,,,
日本,1867,2,9,,1916,12,9,,,夏目漱石,,,,,,
ヨーロッパ,1632,11,24,,1677,2,21,,,バールーフ・デ・スピノザ,,,,,,
ヨーロッパ,1858,3,1,,1918,9,28,,,ゲオルク・ジンメル,,,,,,
ヨーロッパ,1687,,,,,,,,,プリンキピア,初版発行。第二版は1713年、第三版は1726年。,,,,,
ヨーロッパ,1642,12,25,,1727,3,20,,,アイザック・ニュートン,,,,,,
ヨーロッパ,1596,3,31,,1650,2,11,,,ルネ・デカルト,,,,,,
ヨーロッパ,1637,,,,,,,,,方法序説,公刊。ルネ・デカルト。,,,,,
ヨーロッパ,1571,12,27,,1630,11,15,,,ヨハネス・ケプラー,,,,,,
ヨーロッパ,1473,2,19,,1543,5,24,,,ニコラウス・コペルニクス,,,,,,
ヨーロッパ,1648,,,,,,,,,ヴェストファーレン条約,近代における元祖の国際法。三十年戦争の講和条約。「ここから近代がはじまった」byソ連科学アカデミーの『世界史』,,,,,
ヨーロッパ,1947,,,,,,,,,啓蒙の弁証法,ホルクハイマー・アドルノ共著。アムステルダムで出版。,,,,,
ヨーロッパ,1930,,,,,,,,,幸福論,出版。バートランド・ラッセル。,,,,,
ヨーロッパ,1834,,,,1896,,,,,ウィリアム・モリス,イギリスに社会主義を導入。革命後にどうしたら良いかの問題を提起した。アーツ・アンド・クラフツ運動。,,,,,
ヨーロッパ,1623,,,,1662,,,,,ブレーズ・パスカル,,,,,,
ヨーロッパ,1809,,,,1882,,,,,チャールズ・ダーウィン,,,,,,
