Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の時代,1603,,,,1867,12,31,,,江戸時代,,,,,background,red
日本の年号,1989,1,8,,2019,4,30,,,平成,,,,,background,blue
日本の年号,1926,12,25,,1989,1,8,,,昭和,,,,,background,green
日本の年号,1912,12,23,,1926,12,25,,,大正,,,,,background,yellow
日本の年号,1868,1,1,,1912,12,23,,,明治,,,,,background,cyan
日本の年号,1159,5,9,,1160,2,18,,,平治,,,,,background,violet
日本の年号,1558,3,18,,1570,5,27,,,永禄,,,,,background,orange
日本の年号,1615,9,5,,1624,4,17,,,元和,,,,,background,pink
日本の年号,1555,11,7,,1558,3,18,,,弘治,,,,,background,red
日本の年号,1531,8,29,,1555,11,7,,,天文,,,,,background,blue
日本の年号,1570,5,27,,1573,8,25,,,元亀,,,,,background,red
日本の年号,1573,8,25,,1593,1,10,,,天正,,,,,background,blue
日本の年号,1593,1,10,,1596,12,16,,,文禄,,,,,background,green
日本の年号,1596,12,16,,1615,9,5,,,慶長,,,,,background,yellow
日本の年号,1624,4,17,,1645,1,13,,,寛永,,,,,background,cyan
日本の年号,1645,1,13,,1648,4,7,,,正保,,,,,background,violet
日本の年号,1648,4,7,,1652,10,20,,,慶安,,,,,background,orange
日本の年号,1652,10,20,,1655,5,18,,,承応,,,,,background,pink
日本の年号,1655,5,18,,1658,8,21,,,明暦,,,,,background,red
日本の年号,1658,8,21,,1661,5,23,,,万治,,,,,background,blue
日本の年号,1661,5,23,,1673,10,30,,,寛文,,,,,background,green
日本の年号,1673,10,30,,1681,11,9,,,延宝,,,,,background,yellow
日本の年号,1681,11,9,,1684,4,5,,,天和,,,,,background,cyan
日本の年号,1684,4,5,,1688,10,23,,,貞享,,,,,background,violet
日本の年号,1688,10,23,,1704,4,16,,,元禄,,,,,background,orange
日本の年号,1704,4,16,,1711,6,11,,,宝永,,,,,background,pink
日本の年号,1711,6,11,,1716,8,9,,,正徳,,,,,background,red
日本の年号,1716,8,9,,1736,6,7,,,享保,,,,,background,blue
日本の年号,1736,6,7,,1741,4,12,,,元文,,,,,background,green
日本の年号,1741,4,12,,1744,4,3,,,寛保,,,,,background,yellow
日本の年号,1744,4,3,,1748,8,5,,,延享,,,,,background,cyan
日本の年号,1748,8,5,,1751,12,14,,,寛延,,,,,background,violet
日本の年号,1751,12,14,,1764,6,30,,,宝暦,,,,,background,orange
日本の年号,1764,6,30,,1772,12,10,,,明和,,,,,background,pink
日本の年号,1772,12,10,,1781,4,25,,,安永,,,,,background,red
日本の年号,1781,4,25,,1789,2,19,,,天明,,,,,background,blue
日本の年号,1789,2,19,,1801,3,19,,,寛政,,,,,background,green
日本の年号,1801,3,19,,1804,3,22,,,享和,,,,,background,yellow
日本の年号,1804,3,22,,1818,5,26,,,文化,,,,,background,cyan
日本の年号,1818,5,26,,1831,1,23,,,文政,,,,,background,violet
日本の年号,1831,1,23,,1848,4,1,,,弘化,,,,,background,orange
日本の年号,1848,4,1,,1855,1,15,,,嘉永,,,,,background,pink
日本の年号,1855,1,15,,1860,4,8,,,安政,,,,,background,red
日本の年号,1860,4,8,,1861,3,29,,,万延,,,,,background,blue
日本の年号,1861,3,29,,1864,3,27,,,文久,,,,,background,green
日本の年号,1864,3,27,,1865,5,1,,,元治,,,,,background,yellow
日本の年号,1865,5,1,,1868,10,23,,,慶応,,,,,background,cyan
日本の合戦,1561,,,,,,,,,第4次川中島合戦(永禄四年）,川中島合戦最激戦の会戦,,,,,
武田家武将,1521,,,,1573,,,,,武田信玄,,,,,,
上杉家武将,1530,,,,1578,,,,,上杉謙信,,,,,,
日本の思想家,1781,,,,1832,,,,,頼山陽,日本外史 の著者 国史学者,,,,,
徳川家武将,1543,,,,1616,,,,,徳川家康,,,,,,
豊臣家武将,1536,,,,1598,,,,,豊臣秀吉,,,,,,
武田家武将,1527,,,,1578,,,,,香坂昌信,甲陽軍鑑 天正3～5  武田家臣,,,,,
武田家武将,1493,,,,1561,,,,,山本勘助,武田家の軍師,,,,,
上杉家武将,1489,,,,1564,,,,,宇佐美定満,上杉家の軍師,,,,,
日本の乱,1159,,,,,,,,,平治の乱（平治元年),,,,,,
日本の書籍,1532,,,,,,,,,犬筑波集(天文二年),連歌集,,,,,
世界の書籍,1832,,,,,,,,,戦争論,クラウゼウィツ,,,,,
日本の合戦,1584,,,,,,,,,小牧・長久手の戦い (天正十二年),羽柴秀吉（豊臣）と徳川家康の合戦,,,,,
日本の思想家,1572,,,,1663,,,,,小幡景憲,甲陽軍鑑の編者,,,,,
日本の思想家,1860,,,,1919,,,,,田中義成,国史学者,,,,,
日本の書籍,1586,,,,,,,,,甲陽軍鑑,天正14年 春日惣次郎（香坂昌信の甥）と大蔵彦十郎(猿楽師）の共著,,,,,
日本の書籍,1669,,,,,,,,,川中島五箇度合戦之次第,寛文九年 清野助次郎(長範) と井上隼人正の共著,,,,,
日本の書籍,1697,,,,,,,,,北越軍談,元禄十年 槙島昭武,https://ja.wikipedia.org/wiki/%E5%8C%97%E8%B6%8A%E8%BB%8D%E8%AB%87,,,,
日本の合戦,1578,,,,,,,,,御館の乱(天正六年),上杉景勝(長尾政景の息子)と上杉景虎(北条氏康の息子)の上杉家お家騒動,,,,,
