group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
メイン【第1部】,2017,8,22,,,,,,,メインストーリー1-3章,,,,,,
メイン【第1部】,2017,9,4,,,,,,,メインストーリー第4章1-2話,,,,,,
メイン【第1部】,2017,9,11,,,,,,,メインストーリー第4章3話,,,,,,
メイン【第1部】,2017,9,18,,,,,,,メインストーリー第4章4話,,,,,,
メイン【第1部】,2017,9,25,,,,,,,メインストーリー第4章5話,,,,,,
メイン【第1部】,2017,10,2,,,,,,,メインストーリー第4章6話,,,,,,
メイン【第1部】,2017,10,6,,,,,,,メインストーリー第4章7話,,,,,,
メイン【第1部】,2017,10,23,,,,,,,メインストーリー第5章2話,,,,,,
メイン【第1部】,2017,10,23,,,,,,,メインストーリー第5章1話,,,,,,
メイン【第1部】,2017,10,30,,,,,,,メインストーリー第5章3話,,,,,,
メイン【第1部】,2017,11,6,,,,,,,メインストーリー第5章4話,,,,,,
メイン【第1部】,2017,11,13,,,,,,,メインストーリー第5章5話,,,,,,
メイン【第1部】,2017,11,20,,,,,,,メインストーリー第5章6話,,,,,,
メイン【第1部】,2017,11,27,,,,,,,メインストーリー第5章7話,,,,,,
メイン【第1部】,2017,12,25,,,,,,,メインストーリー第6章1-4話,,,,,,
メイン【第1部】,2018,1,9,,,,,,,メインストーリー第6章5話,,,,,,
メイン【第1部】,2018,1,15,,,,,,,メインストーリー第6章6話-7話,,,,,,
メイン【第1部】,2018,4,23,,,,,,,メインストーリー第7章1-7話,,,,,,
メイン【第1部】,2018,5,1,,,,,,,メインストーリー第7章8-9話,,,,,,
メイン【第1部】,2018,5,7,,,,,,,メインストーリー第7章10-11話,,,,,,
メイン【第1部】,2018,5,14,,,,,,,メインストーリー第7章12-15話,,,,,,
メイン【第1部】,2018,5,16,,,,,,,メインストーリー第7章16話,,,,,,
メイン【第1部】,2018,5,28,,,,,,,メインストーリー第7章17-18話,,,,,,
メイン【第1部】,2018,6,18,,,,,,,メインストーリー第8章前半(33話),,,,,,
メイン【第1部】,2018,7,2,,,,,,,メインストーリー第8章後半(31話),,,,,,
メイン【第1部】,2018,9,3,,,,,,,メインストーリー第9章前編(17話),,,,,,
メイン【第1部】,2018,9,25,,,,,,,メインストーリー第9章中編(17話),,,,,,
メイン【第1部】,2018,10,22,,,,,,,メインストーリー第9章後編(12話),,,,,,
メイン【第1部】,2019,3,5,,,,,,,メインストーリー第10章1話-2話,,,,,,
メイン【第1部】,2019,3,8,,,,,,,メインストーリー第10章3話,,,,,,
メイン【第1部】,2019,3,15,,,,,,,メインストーリー第10章4話,,,,,,
メイン【第1部】,2019,3,25,,,,,,,メインストーリー第10章5話,,,,,,
