Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
01 時代,1336,,,,1573,,,,,室町時代,,,,,,
01 時代,1573,,,,1603,,,,,安土桃山時代,,,,,,
01 時代,1603,,,,1868,,,,,江戸時代,,,,,,
01 時代,1868,,,,1912,,,,,明治,,,,,,
01 時代,1912,,,,1926,,,,,大正,,,,,,
01 時代,1926,,,,1989,,,,,昭和,,,,,,
01 時代,1989,,,,now,,,,,平成,,,,,,
02 天下人,1534,,,,1582,,,,,織田　信長,,,,,,
02 天下人,1537,,,,1598,,,,,豊臣　秀吉,,,,,,
02 天下人,1543,,,,1616,,,,,徳川　家康,,,,,,
10 茶の湯,1522,,,,1591,,,,,千　利休,,,,,,
10 茶の湯,1543,,,,1615,,,,,古田　織部,,,,,,
10 茶の湯,1547,,,,1621,,,,,織田　長益,有楽斎,,,,,
10 茶の湯,1553,,,,1615,,,,,高山　右近,,,,,,
10 茶の湯,1579,,,,1647,,,,,小堀　遠州,,,,,,
10 茶の湯,1584,,,,1657,,,,,金森　重近,,,,,,
10 茶の湯,1563,,,,1650,,,,,上田　宗箇,,,,,,
10 茶の湯,1863,,,,1939,,,,,岡倉　天心,,,,,,
10 茶の湯,1751,,,,1818,,,,,松平不昧,フマイコー,,,,,
10 茶の湯,1973,,,,now,,,,,松本　創太郎,,,,,,
10 茶の湯,1978,,,,now,,,,,西原　桂,,,,,,
11 美術,1558,,,,1637,,,,,本阿弥　光悦,,,,,,
11 美術,1525,,,,1569,,,,,ピーテル・ブリューゲル,ブラバント公国（現在のオランダ）の画家。,,,,,
11 美術,1564,,,,1638,,,,,ピーテル・ブリューゲル2世,ブラバント公国（現在のベルギー）の画家。,,,,,
11 美術,1632,,,,1675,,,,,ヨハネス・フェルメール,,,,,,
11 美術,1864,,,,1943,,,,,カミーユ・クローデル,,,,,,
11 美術,1840,,,,1917,,,,,オーギュスト・ロダン,,,,,,
11 美術,1869,,,,1953,,,,,アンリ・マティス,,,,,,
11 美術,1840,,,,1926,,,,,クロード・モネ,,,,,,
11 美術,1580,,,,1643,,,,生没年不詳,俵屋　宗達,,,,,,
11 美術,1578,,,,1650,,,,,岩佐　又兵衛,,,,,,
11 美術,1760,,,,1849,,,,,葛飾　北斎,,,,,,
11 美術,1791,,,,1848,,,,,渓斉　英泉,,,,,,
11 美術,1797,,,,1858,,,,,歌川広重,,,,,,
11 美術,1863,,,,1906,,,,,林　忠正,日本の美術商,,,,,
11 美術,1450,,,,1516,,,,,ヒエロニムス・ボス,,,,,,
11 美術,1839,,,,1892,,,,,月岡芳年,,,,,,
11 美術,1452,,,,1519,,,,,レオナルド・ダ・ヴィンチ,,,,,,
11 美術,1606,,,,1669,,,,,レンブラント・ファン・レイン,,,,,,
13 音楽,1862,,,,1918,,,,,クロード・ドビュッシー,,,,,,
13 音楽,1685,,,,1750,,,,,ヨハン・ゼバスティアン・バッハ,,,,,,
13 音楽,1926,,,,1991,,,,,マイルス・デイヴィス,弥助,,,,,
13 音楽,1958,,,,2009,,,,,マイケル・ジャクソン,,,,,,
13 音楽,1709,,,,,,,,,ピアノの誕生,クリストフォリによる,,,,point,
13 音楽,1910,,,,1953,,,,,ジャンゴ・ラインハルト,,,,,,
13 音楽,1931,,,,now,,,,,ジョアン・ジルベルト,,,,,,
13 音楽,1955,,,,,,,,1950年代中頃,ボサノヴァの誕生,,,,,point,
13 音楽,1967,,,,,,,,1960年台中頃,シンセイサイザーの市販,モーグによる,,,,point,
13 音楽,1770,,,,1827,,,,,ルートヴィヒ・ヴァン・ベートーヴェン,,,,,,
13 音楽,1833,,,,1897,,,,,ヨハネス・ブラームス,,,,,,
13 音楽,1890,,,,,,,,1890年台,レコードの実用化,,,,,point,
13 音楽,1640,,,,1710,,,,,ガスパル・サンス,,,,,,
13 音楽,1936,,,,,,,,,エレキギターの市販,Gibson ES-150,,,,point,
15 舞台芸術,1572,,,,1644,,,,没年不詳,阿国,,,,,,
15 舞台芸術,1363,,,,1443,,,,,世阿弥,,,,,,
17 映像,1976,,,,,,,,,愛のコリーダ,,,,,point,
17 映像,1968,,,,,,,,,2001年宇宙の旅,,,,,point,
17 映像,1826,,,,,,,,,世界初の写真撮影,,,,,point,
17 映像,1889,,,,,,,,,フィルムの発明,,,,,point,
17 映像,1990,,,,,,,,,デジタルカメラの発売,,,,,point,
17 映像,1895,,,,,,,,,映画の誕生,リュミエール兄弟,,,,point,
17 映像,1935,,,,,,,,,カラーフィルム発売,コダック社,,,,point,
20 文学,1878,,,,1942,,,,,与謝野晶子,,,,,,
20 文学,1886,,,,1942,,,,,萩原朔太郎,,,,,,
