Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
おけまるの歴史 1st,2019,5,11,,,,,,,受肉＋動画初投稿,ぺけのじいな氏の「you やっちゃいなよ」の一言で受肉、バ美声での自分の声に調子に乗り動画投稿,https://youtu.be/v7HwgxZusWc,https://youtu.be/v7HwgxZusWc,,,
,2019,5,25,,2019,7,13,,,おけまるが　ゼロからはじめる　はーすすとーん,ハースストーン無課金ラダー企画　当時はメカハンターが強力だった。ランク3くらいまではいけた記憶。。,https://youtu.be/gzcYKMwC6ks,,,,
,2019,6,2,,2019,8,10,,,おけまるとゆく　くらいおぶふぃあー,初めてのホラゲーシリーズ実況　怖すぎてビビり倒したやつ,https://youtu.be/ER3DKWaU4WY,,,,
,2019,8,3,,2019,9,28,,,はーすすとーんであそうぼう,ウルドゥム環境でのラダーシリーズ,https://youtu.be/BZER-HIRnSo,,,,
,2019,8,29,,,,,,,PC新調,つよつよPCになる　動画編集とかし始める,,,,,
,2019,9,23,,2019,9,29,,,おけまる部活入るってよ　ドキドキ♡文芸部 Part1,初めてのノベルゲー　感動した　just Monika,https://youtu.be/EijesyH-IP0,,,,
,2019,10,15,,,,,,,復活の雑談配信,入院していたところから復活　今も元気です,https://youtu.be/XicpVguGFYI,,,,
,2019,11,15,,,,,,,おけまるちゃん半年記念配信,半年記念配信　お手紙を読んで号泣　葵さんにパーカー衣装をいただきました！,https://youtu.be/okkIlJ3zdpE,,,,
,2019,6,15,,,,,,,あいさつ動画投稿,初めてちゃんと動画編集したやつ　今見ると恥ずかしすぎるけどこれが原点なんやなぁ,https://youtu.be/LshGTbOr37A,,,,
,2019,8,12,,,,,,,ハースストーン　動画投稿開始,トーテムシャーマンの動画をなんとかあげる。14点バーストは自分でも自信作,https://youtu.be/JCKDKXF4cco,,,,
,2019,11,1,,2019,12,31,,,ホラゲー強化月間,謎にホラゲーにハマる　Miband を使ったコメント連携や心拍測定など、今の配信スタイルに大きく影響,https://youtu.be/mfm8b1t1mRY,,,,
,2020,1,1,,2020,2,2,,,subnauticaにはまる,急に潜水に目覚める。なお本人は泳げない模様,https://youtu.be/K4wXXtKQtrI,,,,
,2020,2,2,,,,,,,おけまるをつつけ！（てすと）,コメント所得で手をつつかれるシステムを構築。以降コメント連動にハマる,https://youtu.be/yTr3MBQRV48,,,,
,2020,2,8,,,,,,,【コメント連動】ツンツンしてビビらせろ！！Suite776【水も飲む】,＃つつく　コマンドでつつけるように設定しつつホラゲーをやる。つつくシステムの暴走＋普通に怖すぎて絶叫した。,https://youtu.be/6b9AQxNOcmg,,,,
,2020,2,11,,2020,4,1,,,おけまるは火を集める「DARK SOULS 3」,5年ぶりくらいのダクソ、ぎょりのふ,https://www.youtube.com/watch?v=wxRxxVcDkao&t=402s,,,,
,2020,2,23,,,,,,,＃ア◯顔コメでア◯顔＋みさくら語！？] DARK SOULS3 [AHEAHE,＃アヘ顔　,https://www.youtube.com/watch?v=9jjXJ2_GJnM&t=673s,,,,
,2019,12,25,,,,,,,フェイフェイの動画でちょっとバズる,的外れもいいところだ,https://www.youtube.com/watch?v=Q3kGmc5o-TQ,,,,
,2020,2,16,,,,,,,【食べたいくらい】 I will eat you　コラボ配信!! 【大好きだよ】,初めての自分企画の多人数コラボ　楽しかったー！,https://www.youtube.com/watch?v=AbIWXMvSGA8,,,,
,2020,3,8,,2020,5,10,,,【この恐怖感]おけまるのALIEN ISOLATION[マジARIEN!!],エイリアンにドハマリして実況中。非常に楽しい。。,https://www.youtube.com/watch?v=TGilsYwdS8A&t=9205s,,,,
,2020,3,8,,,,,,,[NGワード]限界を攻めろ！！ギリギリワード選手権[即終了],ゆかりねっとを使った連動配信。珍宝はつよすぎた,https://www.youtube.com/watch?v=r58YSK_gVXY&t=78s,,,,
,2020,4,12,,,,,,,ハースの動画投稿再開,ぶんぶんさんに励まされ動画投稿を再開。霊柩と出会う。,https://www.youtube.com/watch?v=C-7mm2uOtnQ&t=225s,,,,
,2020,5,3,,,,,,,【名作】#みさくら でしゅっごくなる羅◯門【先生ごめんなさい】,まるっこさんの教養を深めるために朗読配信。お気に入りの配信No.1,https://www.youtube.com/watch?v=xFRadOO7riE,,,,
,2020,5,10,,,,,,,【みんな】おけまるちゃん1周年記念配信【ありがとう！】,1周年記念配信！いええええい！！,,,,,
,2019,7,13,,,,,,,おけまると まるっとわかる　はぁすとん,初めての単独コラボ！　クラムちゃんが優しくて非常にいい配信になった！,https://www.youtube.com/watch?v=tUjtNj8UklI,,,,
,2019,7,6,,,,,,,【第1回】クソゲー・バトルロワイヤル,初めての多人数コラボ！推しに囲まれてド緊張した記憶。。いまでも仲良しな方ばかりで、本当に幸せものだなぁ。。,https://www.youtube.com/watch?v=gpfhICeKg3A&t=1578s,,,,
,2019,10,20,,,,,,,激突！！おけまる vs たろう ガチンコBO3対決！！,たろうさんとの初コラボ動画。お互いの個性を出せたいい動画になりました！今でも互いに応援し合ういいお友達です！,https://www.youtube.com/watch?v=nis9kVHd8qw&t=135s,,,,
,2020,1,12,,,,,,,仲良しコラボ！ ダメナ・デメヤネンと謎を解く (PORTAL2),推しであり友達のダメナちゃんとコラボ！PORTALすごく難しいけど、INTつよつよのダメナちゃんが優しくリードしてくれました！,https://www.youtube.com/watch?v=qhocT5QhYmI,,,,
,2020,1,26,,,,,,,恐怖体験‼　おけまる＆たろうのPACIFY,「単純に一緒に遊びたい」とのことでやったホラゲーコラボ。ともだちと家で遊ぶ感じでめちゃ楽しかった。またやる。,https://www.youtube.com/watch?v=TNCuAicr0ys&t=731s,,,,
,2019,11,17,,,,,,,IBに備えてがんばる おけまるのモンスターハンターワールド With 鈴金なるちゃん,なるちゃんとのモンハンコラボ！初心者ハンターの僕がうまく楽しめるようにしてくれるなるちゃんは天使！,https://www.youtube.com/watch?v=EeN0tuAX55E,,,,
,2019,10,20,,,,,,,【配信#12】みんなでゾンビ倒す！【Left 4 Dead 2】,仲良しのみんなでL4D2　イキリへっぽこキャラみたいなムーブしかできなかったけど楽しかった！ジビエンドになってしまったのが悔やまれる,https://www.youtube.com/watch?v=cNK3BWrkfjA&list=PL4Zeg1nEJCKx_1_nMAQOGHkM4QLdX7FPM&index=32&t=0s,,,,
,2020,1,5,,,,,,,新年初デート♡with フラッシュモブZONBI,結城なのちゃんとL4D2コラボ　なのちゃんの彼氏とお父さんと一緒に彼女役として遊園地に行くというカオスな設定で遊びました。レンタル料5万円頂いたので晩御飯は叙々苑でした。,https://www.youtube.com/watch?v=tlgQZ_G_acA,,,,
