Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
疫病,541,,,,756,,,,,ペスト,,,,,,
疫病,1331,,,,1855,,,,,ペスト,,,,,,
疫病,1855,,,,1960,,,,,ペスト,,,,,,
ルネサンス,700,,,,800,,,,,アラビアルネサンス ,7世紀には、ムハンマド（マホメット）によるイスラム教のもとでのアラビア半島統一が起きる。イスラム帝国が築かれるなか王朝がペルシャ系に替わり、首都バクダードにペルシャ文化が流入する。とくにムーゼイオン以来といわれるバクダードの研究機関「知恵の館」では、キリスト教異端者たちがペルシャで伝えてきたシリア語写本がアラビア語写本にされ、さらにはインドの数学や中国の技術文化まで吸収していく。この8世紀から9世紀までの動きを、「アラビア・ルネサンス」(伊藤）と呼ぶ。,,,,,
ルネサンス,700,,,,800,,,,,カロリング朝ルネサンス,フランク王国のカロリング朝・カール大帝のアーヘン宮廷を中心に、聖職者に正しいラテン語の知識を与えることなどを目的として始まった文化復興の運動。中世のゲルマン社会で衰退した古典文芸を復活させようとした面をとらえ、後のルネサンスの先駆けとして、カロリング＝ルネサンスと言われる。中心になったのはイギリス生まれの神学者でカール大帝に招かれたアルクィンである。,,,,,
ルネサンス,900,,,,1000,,,,,マケドニア朝ルネサンス,バシレイオス1世以下歴代のマケドニア王朝期（867年 - 1057年）の皇帝たちはローマ帝国の復興を目指して行政機構や法律を整備し、軍事面でもイスラム支配下にあった東地中海を回復、またブルガリアやロシアなど東欧地域へのキリスト教布教を進めた。こうしてマケドニア王朝時代に皇帝専制体制は頂点に達し、軍事･経済面で東ローマ帝国は繁栄の時代を迎え、その繁栄は文化面にも及んだ。この第２次黄金時代とよばれたマケドニア・ルネサンス時代はヘレニズム美術への回帰現象が起こり擬古典的な趣きが強くなる。それが、ルネサンスと呼ばれる所以である,,,,,
ルネサンス,1100,,,,1200,,,,,商業ルネサンス,ヨーロッパの貨幣経済が再び活発になるとともに商業が復興、それに伴って都市人口が増加し、都市も復活した。このような経済史上の動きを「商業ルネサンス（商業の復活）」と呼んだ,,,,,
ルネサンス,1100,,,,1200,,,,,１２世紀ルネサンス, １２世期ルネサンスは、十字軍運動によってビザンツやイスラームの文化に接したことで起きた。イスラームを経由してギリシアの文化や哲学の古典がヨーロッパにもっとも多く流入したのは、イベリア半島のトレドとシチリア島のパレルモをルートとしていた。また新しい思想や芸術を受けいれた背景には、封建制の確立、農業生産力の向上（三圃制農業など）、人口増加とそれに伴って貨幣経済の発展（商業の復活）と都市の勃興（および知識人の登場）などがある。  ,,,,,
ルネサンス,1200,,,,1300,,,,,パレオロゴス朝ルネサンス,"パレオロゴス朝時代政治・軍事・経済面での衰退に直面した東ローマ帝国の人々は、帝国の栄光を古代から継承してきた古代ギリシャ文化に求めた。哲学・文学・天文学・歴史などの研究が進み、古代ギリシャ・ローマの古典作品の注釈や写本の製作が隆盛を極めた。美術面でもそれまでの平面的な宗教画から、写実的な新しい画風が生まれ、モザイク画やフレスコ画の傑作が生まれた。これらの文化的興隆は後に「パレオロゴス朝ルネサンス」と呼ばれる。
",,,,,
ルネサンス,1300,,,,1563,,,,,イタリアルネサンス,,,,,,
ルネサンス,1520,,,,1600,,,,,マニエリスム,マニエリスム (伊: Manierismo ; 仏: Maniérisme ; 英: Mannerism) とはルネサンス後期の美術で、イタリアを中心にして見られる傾向を指す言葉である。マンネリズムの語源。美術史の区分としては、盛期ルネサンスとバロックの合間にあたる。イタリア語の「マニエラ（maniera：手法・様式）」に由来する言葉である[2][3]。ヴァザーリはこれに「自然を凌駕する行動の芸術的手法」という意味を与えた。,,,,,
ルネサンス,1450,,,,1600,,,,,北方ルネサンス,北方ルネサンスは、狭義には北ヨーロッパでのルネサンス運動を指し、広義ではイタリア以外でのヨーロッパにおけるルネサンス運動全体を指す美術史用語。1450年終わりになるまでイタリアでのルネサンス人文主義はイタリア以外のヨーロッパ諸外国にはほとんど影響を及ぼさなかったが、15世紀後半にはルネサンス運動は全ヨーロッパに波及した。その結果、「ドイツ・ルネサンス」、「フランス・ルネサンス」、「イングランド・ルネサンス」、「ネーデルラント・ルネサンス」、「ポーランド・ルネサンス」など、それぞれの国でルネサンスの影響を受けた多種多様な芸術運動が展開された。,,,,,
思想家,1433,10,19,,1499,10,1,,,マルシリオ・フィチーノMarsilio Ficino ,マルシリオ・フィチーノ（Marsilio Ficino 1433年10月19日 - 1499年10月1日）は、イタリア・ルネサンス期の人文主義者、哲学者、神学者。メディチ家の保護を受け、プラトンなどギリシア語文献の著作をラテン語に翻訳した。プラトン・アカデミーの中心人物。近年はルネサンスの芸術思想をはじめ、魔術思想、神秘思想の面など多方面で注目される思想家となった。,,,,,
思想家,1575,,,,1624,11,17 ,,,ヤコブ・ベーメ　Jakob Böhme,ドイツの神秘主義者である。ドイツ語で主に著述した最初の思想家でもあり、信奉者から付けられた「フィロソフス・テウトニクス」（ドイツの哲人）という異名でも知られる。,,,,,
思想家,1260,,,,1328,,,,,マイスター・エックハルト Meister Eckhart,中世ドイツ（神聖ローマ帝国）のキリスト教神学者、神秘主義者。,,,,,
思想家,1098,,,,1179,,,,,"ヒルデガルト・フォン・ビンゲン　Hildegard von Bingen,",、中世ドイツのベネディクト会系女子修道院長であり神秘家、作曲家。史上4人目の女性の教会博士,,,,,
思想家,1483,11,10,,1548,2,18,,,マルティン・ルター Martin Luther,ドイツの神学者、教授、作家、聖職者。聖アウグスチノ修道会に属する。,,,,,
思想家,1493,11,10,,1541,9,24,,,パラケルスス　Paracelsus,テオフラストゥス・（フォン）・ホーエンハイム（Theophrastus （von） Hohenheimは、スイスアインジーデルン出身の医師、化学者、錬金術師、神秘思想家。悪魔使いであったという伝承もあるが、根拠はない。後世ではフィリップス・アウレオールス・テオフラストゥス・ボンバストゥス・フォン・ホーエンハイム（Philippus Aureolus Theophrastus Bombastus von Hohenheim）という長大な名が本名として広まったが、存命中一度も使われていない,,,,,
思想家,1623,6,19,,1662,8,19,,,ブレーズ・パスカル Blaise Pascal,ブレーズ・パスカル（Blaise Pascal、1623年6月19日 - 1662年8月19日）は、フランスの哲学者、自然哲学者、物理学者、思想家、数学者、キリスト教神学者、発明家、実業家である。神童として数多くのエピソードを残した早熟の天才で、その才能は多分野に及んだ。ただし、短命であり、三十代で逝去している。死後『パンセ』として出版されることになる遺稿を自身の目標としていた書物にまとめることもかなわなかった。,,,,,
思想家,1548,,,,1600,2,17,,,ジョルダーノ・ブルーノ　Giordano Bruno,"ジョルダーノ・ブルーノ（Giordano Bruno, 1548年 - 1600年2月17日）は、イタリア出身の哲学者、ドミニコ会の修道士。それまで有限と考えられていた宇宙が無限であると主張し、コペルニクスの地動説を擁護した。異端であるとの判決を受けても決して自説を撤回しなかったため、火刑に処せられた。思想の自由に殉じた殉教者とみなされることもある。彼の死を前例に考え、轍を踏まないようにガリレオ・ガリレイは自説を撤回したとも言われる。",,,,,
思想家,1469,5,3,,1527,6,21,,,ニッコロ・マキャヴェッリ Niccolò Machiavelli ,"ニッコロ・マキャヴェッリ（イタリア語: Niccolò Machiavelli, 1469年5月3日 - 1527年6月21日）は、イタリア、ルネサンス期の政治思想家、フィレンツェ共和国の外交官。

著書に『君主論』、『ティトゥス・リウィウスの最初の十巻についての論考（ディスコルシ）』、『戦術論』がある。理想主義的な思想の強いルネサンス期に、政治は宗教・道徳から切り離して考えるべきであるという現実主義的な政治理論を創始した。日本語では「マキャヴェリ」「マキャベリ」「マキァヴェリ」「マキァヴェッリ」など様々な表記が見られる。",,,,,
思想家,1466,10,27,,1536,7,12,,,デジデリウス・エラスムス Desiderius Erasmus Roterodamus,"デジデリウス・エラスムス（Desiderius Erasmus Roterodamus, 1466年10月27日 - 1536年7月12日）は、ネーデルラント出身の人文主義者、カトリック司祭、神学者、哲学者。ラテン語名には出身地をつける当時の慣習から「ロッテルダムのエラスムス」とも呼ばれる。なお、名前の「エラスムス」は洗礼名でカトリック教会の聖人フォルミアのエラスムス（Erasmus of Formiae）からとられているが、「デジデリウス」は1496年から自分自身で使い始めた名前である。

主な著作に『痴愚神礼賛』（Moriae encomium）、『エンキリディオン』（キリスト教戦士の手引き、Enchiridion militis Christiani）、『平和の訴え』などがあり、著作の中では一貫して「キリスト者の一致と平和」をテーマとした。また、エラスムスの『校訂版　新約聖書』（新約聖書のラテン語・ギリシア語対訳、Novum Instrumentum）は広く読まれ、マルティン・ルターのドイツ語訳聖書の原版になった。エラスムスの思想は宗教改革運動と対抗宗教改革運動の双方に大きな影響を与えた。『ユートピア』を著したトマス・モアとの親交や自由意志に関するマルティン・ルターとの論争でも知られる。",,,,,
思想家,1533,2,28,,1592,9,13,,,ミシェル（・エイケム）・ド・モンテーニュ　Michel Eyquem de Montaigne,"ミシェル（・エイケム）・ド・モンテーニュ（Michel Eyquem de Montaigne [miʃɛl ekɛm də mɔ̃tɛɲ], 1533年2月28日 - 1592年9月13日）は、16世紀ルネサンス期のフランスを代表する哲学者。モラリスト、懐疑論者、人文主義者。現実の人間を洞察し人間の生き方を探求して綴り続けた主著『エセー』は、フランスのみならず、各国に影響を与えた。",,,,,
思想家,1561,1,22,,1626,4,9,,,"フランシス・ベーコン Francis Bacon, 1st Viscount St Alban(s), ","フランシス・ベーコン（英: Francis Bacon, 1st Viscount St Alban(s), PC, QC、1561年1月22日 - 1626年4月9日）は、イギリスの哲学者、神学者、法学者、政治家、貴族である。イングランド近世（ルネサンス期、テューダー朝（エリザベス朝）からステュアート朝）の人物。「知識は力なり」（Ipsa scientia potestas est）の名言や、「イドラ」の概念で有名。",,,,,
思想家,1407,,,,1457,8,1,,,ロレンツォ・ヴァッラLorenzo Valla,"ロレンツォ・ヴァッラ（Lorenzo Valla, 1407年 − 1457年8月1日）は、15世紀イタリアの人文主義者である。『コンスタンティヌスの寄進状』を偽書と指摘した。ヴァラとも表記されるが正しいイタリア語はヴァッラ。
ローマ出身。古典を研究し、各地を遍歴したのちナポリ王アルフォンソ1世の元に身を寄せる。教皇領がローマ皇帝から寄進されたことの根拠とされてきた『コンスタンティヌスの寄進状』が偽書であることを文献学的に証明する。
また、教皇至上説を批判したため、ときの教皇エウゲニウス4世を怒らせ、異端審問所に告発された。しかし次の教皇ニコラウス5世は寛容なところを見せ、ヴァラをローマ教皇庁に招いて古典研究に従事させた。のちサン・ジョバンニ・イン・ラテラノ大聖堂の聖職者となる。
当時唯一の正典として権威を持っていたヴルガータ聖書の誤りを指摘した。これは、文献学が聖書の権威に対しても力を発揮しえたこととしても重要であり、のちにエラスムスにも影響を与えることになった。
エピクロスを再評価し、人間の快楽追求を肯定する論文『快楽論』（1431年）を書いている。",,,,,
思想家,1509,7,10,,1564,5,27,,,ジャン・カルヴァンJean Calvin,ジャン・カルヴァン（Jean Calvin [ʒɑ̃ kalvɛ̃]、1509年7月10日 - 1564年5月27日）は、フランス出身の神学者。マルティン・ルターやフルドリッヒ・ツヴィングリと並び評される、キリスト教宗教改革初期の指導者である。また、神学校として1559年に創設されたジュネーヴ大学の創立者である。,,,,,
芸術家,1452,4,15,,1519,5,2,,,レオナルド・ダ・ヴィンチ Leonardo da Vinci,レオナルド・ダ・ヴィンチ((伊: Leonardo da Vinci、イタリア語発音: [leoˈnardo da ˈvintʃi] it-Leonardo di ser Piero da Vinci.ogg 1452年4月15日 - 1519年5月2日（ユリウス暦））は、イタリアのルネサンス期を代表する芸術家。フルネームはレオナルド・ディ・セル・ピエーロ・ダ・ヴィンチ (Leonardo di ser Piero da Vinci) 。「ダ・ヴィンチ」とはヴィンチ村出身であることを意味しており、個人名の略称としては「レオナルド」を用いるのが適切である。音楽、建築、数学、幾何学、解剖学、生理学、動植物学、天文学、気象学、地質学、地理学、物理学、光学、力学、土木工学など様々な分野に顕著な業績と手稿を残した。,,,,,
芸術家,1475,3,6,,1564,2,18,,,ミケランジェロ・ディ・ロドヴィーコ・ブオナローティ・シモーニ　 Michelangelo di Lodovico Buonarroti Simoni,ミケランジェロ・ディ・ロドヴィーコ・ブオナローティ・シモーニ（伊: Michelangelo di Lodovico Buonarroti Simoni、1475年3月6日 - 1564年2月18日）は、イタリア盛期ルネサンス期の彫刻家、画家、建築家、詩人。西洋美術史上のあらゆる分野に、大きな影響を与えた芸術家である。ミケランジェロ自身が本業と考えていた彫刻分野以外の作品は決して多くはないにもかかわらず、様々な分野で優れた芸術作品を残したその多才さから、レオナルド・ダ・ヴィンチと同じく、ルネサンス期の典型的な「万能（の）人」と呼ばれる,,,,,
