Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
美登子,1901,5,6,,,,,,,那覇市上之蔵町に生れる,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,1918,,,,,,,,,沖縄県立第一高等女学校卒業,,,,,,
美登子,1920,,,,,,,,,日本女子大学国文科中退,,,,,,
美登子,1922,,,,,,,,,沖縄県庁奉職,,,,,,
美登子,1928,,,,,,,,,東京丸の内マリールイズ美容院卒業,,,,,,
美登子,1930,,,,,,,,,那覇市で美粧院開業,,,,,,
美登子,1946,,,,,,,,,疎開先の島根県より帰郷し、みと美粧院を経営。,,,,,,
美登子,1959,10,,,,,,,,琉球高等美容専門学校　校長就任,,,,,,
美登子,1972,,,,,,,,,厚生大臣賞（教育功労者）表彰受ける。,,,,,,
美登子,1982,,,,,,,,,叙勲・勲六等宝冠章（教育功労賞）受ける。,,,,,,
美登子,1983,,,,,,,,,『哀愁の旅』,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,1960,,,,,,,,,世界一周旅行,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,,,,,,,,,,,,,,,,
美登子,1975,1,24,,,,,,,TBS婦人相談員　吉武輝子の突然の訪問,国際ソロプチミスト沖縄の講演のため。,,,,,
美登子,,,,,,,,,,,,,,,,
